2025-08-08|5525|228|114|165|68
2025-08-11|5538|176|172|122|88
2025-08-12|5542|213|140|149|71
2025-08-13|5568|266|97|186|46
2025-08-14|5540|235|87|144|33
2025-08-15|5555|195|87|122|38
2025-08-18|5555|214|71|130|29
2025-08-19|5552|106|115|51|51
2025-08-20|5543|82|121|40|63
2025-08-21|5542|77|84|37|41
2025-08-22|5551|110|51|54|26
2025-08-25|5552|97|56|54|27
2025-08-26|5545|158|49|86|27
2025-08-27|5556|158|43|81|28
2025-08-28|5549|146|53|87|27
2025-08-29|5547|104|67|55|41
2025-09-02|5595|109|78|56|45
2025-09-03|5569|106|88|52|50
2025-09-04|5558|101|118|49|64
2025-09-05|5571|113|112|60|58
2025-09-08|5582|149|107|92|60
2025-09-09|5590|178|91|114|53
2025-09-10|5607|200|86|127|48
2025-09-11|5617|272|74|170|42
2025-09-12|5605|256|70|154|39
2025-09-15|5598|237|60|144|25
2025-09-16|5601|211|67|126|40
2025-09-17|5600|196|62|125|32
2025-09-18|5587|178|67|99|31
2025-09-19|5606|174|68|105|35
2025-09-22|5612|214|55|129|30
2025-09-23|5607|199|62|126|33
2025-09-24|5612|222|62|133|32
2025-09-25|5601|127|87|85|45
2025-09-26|5588|140|75|91|45
2025-09-29|5606|115|89|71|48
2025-09-30|5591|111|106|70|62
2025-10-01|5591|119|100|77|56
2025-10-02|5606|170|71|116|36
2025-10-03|5612|210|62|139|31
2025-10-06|5613|266|52|167|29
2025-10-07|5612|248|45|154|29
2025-10-08|5627|261|38|168|23
2025-10-09|5615|243|54|148|30
2025-10-10|5603|144|118|85|70
2025-10-13|5617|157|118|108|78
2025-10-14|5610|185|82|121|57
2025-10-15|5604|173|95|117|55
2025-10-16|5608|108|141|72|81
2025-10-17|5595|125|98|81|56
2025-10-20|5608|130|105|76|57
2025-10-21|5625|97|183|56|109
2025-10-22|5584|65|263|48|153
2025-10-23|5596|100|124|60|75
2025-10-24|5605|137|76|87|47
2025-10-27|5619|112|102|84|58
2025-10-28|5612|113|90|84|51
2025-10-29|5599|176|91|139|57
2025-10-30|5589|125|116|99|68
2025-10-31|5585|105|161|87|90
2025-11-03|5596|85|198|61|114
2025-11-04|5565|67|295|53|160
2025-11-05|5573|90|213|67|127
2025-11-06|5541|91|295|70|181
2025-11-07|5549|78|323|60|187
2025-11-10|5570|127|230|99|140
2025-11-11|5543|199|168|149|104
2025-11-12|5547|165|175|122|106
2025-11-13|5546|130|172|92|92
2025-11-14|5516|109|213|73|109
2025-11-17|5509|100|326|63|157
2025-11-18|5499|89|243|55|123
2025-11-19|5502|81|327|51|162
2025-11-20|5480|94|286|56|138
2025-11-21|5480|92|215|55|110
2025-11-24|5500|140|107|97|57
2025-11-25|5496|159|109|110|60
2025-11-26|5516|214|73|143|40
2025-11-28|5503|415|44|248|24
2025-12-01|5533|213|60|130|33
2025-12-02|5483|119|74|76|45
2025-12-03|5502|141|67|85|40
2025-12-04|5527|152|62|95|33
2025-12-05|5512|129|96|86|53
2025-12-08|5508|207|72|148|43
2025-12-09|5520|253|61|161|35
2025-12-10|5534|178|59|121|31
2025-12-11|5522|155|86|107|46
2025-12-12|5495|118|108|75|57
2025-12-15|5481|93|183|65|96
2025-12-16|5446|81|188|49|98
2025-12-17|5432|63|284|39|149
2025-12-18|5425|70|278|43|149
2025-12-19|5444|81|159|46|75
2025-12-22|5423|137|99|85|48
2025-12-23|5424|95|119|60|56
2025-12-24|5357|158|94|104|52
2025-12-26|5385|122|89|59|46
2025-12-29|5398|83|117|44|56
2025-12-30|5406|74|141|38|66
2025-12-31|5382|82|108|39|49
2026-01-02|5374|85|91|46|42
2026-01-05|5411|138|77|78|40
2026-01-06|5388|217|50|126|30
2026-01-07|5397|247|39|138|21
2026-01-08|5397|311|45|184|21
2026-01-09|5391|243|45|148|23
2026-01-12|5382|181|55|113|30
2026-01-13|5414|173|77|98|45
2026-01-14|5399|185|98|122|58
2026-01-15|5410|147|91|92|52
2026-01-16|5383|143|84|93|49
2026-01-20|5388|119|101|71|55
2026-01-21|5411|140|73|77|33
2026-01-22|5410|159|70|99|35
2026-01-23|5393|154|76|85|37
2026-01-26|5408|131|107|66|49
2026-01-27|5394|148|81|75|34
2026-01-28|5375|122|94|64|43
2026-01-29|5359|65|149|31|58
2026-01-30|5359|56|196|29|86
2026-02-02|5346|83|180|51|87
2026-02-03|5332|63|243|42|121
2026-02-04|5313|72|321|51|166
2026-02-05|5292|57|492|37|247
2026-02-06|5302|100|181|70|97
2026-02-09|5321|99|153|70|87
2026-02-10|5319|103|135|74|64
2026-02-11|5311|126|145|91|82
2026-02-12|5298|155|115|108|72
2026-02-13|5292|102|159|68|99
2026-02-17|5305|88|166|60|85
2026-02-18|5278|78|138|48|62
2026-02-19|5277|90|101|53|42
2026-02-20|5259|124|91|75|39
2026-02-23|5250|105|124|64|56
2026-02-24|5226|140|108|87|48
2026-02-25|5258|164|99|105|51
2026-02-26|5260|155|100|96|55
2026-02-27|5251|150|105|95|59
2026-03-02|5259|205|89|138|49
2026-03-03|5244|128|109|81|56
2026-03-04|5271|125|104|77|53
2026-03-05|5257|112|130|65|62
2026-03-06|5225|133|119|78|57
2026-03-09|5272|117|110|64|50
2026-03-10|5266|144|89|81|46
2026-03-11|5236|124|106|70|48
2026-03-12|5232|118|105|58|53
2026-03-13|5237|107|112|55|56
2026-03-16|5240|102|113|48|53
2026-03-17|5240|90|132|45|53
2026-03-18|5223|67|186|27|68
2026-03-19|5198|82|192|43|73
2026-03-20|5208|78|177|37|61
2026-03-23|5226|74|134|36|44
2026-03-24|5216|71|143|34|50
2026-03-25|5187|101|109|63|40
2026-03-26|5191|96|121|51|46
2026-03-27|5203|101|129|60|53
2026-03-30|5176|76|214|42|95
2026-03-31|5198|91|138|53|51
2026-04-01|5179|106|133|60|52
2026-04-02|5172|128|94|71|33
2026-04-06|5165|199|78|104|33
2026-04-07|5144|245|65|155|21
2026-04-08|5198|169|75|105|26
2026-04-09|5149|169|78|106|25
2026-04-10|5169|138|100|90|35
2026-04-13|5185|192|68|133|21
2026-04-14|5213|251|75|169|28
2026-04-15|5224|209|60|139|22
2026-04-16|5214|245|57|146|19
2026-04-17|5228|364|53|227|19
2026-04-20|5209|277|61|167|28
2026-04-21|5213|187|71|105|29
2026-04-22|5211|181|68|113|29
2026-04-23|5185|121|77|70|33
2026-04-24|5167|115|91|75|39
2026-04-27|5191|97|100|60|40
2026-04-28|5178|89|99|51|42
2026-04-29|5213|84|132|51|63
2026-04-30|5175|111|75|64|35
2026-05-01|5164|130|69|78|28
2026-05-04|5180|126|75|75|34
2026-05-05|5153|213|75|146|35
2026-05-06|5184|311|86|211|42
2026-05-07|5159|222|118|143|66
2026-05-08|5143|199|134|145|71
2026-05-11|5164|241|144|175|74
2026-05-12|5128|172|172|122|82
2026-05-13|5128|158|167|102|87
2026-05-14|5150|173|167|111|75
2026-05-15|5124|116|162|66|59
2026-05-18|5127|92|167|52|74
2026-05-19|5099|90|163|49|69
2026-05-20|5120|100|116|57|41
2026-05-21|5110|100|87|53|28
2026-05-22|5143|162|61|99|15
2026-05-26|5144|233|50|151|13
2026-05-27|5152|317|56|222|17
2026-05-28|5166|298|44|198|16
2026-05-29|5182|209|60|143|20
2026-06-01|5172|256|57|175|20
2026-06-02|5132|191|71|118|27
2026-06-03|5143|141|88|87|41
2026-06-04|5121|102|89|66|41
2026-06-05|5078|55|201|27|92
2026-06-08|5095|51|164|28|67
2026-06-09|5087|69|281|35|149
2026-06-10|5137|82|224|35|114
2026-06-11|5116|94|137|45|61
2026-06-12|5087|140|78|84|23
