ticker|~|alert_date|~|source|~|skip_category|~|ep_score|~|gap_pct|~|catalyst_quality|~|open_d0|~|close_d0|~|ret_1d|~|ret_5d|~|ret_20d|~|max_high_5d|~|max_high_20d|~|refreshed_et|~|skip_reason
BULL|~|2026-08-20|~|scan_filter|~|duplicate_scan|~||~|12.96|~||~|9.94|~|8.85|~|-0.11670020120724348|~||~||~|0.0010060362173038016|~|0.0010060362173038016|~|08-24 17:16|~|already scored earlier today
BULL|~|2026-08-20|~|high_unentered|~|stop_too_wide|~|100.8|~|15.16|~|strong|~|9.94|~|8.85|~|-0.11670020120724348|~||~||~|0.0010060362173038016|~|0.0010060362173038016|~|08-24 17:16|~|setup:stop_too_wide: ORB range $0.54 (5.7%) > 1.5x ATR $0.52
CURX|~|2026-08-20|~|scan_filter|~|extension_gate|~||~|10.58|~||~|5.77|~|5.27|~|-0.18370883882149042|~||~||~|0.039861351819757446|~|0.039861351819757446|~|08-24 17:16|~|already up 2696% in prior 5 days (extended)
ELOX|~|2026-08-20|~|scan_filter|~|adv_low|~||~|10.16|~||~|19|~|18.04|~|0.1039473684210527|~||~||~|0.23157368421052626|~|0.23157368421052626|~|08-24 17:16|~|quality filter: filter:adv_too_low: $758,925
FUTU|~|2026-08-20|~|scan_filter|~|score_below_50|~|39.6|~|9.51|~|strong|~|117.65|~|112.73|~|0.050913727156821034|~||~||~|0.05805354866128345|~|0.05805354866128345|~|08-24 17:16|~|score 40 < 50 (catalyst=strong)
FVR|~|2026-08-20|~|scan_filter|~|catalyst_downgrade|~||~|11.96|~||~|19.45|~|19.86|~|0.017480719794344467|~||~||~|0.03033419023136246|~|0.03033419023136246|~|08-24 17:16|~|routine catalyst, gap 12.0%
HVT|~|2026-08-20|~|scan_filter|~|mcap_low|~||~|9.66|~||~|28|~|27.46|~|-0.02214285714285718|~||~||~|0|~|0|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $441M < $500M
IPST|~|2026-08-20|~|scan_filter|~|extension_gate|~||~|14.32|~||~|8.79|~|10.31|~|0.09783845278725839|~||~||~|0.7373947667804324|~|0.7373947667804324|~|08-24 17:16|~|already up 342% in prior 5 days (extended)
MRVI|~|2026-08-20|~|scan_filter|~|score_below_50|~|6|~|11.77|~|routine|~|7.44|~|8.29|~|0.16129032258064518|~||~||~|0.19220430107526865|~|0.19220430107526865|~|08-24 17:16|~|score 6 < 50 (catalyst=routine)
MSTR|~|2026-08-20|~|scan_filter|~|catalyst_downgrade|~||~|9.39|~||~|113.23|~|112.39|~|0.05316612205245956|~||~||~|0.12955930407135918|~|0.12955930407135918|~|08-24 17:16|~|routine catalyst, gap 9.4%
OPHC|~|2026-08-20|~|scan_filter|~|mcap_low|~||~|9.01|~||~|10.01|~|9.22|~|-0.07092907092907084|~||~||~|0|~|0|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $127M < $500M
RARE|~|2026-08-20|~|high_unentered|~|infra_skip|~|72|~|11.39|~|game_changer|~|28.39|~|25.32|~|-0.09017259598450167|~||~||~|0.0038746037337090322|~|0.0038746037337090322|~|08-24 17:16|~|infra:no_bar: 3 retries exhausted
SCSC|~|2026-08-20|~|scan_filter|~|duplicate_scan|~||~|27.4|~||~|64.84|~|56.39|~|-0.16178285009253549|~||~||~|0.029919802590993177|~|0.029919802590993177|~|08-24 17:16|~|already scored earlier today
TMS|~|2026-08-20|~|scan_filter|~|adv_low|~||~|14.14|~||~|7.99|~|7.27|~|-0.08135168961201505|~||~||~|0|~|0|~|08-24 17:16|~|quality filter: filter:adv_too_low: $436,523
WETO|~|2026-08-20|~|scan_filter|~|extension_gate|~||~|39.55|~||~|30.35|~|27.525|~|-0.14299835255354199|~||~||~|0.1957166392092256|~|0.1957166392092256|~|08-24 17:16|~|already up 475% in prior 5 days (extended)
ALOY|~|2026-08-21|~|scan_filter|~|session_rvol_low|~||~|11.02|~||~|11.31|~|12.5|~|-0.019451812555260888|~||~||~|0.10521662245800172|~|0.10521662245800172|~|08-24 17:16|~|filter:session_rvol_too_low: session_rvol=0.91x (today 531,299 / baseline 581,388 n=23) < 1.0x
ASST|~|2026-08-21|~|scan_filter|~|catalyst_downgrade|~||~|9.92|~||~|17.66|~|18.22|~|0.1172140430351076|~||~||~|0.15047565118912792|~|0.15047565118912792|~|08-24 17:16|~|routine catalyst, gap 9.9%
BKKT|~|2026-08-21|~|scan_filter|~|mcap_low|~||~|10.13|~||~|7.86|~|8.59|~|0.040712468193384144|~||~||~|0.1473282442748092|~|0.1473282442748092|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $376M < $500M
CRML|~|2026-08-21|~|scan_filter|~|score_below_50|~|40|~|12.07|~|routine|~|6|~|7.11|~|0.11166666666666665|~||~||~|0.20000000000000004|~|0.20000000000000004|~|08-24 17:16|~|score 40 < 50 (catalyst=routine)
ELAB|~|2026-08-21|~|scan_filter|~|extension_gate|~||~|9.67|~||~|6.6|~|6.66|~|-0.012121212121212133|~||~||~|0.10454545454545461|~|0.10454545454545461|~|08-24 17:16|~|already up 989% in prior 5 days (extended)
FHTX|~|2026-08-21|~|scan_filter|~|adv_low|~||~|9.84|~||~|7.1|~|7.07|~|-0.032394366197183035|~||~||~|0.035211267605633804|~|0.035211267605633804|~|08-24 17:16|~|quality filter: filter:adv_too_low: $968,892
GLSI|~|2026-08-21|~|scan_filter|~|mcap_low|~||~|9.18|~||~|16.16|~|16.67|~|0.08787128712871276|~||~||~|0.09405940594059403|~|0.09405940594059403|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $225M < $500M
IPST|~|2026-08-21|~|scan_filter|~|extension_gate|~||~|13.55|~||~|11.37|~|9.65|~|-0.24538258575197883|~||~||~|0.07290237467018477|~|0.07290237467018477|~|08-24 17:16|~|already up 413% in prior 5 days (extended)
ISOU|~|2026-08-21|~|scan_filter|~|adv_low|~||~|11.82|~||~|10.58|~|11.89|~|0.11153119092627596|~||~||~|0.1342155009451796|~|0.1342155009451796|~|08-24 17:16|~|quality filter: filter:adv_too_low: $625,251
LAR|~|2026-08-21|~|scan_filter|~|session_rvol_low|~||~|10.2|~||~|6.28|~|6.83|~|0.06687898089171973|~||~||~|0.13694267515923558|~|0.13694267515923558|~|08-24 17:16|~|filter:session_rvol_too_low: session_rvol=0.40x (today 84,678 / baseline 210,749 n=23) < 1.0x
MSTR|~|2026-08-21|~|scan_filter|~|catalyst_downgrade|~||~|9.58|~||~|119.685|~|119.25|~|0.02460625809416379|~||~||~|0.06863850942056234|~|0.06863850942056234|~|08-24 17:16|~|routine catalyst, gap 9.6%
NAKA|~|2026-08-21|~|scan_filter|~|adv_low|~||~|9.52|~||~|6.64|~|7.06|~|0.08433734939759044|~||~||~|0.12500000000000003|~|0.12500000000000003|~|08-24 17:16|~|quality filter: filter:adv_too_low: $504,408
PAL|~|2026-08-21|~|scan_filter|~|mcap_low|~||~|16.89|~||~|5.26|~|5.33|~|0.0076045627376425924|~||~||~|0.03802281368821296|~|0.03802281368821296|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $146M < $500M
RFAI|~|2026-08-21|~|scan_filter|~|adv_low|~||~|260.25|~||~|40|~|58|~|0.27599999999999997|~||~||~|0.825|~|0.825|~|08-24 17:16|~|quality filter: filter:adv_too_low: $67,037
RPC|~|2026-08-21|~|scan_filter|~|catalyst_downgrade|~||~|10.2|~||~|8.73|~|8.76|~|0.01832760595647195|~||~||~|0.03321878579610529|~|0.03321878579610529|~|08-24 17:16|~|routine catalyst, gap 10.2%
SCTX|~|2026-08-21|~|scan_filter|~|extension_gate|~||~|9.14|~||~|33.9|~|34.13|~|0.0988200589970502|~||~||~|0.14749262536873156|~|0.14749262536873156|~|08-24 17:16|~|already up 61% in prior 5 days (extended)
SGML|~|2026-08-21|~|scan_filter|~|session_rvol_low|~||~|9.46|~||~|11.19|~|11.97|~|0.09115281501340496|~||~||~|0.1420911528150134|~|0.1420911528150134|~|08-24 17:16|~|filter:session_rvol_too_low: session_rvol=0.55x (today 105,464 / baseline 192,372 n=23) < 1.0x
UUUU|~|2026-08-21|~|high_unentered|~|window_missed|~|51.6|~|9.28|~|strong|~|14.63|~|15.14|~|0.017088174982911822|~||~||~|0.0628844839371155|~|0.0628844839371155|~|08-24 17:16|~|window:out_of_orb: detected 09:55 ET
AEMD|~|2026-08-24|~|scan_filter|~|filter_other|~||~|8.058608058608066|~||~|2.79|~|2.64|~||~||~||~|0|~|0|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $2.73 < $5.00 floor
AEON|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.049453409682465|~||~|0.201|~|0.1974|~||~||~||~|0.003980099502487538|~|0.003980099502487538|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.19 < $5.00 floor
AERO|~|2026-08-24|~|scan_filter|~|pm_rvol_low|~||~|9.18|~||~|14|~|14.41|~||~||~||~|0.03357142857142862|~|0.03357142857142862|~|08-24 17:16|~|pre-mkt volume 3,037 < 25,000 shares
AGRZ|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.716672349130581|~||~|0.2845|~|0.2754|~||~||~||~|0.015465729349736433|~|0.015465729349736433|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.29 < $5.00 floor
AIFC|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.045125018493863|~||~|0.69|~|0.6593|~||~||~||~|0.01449275362318842|~|0.01449275362318842|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.68 < $5.00 floor
AIFU|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.811388169665788|~||~|16.98|~|22.2|~||~||~||~|0.6219081272084804|~|0.6219081272084804|~|08-24 17:16|~|filter:universe_prev_day_illiquid: prior-day volume 47,973 < 50,000 shares floor
AIXI|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.987762237762233|~||~|0.4658|~|0.4576|~||~||~||~|0.030485186775440085|~|0.030485186775440085|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.46 < $5.00 floor
AKTX|~|2026-08-24|~|scan_filter|~|filter_other|~||~|7.006369426751602|~||~|8|~|7.47|~||~||~||~|0.007500000000000062|~|0.007500000000000062|~|08-24 17:16|~|filter:universe_prev_day_illiquid: prior-day volume 10,988 < 50,000 shares floor
ALVO|~|2026-08-24|~|scan_filter|~|filter_other|~||~|7.2234762979684035|~||~|4.79|~|5.25|~||~||~||~|0.11878914405010438|~|0.11878914405010438|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $4.43 < $5.00 floor
AMC|~|2026-08-24|~|scan_filter|~|filter_other|~||~|7.36078431372549|~||~|2.54|~|2.67|~||~||~||~|0.08661417322834636|~|0.08661417322834636|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $2.55 < $5.00 floor
ANY|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.130268199233722|~||~|2.77|~|2.43|~||~||~||~|0.03610108303249101|~|0.03610108303249101|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $2.61 < $5.00 floor
APRE|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.356395439637681|~||~|0.7042|~|0.8052|~||~||~||~|0.2070434535643282|~|0.2070434535643282|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.64 < $5.00 floor
ARAI|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.7340382269215135|~||~|0.241|~|0.2311|~||~||~||~|0.03692946058091294|~|0.03692946058091294|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.25 < $5.00 floor
ARAY|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.405693950177921|~||~|0.2848|~|0.2716|~||~||~||~|0.08813202247191015|~|0.08813202247191015|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.28 < $5.00 floor
ARBB|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.696703296703294|~||~|4.8092|~|4.7667|~||~||~||~|0|~|0|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $4.55 < $5.00 floor
AREN|~|2026-08-24|~|scan_filter|~|filter_other|~||~|8.06754221388367|~||~|0.87|~|0.9522|~||~||~||~|0.12045977011494254|~|0.12045977011494254|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.91 < $5.00 floor
ARTL|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.491329479768792|~||~|0.6789|~|0.689|~||~||~||~|0.0455148033583739|~|0.0455148033583739|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.69 < $5.00 floor
AVAT|~|2026-08-24|~|scan_filter|~|filter_other|~||~|10.17951856385149|~||~|0.54|~|0.538|~||~||~||~|0.07388888888888877|~|0.07388888888888877|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.49 < $5.00 floor
AVX|~|2026-08-24|~|scan_filter|~|filter_other|~||~|10.942989214175647|~||~|3.32|~|3.69|~||~||~||~|0.20481927710843378|~|0.20481927710843378|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $3.25 < $5.00 floor
AXIL|~|2026-08-24|~|scan_filter|~|filter_other|~||~|17.97385620915032|~||~|6.2|~|6.38|~||~||~||~|0.08548387096774197|~|0.08548387096774197|~|08-24 17:16|~|filter:universe_prev_day_illiquid: prior-day volume 28,762 < 50,000 shares floor
AZIO|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.172413793103453|~||~|1.14|~|1.19|~||~||~||~|0.08771929824561413|~|0.08771929824561413|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.16 < $5.00 floor
BAK|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.527638190954779|~||~|1.95|~|1.84|~||~||~||~|0|~|0|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.99 < $5.00 floor
BBCQ|~|2026-08-24|~|scan_filter|~|mcap_low|~||~|9.68|~||~|10.13|~|10.45|~||~||~||~|0.054580454096742274|~|0.054580454096742274|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $372M < $500M
BCAB|~|2026-08-24|~|scan_filter|~|filter_other|~||~|7.232704402515722|~||~|3.27|~|3.28|~||~||~||~|0.22324159021406728|~|0.22324159021406728|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $3.18 < $5.00 floor
BCTX|~|2026-08-24|~|scan_filter|~|filter_other|~||~|10.073710073710076|~||~|4.045|~|3.46|~||~||~||~|0.0012360939431396523|~|0.0012360939431396523|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $4.07 < $5.00 floor
BDRX|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.2992125984252025|~||~|1.22|~|1.2|~||~||~||~|0.10655737704918042|~|0.10655737704918042|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.27 < $5.00 floor
BGL|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.1724137931034395|~||~|0.2096|~|0.2074|~||~||~||~|0.02003816793893121|~|0.02003816793893121|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.20 < $5.00 floor
BGM|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.3286313381624115|~||~|0.2668|~|0.2504|~||~||~||~|0|~|0|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.26 < $5.00 floor
BIOX|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.41868904513495|~||~|0.44|~|0.412|~||~||~||~|0.022500000000000044|~|0.022500000000000044|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.44 < $5.00 floor
BIYA|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.485232067510544|~||~|2.34|~|2.4|~||~||~||~|0.06837606837606844|~|0.06837606837606844|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $2.37 < $5.00 floor
BMEA|~|2026-08-24|~|scan_filter|~|filter_other|~||~|16.07299270072992|~||~|1.51|~|1.59|~||~||~||~|0.17218543046357615|~|0.17218543046357615|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.37 < $5.00 floor
BMR|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.8702290076335775|~||~|1.34|~|1.29|~||~||~||~|0.007462686567164185|~|0.007462686567164185|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.31 < $5.00 floor
BNR|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.521472392638047|~||~|10.32|~|10.32|~||~||~||~|0|~|0|~|08-24 17:16|~|filter:universe_prev_day_illiquid: prior-day volume 4,631 < 50,000 shares floor
BOLD|~|2026-08-24|~|scan_filter|~|filter_other|~||~|8.333333333333332|~||~|3.05|~|2.96|~||~||~||~|0.03724590163934439|~|0.03724590163934439|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $3.00 < $5.00 floor
BRLS|~|2026-08-24|~|scan_filter|~|filter_other|~||~|8.01621621621621|~||~|1.84|~|1.76|~||~||~||~|0.21195652173913038|~|0.21195652173913038|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.85 < $5.00 floor
BRLT|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.32330827067669|~||~|1.39|~|1.33|~||~||~||~|0.014388489208633108|~|0.014388489208633108|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.33 < $5.00 floor
BRNX|~|2026-08-24|~|scan_filter|~|filter_other|~||~|10.455764075067027|~||~|4.2|~|4.18|~||~||~||~|0|~|0|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $3.73 < $5.00 floor
BRR|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.116279069767436|~||~|2.15|~|2.15|~||~||~||~|0.044186046511628|~|0.044186046511628|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $2.15 < $5.00 floor
BTCS|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.185185185185174|~||~|1.4|~|1.47|~||~||~||~|0.07214285714285713|~|0.07214285714285713|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.35 < $5.00 floor
BTCT|~|2026-08-24|~|scan_filter|~|filter_other|~||~|35.184210526315795|~||~|1.63|~|1.74|~||~||~||~|0.687116564417178|~|0.687116564417178|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $1.14 < $5.00 floor
CAAS|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.209850107066382|~||~|4.67|~|4.755|~||~||~||~|0.07066381156316918|~|0.07066381156316918|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $4.67 < $5.00 floor
CALC|~|2026-08-24|~|scan_filter|~|filter_other|~||~|5.115223463687149|~||~|0.58|~|0.5564|~||~||~||~|0.03241379310344834|~|0.03241379310344834|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.57 < $5.00 floor
CAN|~|2026-08-24|~|scan_filter|~|filter_other|~||~|9.83098591549297|~||~|0.3828|~|0.36|~||~||~||~|0.004702194357366834|~|0.004702194357366834|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.35 < $5.00 floor
CANG|~|2026-08-24|~|scan_filter|~|filter_other|~||~|16.102803738317746|~||~|2.24|~|2.3|~||~||~||~|0.24549107142857124|~|0.24549107142857124|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $2.14 < $5.00 floor
CAPR|~|2026-08-24|~|scan_filter|~|mcap_low|~||~|10.33|~||~|8.03|~|6.8|~||~||~||~|0|~|0|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $466M < $500M
CBAT|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.8731026108075275|~||~|0.8458|~|0.8648|~||~||~||~|0.0936391581934264|~|0.0936391581934264|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.82 < $5.00 floor
CBK|~|2026-08-24|~|scan_filter|~|filter_other|~||~|6.477373558118893|~||~|34.03|~|33.93|~||~||~||~|0.00969732588892149|~|0.00969732588892149|~|08-24 17:16|~|filter:universe_prev_day_illiquid: prior-day volume 43,997 < 50,000 shares floor
CCTG|~|2026-08-24|~|scan_filter|~|filter_other|~||~|13.838600797790724|~||~|0.65|~|0.6495|~||~||~||~|0.04599846153846155|~|0.04599846153846155|~|08-24 17:16|~|filter:universe_prev_close_too_low: prior close $0.65 < $5.00 floor
