scan_date|~|ticker|~|last_tick_et|~|gap_pct|~|prev_close|~|rel_volume|~|ep_score|~|score_tier|~|catalyst_quality|~|adv|~|adv_source|~|pm_rvol|~|rank_by_gap|~|projected_vol_multiple|~|minutes_since_open|~|price_source|~|filter_reason
2026-08-24|~|BRNX|~|09:55|~|10.455764075067027|~|3.73|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $3.73 < $5.00 floor
2026-08-24|~|BRR|~|09:05|~|5.116279069767436|~|2.15|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $2.15 < $5.00 floor
2026-08-24|~|BTCS|~|09:45|~|5.185185185185174|~|1.35|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $1.35 < $5.00 floor
2026-08-24|~|BTCT|~|09:55|~|35.184210526315795|~|1.14|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.14 < $5.00 floor
2026-08-24|~|CAAS|~|09:50|~|6.209850107066382|~|4.67|~||~||~||~||~||~||~||~||~||~|20|~||~|filter:universe_prev_close_too_low: prior close $4.67 < $5.00 floor
2026-08-24|~|CALC|~|07:15|~|5.115223463687149|~|0.5728|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.57 < $5.00 floor
2026-08-24|~|CAN|~|09:45|~|9.83098591549297|~|0.355|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.35 < $5.00 floor
2026-08-24|~|CANG|~|09:55|~|16.102803738317746|~|2.14|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.14 < $5.00 floor
2026-08-24|~|CAPR|~|09:31|~|10.33|~|6.29|~|0.06|~||~||~||~|7703041.160356499|~|polygon_20d|~|1.637|~|4|~||~|1|~|polygon_delayed|~|quality filter: filter:mcap_too_small: $466M < $500M
2026-08-24|~|CBAT|~|09:55|~|6.8731026108075275|~|0.8235|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.82 < $5.00 floor
2026-08-24|~|CBK|~|09:25|~|6.477373558118893|~|33.81|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_day_illiquid: prior-day volume 43,997 < 50,000 shares floor
2026-08-24|~|CCTG|~|09:45|~|13.838600797790724|~|0.6518|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.65 < $5.00 floor
2026-08-24|~|CD|~|09:20|~|7.520891364902507|~|3.59|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $3.59 < $5.00 floor
2026-08-24|~|CDIO|~|09:55|~|6.891625615763565|~|2.03|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.03 < $5.00 floor
2026-08-24|~|CDTG|~|09:00|~|5.932203389830514|~|1.18|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.18 < $5.00 floor
2026-08-24|~|CIRC|~|09:55|~|5.25803310613437|~|0.6162|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.62 < $5.00 floor
2026-08-24|~|CLGN|~|09:45|~|6.833093294927182|~|0.31245|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.31 < $5.00 floor
2026-08-24|~|CLIK|~|07:10|~|5.035971223021588|~|1.39|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.39 < $5.00 floor
2026-08-24|~|CLRO|~|07:30|~|6.741573033707872|~|5.34|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_day_illiquid: prior-day volume 31,214 < 50,000 shares floor
2026-08-24|~|CMND|~|08:20|~|5.172413793103453|~|1.74|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.74 < $5.00 floor
2026-08-24|~|CNSP|~|09:55|~|6.17324185248713|~|5.83|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_day_illiquid: prior-day volume 8,111 < 50,000 shares floor
2026-08-24|~|CNTN|~|09:40|~|5.9360730593607265|~|2.19|~||~||~||~||~||~||~||~||~||~|10|~||~|filter:universe_prev_close_too_low: prior close $2.19 < $5.00 floor
2026-08-24|~|CODX|~|09:45|~|7.438016528925627|~|1.21|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $1.21 < $5.00 floor
2026-08-24|~|COE|~|07:25|~|5.599513085818635|~|16.43|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_day_illiquid: prior-day volume 12,705 < 50,000 shares floor
2026-08-24|~|COOK|~|09:55|~|5.55455365193868|~|55.45|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_day_illiquid: prior-day volume 15,128 < 50,000 shares floor
2026-08-24|~|COPR|~|09:55|~|12.359550561797755|~|2.67|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.67 < $5.00 floor
2026-08-24|~|CRDF|~|09:55|~|11.36234518804681|~|0.8801|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.88 < $5.00 floor
2026-08-24|~|CVRX|~|09:55|~|12.161971830985921|~|2.84|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.84 < $5.00 floor
2026-08-24|~|CYAB|~|09:55|~|8.67381111855326|~|0.2986|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.30 < $5.00 floor
2026-08-24|~|CYPH|~|09:55|~|23.94366197183099|~|1.42|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.42 < $5.00 floor
2026-08-24|~|DAIC|~|09:55|~|195.77464788732397|~|0.426|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.43 < $5.00 floor
2026-08-24|~|DDC|~|07:45|~|6.059096945551125|~|0.6024|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.60 < $5.00 floor
2026-08-24|~|DEFT|~|09:55|~|5.618368411897721|~|0.5749|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.57 < $5.00 floor
2026-08-24|~|DETX|~|09:55|~|6.162891986062716|~|3.6736|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $3.67 < $5.00 floor
2026-08-24|~|DFDV|~|09:45|~|5.568527918781721|~|3.94|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $3.94 < $5.00 floor
2026-08-24|~|DFSC|~|08:20|~|5.14193548387096|~|1.55|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.55 < $5.00 floor
2026-08-24|~|DGNX|~|09:55|~|7.812499999999989|~|1.28|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.28 < $5.00 floor
2026-08-24|~|DIT|~|09:45|~|5.992085924250982|~|70.76|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_day_illiquid: prior-day volume 833 < 50,000 shares floor
2026-08-24|~|DOMH|~|08:00|~|5.813953488372089|~|2.58|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $2.58 < $5.00 floor
2026-08-24|~|DTCX|~|09:55|~|5.725190839694653|~|2.62|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.62 < $5.00 floor
2026-08-24|~|DWTX|~|09:55|~|5.220883534136542|~|2.49|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.49 < $5.00 floor
2026-08-24|~|DXST|~|09:55|~|19.841269841269842|~|2.52|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.52 < $5.00 floor
2026-08-24|~|EDSA|~|07:25|~|5.191873589164795|~|4.43|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $4.43 < $5.00 floor
2026-08-24|~|EMAT|~|09:55|~|16.624685138539032|~|3.97|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $3.97 < $5.00 floor
2026-08-24|~|ENLV|~|07:00|~|8.163265306122456|~|1.47|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.47 < $5.00 floor
2026-08-24|~|EPOW|~|09:45|~|7.118946663691136|~|0.4481|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.45 < $5.00 floor
2026-08-24|~|EXYN|~|09:55|~|14.479638009049767|~|2.21|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.21 < $5.00 floor
2026-08-24|~|FAC|~|09:05|~|5.422993492407809|~|4.61|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $4.61 < $5.00 floor
2026-08-24|~|FNGR|~|07:20|~|8.310626702997267|~|0.2202|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.22 < $5.00 floor
2026-08-24|~|FOXX|~|09:55|~|6.060606060606051|~|2.97|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.97 < $5.00 floor
2026-08-24|~|GEMI|~|09:50|~|6.542056074766339|~|4.28|~||~||~||~||~||~||~||~||~||~|20|~||~|filter:universe_prev_close_too_low: prior close $4.28 < $5.00 floor
2026-08-24|~|GETY|~|08:30|~|5.005688282138791|~|0.2637|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.26 < $5.00 floor
2026-08-24|~|GGR|~|07:15|~|25.418502202643168|~|2.27|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $2.27 < $5.00 floor
2026-08-24|~|GIFT|~|09:55|~|5.318520269471699|~|0.8461|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.85 < $5.00 floor
2026-08-24|~|GNPX|~|09:45|~|5.822784810126571|~|3.95|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $3.95 < $5.00 floor
2026-08-24|~|GOAI|~|09:55|~|10.708520179372192|~|2.23|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.23 < $5.00 floor
2026-08-24|~|GOVX|~|09:55|~|9.926734820322181|~|0.6456|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.65 < $5.00 floor
2026-08-24|~|GRI|~|09:55|~|9.696969696969706|~|1.65|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.65 < $5.00 floor
2026-08-24|~|GTEC|~|09:50|~|5.198477433387718|~|0.9195|~||~||~||~||~||~||~||~||~||~|20|~||~|filter:universe_prev_close_too_low: prior close $0.92 < $5.00 floor
2026-08-24|~|HCAT|~|09:45|~|5.228758169934645|~|1.53|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $1.53 < $5.00 floor
2026-08-24|~|HCTI|~|08:15|~|5.371571639922602|~|0.8787|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.88 < $5.00 floor
2026-08-24|~|HCWB|~|09:45|~|6.422018348623839|~|2.18|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $2.18 < $5.00 floor
2026-08-24|~|HMR|~|09:45|~|5.185185185185174|~|1.35|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $1.35 < $5.00 floor
2026-08-24|~|HODO|~|09:55|~|8.22510822510822|~|0.462|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.46 < $5.00 floor
2026-08-24|~|HPAI|~|09:45|~|7.102337190832765|~|0.4407|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.44 < $5.00 floor
2026-08-24|~|HSCS|~|09:31|~|6.071428571428585|~|2.8|~||~||~||~||~||~||~||~||~||~|1|~||~|filter:universe_prev_close_too_low: prior close $2.80 < $5.00 floor
2026-08-24|~|HSDT|~|09:55|~|5.195238095238083|~|2.1|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.10 < $5.00 floor
2026-08-24|~|HUMA|~|09:45|~|5.29430084085955|~|0.6422|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.64 < $5.00 floor
2026-08-24|~|HURA|~|09:45|~|7.499999999999996|~|2|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $2.00 < $5.00 floor
2026-08-24|~|HVII|~|09:55|~|17.35|~|6.385|~|1.3|~||~||~||~|55795.009072500005|~|polygon_20d|~||~|2|~|20.3|~|25|~|polygon_delayed|~|quality filter: filter:adv_too_low: $600,114
2026-08-24|~|HYNE|~|09:45|~|8.043217286914766|~|16.66|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_day_illiquid: prior-day volume 22,299 < 50,000 shares floor
2026-08-24|~|HYPD|~|09:55|~|6.273584905660377|~|3.18|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $3.18 < $5.00 floor
2026-08-24|~|ICCM|~|08:10|~|7.530864197530857|~|2.43|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $2.43 < $5.00 floor
2026-08-24|~|ILLR|~|07:50|~|5.442101777238106|~|0.9059|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.91 < $5.00 floor
2026-08-24|~|IMDX|~|09:25|~|5.299539170506922|~|4.34|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $4.34 < $5.00 floor
2026-08-24|~|INCR|~|09:55|~|26.13035819142689|~|4.2575|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $4.26 < $5.00 floor
2026-08-24|~|INEO|~|09:55|~|5.490271623964548|~|0.5191|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.52 < $5.00 floor
2026-08-24|~|INM|~|09:55|~|10.273972602739736|~|1.46|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.46 < $5.00 floor
2026-08-24|~|IPDN|~|08:40|~|6.2753036437246985|~|0.1482|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.15 < $5.00 floor
2026-08-24|~|JAB|~|07:50|~|10.76458752515091|~|9.94|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_day_illiquid: prior-day volume 6,272 < 50,000 shares floor
2026-08-24|~|JLHL|~|08:00|~|11.32|~|6.6|~|0.28|~||~||~||~|340967.817676|~|polygon_20d|~||~|4|~||~||~|polygon_delayed|~|quality filter: filter:atr_too_high: 25.1% > 15.0%
2026-08-24|~|JZ|~|09:55|~|11.363636363636363|~|2.2|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.20 < $5.00 floor
2026-08-24|~|LANV|~|09:55|~|9.980952380952381|~|1.05|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.05 < $5.00 floor
2026-08-24|~|LEDS|~|09:55|~|8.1151832460733|~|1.91|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.91 < $5.00 floor
2026-08-24|~|LESL|~|07:20|~|5.690515806988354|~|0.601|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.60 < $5.00 floor
2026-08-24|~|LEXX|~|09:45|~|7.833256985799363|~|10.915|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_day_illiquid: prior-day volume 8,919 < 50,000 shares floor
2026-08-24|~|LGHL|~|09:55|~|21.414473684210524|~|0.608|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.61 < $5.00 floor
2026-08-24|~|LGVN|~|07:20|~|5.337909811812052|~|0.8449|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.84 < $5.00 floor
2026-08-24|~|LHSW|~|09:45|~|7.200000000000006|~|2.5|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $2.50 < $5.00 floor
2026-08-24|~|LITS|~|09:25|~|6.0927553804183106|~|0.9897|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.99 < $5.00 floor
2026-08-24|~|LOBO|~|09:55|~|6.122135056145201|~|0.6501|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.65 < $5.00 floor
2026-08-24|~|LONA|~|09:55|~|5.595315549772292|~|7.685|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_day_illiquid: prior-day volume 9,651 < 50,000 shares floor
2026-08-24|~|LSTA|~|09:55|~|14.193548387096772|~|1.55|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.55 < $5.00 floor
2026-08-24|~|LUCY|~|09:55|~|57.87395818102065|~|0.6839|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.68 < $5.00 floor
2026-08-24|~|MBRX|~|09:45|~|5.817875210792576|~|0.593|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.59 < $5.00 floor
2026-08-24|~|MDXH|~|07:05|~|7.65711209796798|~|0.7431|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.74 < $5.00 floor
2026-08-24|~|MERC|~|09:45|~|5.734430082256177|~|0.4255|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.43 < $5.00 floor
2026-08-24|~|MHH|~|09:45|~|5.73333333333333|~|7.5|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_day_illiquid: prior-day volume 9,608 < 50,000 shares floor
2026-08-24|~|MINE|~|09:55|~|5.844155844155835|~|3.08|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $3.08 < $5.00 floor
2026-08-24|~|MNOV|~|08:45|~|5.035971223021588|~|1.39|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.39 < $5.00 floor
2026-08-24|~|MODD|~|09:40|~|5.367231638418078|~|3.54|~||~||~||~||~||~||~||~||~||~|10|~||~|filter:universe_prev_close_too_low: prior close $3.54 < $5.00 floor
2026-08-24|~|MPU|~|09:45|~|5.044371788883688|~|0.2141|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.21 < $5.00 floor
2026-08-24|~|MREO|~|08:00|~|5.371900826446282|~|0.2904|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.29 < $5.00 floor
2026-08-24|~|MRKR|~|09:55|~|7.187050359712238|~|1.39|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.39 < $5.00 floor
2026-08-24|~|MSGM|~|09:45|~|5.689001264222495|~|3.955|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $3.96 < $5.00 floor
2026-08-24|~|MTVA|~|09:00|~|5.815068493150683|~|1.46|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.46 < $5.00 floor
2026-08-24|~|MVIS|~|09:50|~|6.024096385542174|~|1.66|~||~||~||~||~||~||~||~||~||~|20|~||~|filter:universe_prev_close_too_low: prior close $1.66 < $5.00 floor
2026-08-24|~|NCEL|~|09:45|~|5.814202960738031|~|3.2627|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $3.26 < $5.00 floor
2026-08-24|~|NFE|~|07:15|~|5.418181818181806|~|0.275|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.28 < $5.00 floor
