et_date|~|event_type|~|count
2026-08-19|~|theme_carryforward_filter_stripped|~|4
2026-08-19|~|theme_pass1_5_absorption|~|4
2026-08-19|~|theme_renamed_for_continuity|~|4
2026-08-19|~|orb_triggered|~|4
2026-08-19|~|ep_catalyst_suppressed|~|3
2026-08-19|~|9m_sugar_babies_confirmed|~|3
2026-08-19|~|filter:large_cap_relvol_floor_shadow|~|3
2026-08-19|~|splits_ingest_summary|~|3
2026-08-19|~|ep_rt_gap_clamped|~|3
2026-08-19|~|splits_ingest_fractional_skipped|~|3
2026-08-19|~|trade_lifecycle_telegram_attempted|~|3
2026-08-19|~|rs_extreme_return|~|3
2026-08-19|~|ep_alert|~|3
2026-08-19|~|theme_breadth_fade|~|3
2026-08-19|~|orb_bar_fetched|~|3
2026-08-19|~|theme_load_state|~|3
2026-08-19|~|tape_conviction_shadow|~|2
2026-08-19|~|dual_account_boot_verified|~|2
2026-08-19|~|global_ticker_ban_active|~|2
2026-08-19|~|advisor_call|~|2
2026-08-19|~|alert_rank_shadow_recorded|~|2
2026-08-19|~|cap_plus_one_shadow_recorded|~|2
2026-08-19|~|intraday_ma_pullback|~|2
2026-08-19|~|ep_rt_sustain_undecidable|~|2
2026-08-19|~|ep_tinycap_observed|~|2
2026-08-19|~|lane2_decision_record|~|2
2026-08-19|~|stop_refresh_ran|~|2
2026-08-19|~|ma_break|~|2
2026-08-19|~|missed_outcomes_refreshed|~|2
2026-08-19|~|mna_keyword_vetoed_by_classifier|~|2
2026-08-19|~|narrative_theme_discovery_ran|~|2
2026-08-19|~|shadow_themes_promoted|~|2
2026-08-19|~|orb_order_placed|~|2
2026-08-19|~|perplexity_boost_shadow|~|2
2026-08-19|~|seeded_pool_admission|~|2
2026-08-19|~|rs_deterioration|~|2
2026-08-19|~|theme_discovery_shadow_ran|~|2
2026-08-19|~|theme_empty_tickers|~|2
2026-08-19|~|theme_engine_funnel|~|2
2026-08-19|~|theme_constituent_churn|~|2
2026-08-19|~|theme_composition_churn|~|2
2026-08-19|~|theme_merge_pairs_proposed|~|2
2026-08-19|~|review_escalation|~|2
2026-08-19|~|theme_cap_drop|~|2
2026-08-19|~|fat_theme_no_split|~|2
2026-08-19|~|pivot_stop_shadow_skipped|~|2
2026-08-19|~|theme_retired|~|2
2026-08-19|~|exit_path_shadow_recorded|~|2
2026-08-19|~|theme_auto_retired|~|2
2026-08-19|~|theme_split|~|2
2026-08-19|~|watchdog_heartbeat|~|1
2026-08-19|~|gdrive_backup_success|~|1
2026-08-19|~|gdrive_secrets_success|~|1
2026-08-19|~|giveback_shadow_logged|~|1
2026-08-19|~|health_heartbeat_ok|~|1
2026-08-19|~|health_job_liveness_clean|~|1
2026-08-19|~|health_null_sweep_clean|~|1
2026-08-19|~|anticipation_mna_check_capped|~|1
2026-08-19|~|backup_restore_check_ok|~|1
2026-08-19|~|book_concentration_snapshot|~|1
2026-08-19|~|cap_recheck_blocked|~|1
2026-08-19|~|catalyst_yoy_recovered_live|~|1
2026-08-19|~|conviction_floor_eligible|~|1
2026-08-19|~|cost_watchdog_check|~|1
2026-08-19|~|coverage_probe_ran|~|1
2026-08-19|~|crypto_ingest_completed|~|1
2026-08-19|~|db_growth_check|~|1
2026-08-19|~|detector_liveness_check|~|1
2026-08-19|~|discovery_error|~|1
2026-08-19|~|earnings_override_no_match|~|1
2026-08-19|~|ecosystem_reactivation_clean|~|1
2026-08-19|~|entry_partial_fill|~|1
2026-08-19|~|anomaly_detected|~|1
2026-08-19|~|ep_cooldown_bypassed_earnings|~|1
2026-08-19|~|ep_delayed_residual_scan|~|1
2026-08-19|~|ep_provenance_daily|~|1
2026-08-19|~|ep_residual_outcomes_backfilled|~|1
2026-08-19|~|ep_rt_halt_suspect|~|1
2026-08-19|~|ep_rt_shadow_capture|~|1
2026-08-19|~|ep_rt_tick_quality_reject|~|1
2026-08-19|~|htf_management_shadow_run|~|1
2026-08-19|~|evening_brief_sent|~|1
2026-08-19|~|intraday_flag_break|~|1
2026-08-19|~|intraday_low_vol_rest|~|1
2026-08-19|~|job_cancelled_error|~|1
2026-08-19|~|jsonb_encoding_check|~|1
2026-08-19|~|llm_truncation_check|~|1
2026-08-19|~|llm_truncation_live|~|1
2026-08-19|~|market_close_digest_sent|~|1
2026-08-19|~|orb_bar_miss|~|1
2026-08-19|~|orb_bar_stream_used|~|1
2026-08-19|~|orb_blocked|~|1
2026-08-19|~|orb_out_of_window|~|1
2026-08-19|~|partial_exit_breakeven_armed|~|1
2026-08-19|~|partial_exit_committed|~|1
2026-08-19|~|partial_exit_sell_placed|~|1
2026-08-19|~|partial_exit_started|~|1
2026-08-19|~|partial_exit_stop_replaced|~|1
2026-08-19|~|partial_exit_stop_telegram_pending|~|1
2026-08-19|~|pivot_stop_shadow_logged|~|1
2026-08-19|~|profit_trigger_fired|~|1
2026-08-19|~|r3_day1_reentry_blocked|~|1
2026-08-19|~|row_count_drift_sweep|~|1
2026-08-19|~|sell_discipline_recorded|~|1
2026-08-19|~|spend_alarm_fired|~|1
2026-08-19|~|split_apply_skipped_no_data|~|1
2026-08-19|~|stop_replacement_confirmed_silent|~|1
2026-08-19|~|stop_updated|~|1
2026-08-19|~|stop_update_failed|~|1
2026-08-19|~|stop_update_retry_succeeded|~|1
2026-08-19|~|stop_update_started|~|1
2026-08-19|~|sugar_babies_cohort_refreshed|~|1
2026-08-19|~|theme_axis_co_move_refreshed|~|1
2026-08-19|~|theme_quality_clean|~|1
2026-08-19|~|theme_synthesis_run|~|1
2026-08-19|~|theme_thesis_merged|~|1
2026-08-19|~|unified_allocation_decided|~|1
2026-08-19|~|validation_error|~|1
2026-08-19|~|validation_mass_removal_name_suspect|~|1
2026-08-20|~|ep_rt_universe_coverage|~|38
2026-08-20|~|ep_rt_floor_flip_down|~|37
2026-08-20|~|assignment_llm_proposed|~|21
2026-08-20|~|ep_rt_admit|~|18
2026-08-20|~|ep_rt_floor_flip_up|~|17
2026-08-20|~|theme_discovery_llm_call|~|14
2026-08-20|~|metric_sample|~|13
2026-08-20|~|9m_ep_detected|~|12
2026-08-20|~|ep_catalyst_provenance|~|10
2026-08-20|~|theme_ecosystem_assigned|~|10
2026-08-20|~|ep_rt_volume_shadow|~|9
2026-08-20|~|theme_low_quality_description|~|8
2026-08-20|~|theme_merge_adjudication_error|~|8
2026-08-20|~|ep_rt_universe_catch|~|7
2026-08-20|~|account_mode_active|~|7
2026-08-20|~|stage_change|~|7
2026-08-20|~|theme_pass1_protect_strip|~|7
2026-08-20|~|dual_account_creds_resolved|~|7
2026-08-20|~|assignment_skipped_sector_outlier|~|6
2026-08-20|~|theme_stage_flip_held|~|6
2026-08-20|~|theme_breadth_fade|~|6
2026-08-20|~|split_detected|~|6
2026-08-20|~|ep_rt_sustain_reject|~|6
2026-08-20|~|anticipation_coil_buyout_pin_rejected|~|5
2026-08-20|~|theme_pass1_5_absorption|~|5
2026-08-20|~|theme_retired|~|5
2026-08-20|~|path_coverage_gap|~|5
2026-08-20|~|dual_account_boot_verified|~|4
2026-08-20|~|orb_bar_miss|~|4
2026-08-20|~|telegram_markdown_fallback|~|4
2026-08-20|~|theme_discovered|~|4
2026-08-20|~|ep_rt_tick_quality_reject|~|4
2026-08-20|~|ep_rt_sustain_undecidable|~|4
2026-08-20|~|description_generated|~|3
2026-08-20|~|split_applied|~|3
2026-08-20|~|theme_sector_cap_dropped|~|3
2026-08-20|~|theme_pass1_5_skip|~|3
2026-08-20|~|orb_triggered|~|3
2026-08-20|~|ep_grade_decision|~|3
2026-08-20|~|flag_stage_flip_held|~|3
2026-08-20|~|ep_catalyst_suppressed|~|2
2026-08-20|~|9m_sugar_babies_confirmed|~|2
2026-08-20|~|ep_alert|~|2
2026-08-20|~|orb_bar_fetched|~|2
2026-08-20|~|theme_load_state|~|2
2026-08-20|~|pivot_stop_shadow_skipped|~|2
2026-08-20|~|filter:large_cap_relvol_floor_shadow|~|2
2026-08-20|~|ep_rt_rvol_gate_flip|~|2
2026-08-20|~|order_status_reconciled|~|2
2026-08-20|~|orb_skipped|~|2
2026-08-20|~|ep_tinycap_observed|~|2
2026-08-20|~|theme_score_ties|~|2
2026-08-20|~|orb_bar_stream_used|~|2
2026-08-20|~|stop_refresh_ran|~|2
2026-08-20|~|splits_ingest_summary|~|2
2026-08-20|~|theme_birth_gate|~|2
2026-08-20|~|splits_ingest_fractional_skipped|~|2
2026-08-20|~|seeded_pool_admission|~|2
2026-08-20|~|theme_carryforward_filter_stripped|~|2
2026-08-20|~|intraday_ma_pullback|~|2
2026-08-20|~|intraday_support_test|~|2
2026-08-20|~|global_ticker_ban_active|~|2
2026-08-20|~|rs_extreme_return|~|2
2026-08-20|~|theme_axis_shadow_adjusted|~|1
2026-08-20|~|theme_cap_drop|~|1
2026-08-20|~|theme_composition_churn|~|1
2026-08-20|~|theme_constituent_churn|~|1
2026-08-20|~|theme_discovery_shadow_ran|~|1
2026-08-20|~|theme_empty_tickers|~|1
2026-08-20|~|theme_engine_funnel|~|1
2026-08-20|~|theme_merge_pairs_proposed|~|1
2026-08-20|~|theme_operator_promoted|~|1
2026-08-20|~|theme_orphan_sub|~|1
2026-08-20|~|theme_quality_clean|~|1
2026-08-20|~|theme_renamed_for_continuity|~|1
2026-08-20|~|theme_synthesis_run|~|1
2026-08-20|~|unified_allocation_decided|~|1
2026-08-20|~|watchdog_heartbeat|~|1
2026-08-20|~|evening_brief_sent|~|1
2026-08-20|~|exit_path_shadow_recorded|~|1
2026-08-20|~|fat_theme_no_split|~|1
2026-08-20|~|flag_ma_pullbacks_reconciled|~|1
2026-08-20|~|flag_support_tests_reconciled|~|1
2026-08-20|~|gdrive_backup_success|~|1
2026-08-20|~|gdrive_secrets_success|~|1
2026-08-20|~|health_heartbeat_ok|~|1
2026-08-20|~|health_job_liveness_clean|~|1
2026-08-20|~|health_null_sweep_clean|~|1
2026-08-20|~|htf_management_shadow_run|~|1
2026-08-20|~|intraday_low_vol_rest|~|1
2026-08-20|~|advisor_call|~|1
2026-08-20|~|alert_rank_shadow_recorded|~|1
2026-08-20|~|anomaly_detected|~|1
2026-08-20|~|anticipation_mna_check_capped|~|1
2026-08-20|~|backup_restore_check_ok|~|1
2026-08-20|~|book_concentration_snapshot|~|1
2026-08-20|~|cap_plus_one_shadow_recorded|~|1
2026-08-20|~|catalyst_downgrade_carveout_applied|~|1
2026-08-20|~|catalyst_earnings_boost|~|1
2026-08-20|~|catalyst_earnings_revenue_weak_downgrade|~|1
2026-08-20|~|catalyst_repoll_regraded_live|~|1
2026-08-20|~|cost_watchdog_check|~|1
2026-08-20|~|coverage_probe_candidate_written|~|1
2026-08-20|~|coverage_probe_ran|~|1
2026-08-20|~|crypto_ingest_completed|~|1
2026-08-20|~|db_growth_check|~|1
2026-08-20|~|detector_liveness_check|~|1
2026-08-20|~|ecosystem_reactivation_clean|~|1
2026-08-20|~|ep_delayed_residual_scan|~|1
2026-08-20|~|ep_provenance_daily|~|1
2026-08-20|~|ep_residual_outcomes_backfilled|~|1
2026-08-20|~|ep_rt_corp_action_hold|~|1
2026-08-20|~|ep_rt_gap_clamped|~|1
2026-08-20|~|ep_rt_live_miss|~|1
2026-08-20|~|ep_rt_prev_close_mismatch|~|1
2026-08-20|~|ep_rt_shadow_capture|~|1
2026-08-20|~|job_cancelled_error|~|1
2026-08-20|~|jsonb_encoding_check|~|1
2026-08-20|~|lane2_decision_record|~|1
2026-08-20|~|llm_truncation_live|~|1
2026-08-20|~|ma_break|~|1
2026-08-20|~|market_close_digest_sent|~|1
2026-08-20|~|missed_outcomes_refreshed|~|1
2026-08-20|~|mna_filter_fired|~|1
2026-08-20|~|narrative_theme_discovery_ran|~|1
2026-08-20|~|news_source_quality_drift|~|1
2026-08-20|~|orb_gap_below_floor|~|1
2026-08-20|~|perplexity_boost_shadow|~|1
2026-08-20|~|regime_transition|~|1
2026-08-20|~|row_count_drift_sweep|~|1
2026-08-20|~|shadow_themes_promoted|~|1
2026-08-20|~|stop_order_id_changed|~|1
2026-08-20|~|stop_replacement_confirmed_silent|~|1
2026-08-20|~|stop_updated|~|1
2026-08-20|~|stop_update_failed|~|1
2026-08-20|~|stop_update_retry_succeeded|~|1
2026-08-20|~|stop_update_started|~|1
2026-08-20|~|sugar_babies_cohort_refreshed|~|1
2026-08-20|~|theme_auto_retired|~|1
2026-08-20|~|theme_axis_co_move_refreshed|~|1
2026-08-21|~|ep_rt_universe_coverage|~|38
2026-08-21|~|ep_rt_floor_flip_up|~|20
2026-08-21|~|ep_rt_floor_flip_down|~|18
2026-08-21|~|theme_ecosystem_assigned|~|17
2026-08-21|~|ep_rt_admit|~|16
2026-08-21|~|9m_ep_detected|~|16
2026-08-21|~|theme_discovery_llm_call|~|14
2026-08-21|~|ep_rt_sustain_reject|~|14
2026-08-21|~|stage_change|~|14
2026-08-21|~|ticker_revalidated_out|~|13
2026-08-21|~|metric_sample|~|13
2026-08-21|~|validation_cooldown_triggered|~|13
2026-08-21|~|assignment_llm_proposed|~|12
2026-08-21|~|split_applied|~|8
2026-08-21|~|ep_rt_universe_catch|~|8
2026-08-21|~|theme_stage_flip_held|~|8
2026-08-21|~|theme_merge_distinct|~|7
2026-08-21|~|theme_pass1_protect_strip|~|6
2026-08-21|~|path_coverage_gap|~|6
2026-08-21|~|ep_rt_volume_shadow|~|5
2026-08-21|~|anticipation_coil_buyout_pin_rejected|~|5
2026-08-21|~|ep_catalyst_provenance|~|5
2026-08-21|~|theme_discovered|~|5
2026-08-21|~|theme_score_ties|~|5
2026-08-21|~|theme_pass1_5_skip|~|5
2026-08-21|~|ep_rt_live_miss|~|5
2026-08-21|~|split_detected|~|4
2026-08-21|~|intraday_ma_pullback|~|4
2026-08-21|~|anomaly_detected|~|4
2026-08-21|~|ep_rt_sustain_undecidable|~|4
2026-08-21|~|assignment_skipped_sector_outlier|~|4
2026-08-21|~|theme_retired|~|4
2026-08-21|~|review_escalation|~|4
2026-08-21|~|theme_breadth_fade|~|3
2026-08-21|~|ep_tinycap_observed|~|3
2026-08-21|~|ep_rt_prev_close_mismatch|~|3
2026-08-21|~|ep_filter_session_rvol|~|3
2026-08-21|~|flag_stage_flip_held|~|3
2026-08-21|~|ep_rt_rvol_gate_flip|~|3
2026-08-21|~|theme_low_quality_description|~|3
2026-08-21|~|theme_birth_gate|~|2
2026-08-21|~|llm_truncation_live|~|2
2026-08-21|~|account_mode_active|~|2
2026-08-21|~|description_generated|~|2
2026-08-21|~|dual_account_creds_resolved|~|2
2026-08-21|~|ep_rt_tick_quality_reject|~|2
2026-08-21|~|intraday_low_vol_rest|~|2
2026-08-21|~|order_status_reconciled|~|2
2026-08-21|~|stop_refresh_ran|~|2
2026-08-21|~|telegram_markdown_fallback|~|2
2026-08-21|~|theme_carryforward_filter_stripped|~|2
2026-08-21|~|theme_pass1_5_absorption|~|2
2026-08-21|~|theme_renamed_for_continuity|~|2
2026-08-21|~|theme_split|~|2
2026-08-21|~|health_null_sweep_clean|~|1
2026-08-21|~|htf_management_shadow_run|~|1
2026-08-21|~|9m_sugar_babies_confirmed|~|1
2026-08-21|~|alert_rank_shadow_recorded|~|1
2026-08-21|~|intraday_support_test|~|1
2026-08-21|~|jsonb_encoding_check|~|1
2026-08-21|~|judge_divergence_detected|~|1
2026-08-21|~|judge_theme_gap_candidate_written|~|1
2026-08-21|~|lane2_decision_record|~|1
2026-08-21|~|ep_delayed_residual_scan|~|1
2026-08-21|~|ep_grade_decision|~|1
2026-08-21|~|market_close_digest_sent|~|1
2026-08-21|~|exit_path_shadow_recorded|~|1
2026-08-21|~|missed_outcomes_refreshed|~|1
2026-08-21|~|narrative_theme_discovery_ran|~|1
2026-08-21|~|news_source_quality_drift_low_n|~|1
2026-08-21|~|orb_out_of_window|~|1
2026-08-21|~|theme_synthesis_run|~|1
2026-08-21|~|evening_brief_sent|~|1
2026-08-21|~|perplexity_boost_shadow|~|1
2026-08-21|~|pivot_stop_shadow_logged|~|1
2026-08-21|~|pivot_stop_shadow_skipped|~|1
2026-08-21|~|backup_restore_check_ok|~|1
2026-08-21|~|row_count_drift_sweep|~|1
2026-08-21|~|rs_extreme_return|~|1
2026-08-21|~|seeded_pool_admission|~|1
2026-08-21|~|shadow_themes_promoted|~|1
2026-08-21|~|book_concentration_snapshot|~|1
2026-08-21|~|cap_plus_one_shadow_recorded|~|1
2026-08-21|~|splits_ingest_fractional_skipped|~|1
2026-08-21|~|splits_ingest_summary|~|1
2026-08-21|~|cost_watchdog_check|~|1
2026-08-21|~|stop_order_id_changed|~|1
2026-08-21|~|theme_thesis_merged|~|1
2026-08-21|~|stop_replacement_confirmed_silent|~|1
2026-08-21|~|stop_updated|~|1
2026-08-21|~|stop_update_failed|~|1
2026-08-21|~|stop_update_retry_succeeded|~|1
2026-08-21|~|stop_update_started|~|1
2026-08-21|~|sugar_babies_cohort_refreshed|~|1
2026-08-21|~|ep_residual_outcomes_backfilled|~|1
2026-08-21|~|theme_auto_retired|~|1
2026-08-21|~|theme_axis_co_move_refreshed|~|1
2026-08-21|~|llm_truncation_check|~|1
2026-08-21|~|coverage_probe_ran|~|1
2026-08-21|~|theme_cap_drop|~|1
2026-08-21|~|unified_allocation_decided|~|1
2026-08-21|~|theme_composition_churn|~|1
2026-08-21|~|theme_constituent_churn|~|1
2026-08-21|~|crypto_ingest_completed|~|1
2026-08-21|~|ep_rt_shadow_capture|~|1
2026-08-21|~|theme_discovery_shadow_ran|~|1
2026-08-21|~|db_growth_check|~|1
2026-08-21|~|theme_empty_tickers|~|1
2026-08-21|~|theme_engine_funnel|~|1
2026-08-21|~|theme_load_state|~|1
2026-08-21|~|detector_liveness_check|~|1
2026-08-21|~|dual_account_boot_verified|~|1
2026-08-21|~|theme_merge_pairs_proposed|~|1
2026-08-21|~|ep_provenance_daily|~|1
2026-08-21|~|ep_rt_gap_clamped|~|1
2026-08-21|~|ecosystem_reactivation_clean|~|1
2026-08-21|~|theme_quality_clean|~|1
2026-08-21|~|validation_error|~|1
2026-08-21|~|ep_alert|~|1
2026-08-21|~|ep_rt_corp_action_hold|~|1
2026-08-21|~|theme_sector_cap_dropped|~|1
2026-08-21|~|watchdog_heartbeat|~|1
2026-08-21|~|ep_catalyst_suppressed|~|1
2026-08-21|~|filter:large_cap_relvol_floor_shadow|~|1
2026-08-21|~|anticipation_mna_check_capped|~|1
2026-08-21|~|gdrive_backup_success|~|1
2026-08-21|~|gdrive_secrets_success|~|1
2026-08-21|~|global_ticker_ban_active|~|1
2026-08-21|~|health_heartbeat_ok|~|1
2026-08-21|~|health_job_liveness_clean|~|1
2026-08-22|~|cost_watchdog_check|~|1
2026-08-22|~|backup_restore_check_ok|~|1
2026-08-22|~|crypto_ingest_completed|~|1
2026-08-22|~|gdrive_backup_success|~|1
2026-08-22|~|gdrive_secrets_success|~|1
2026-08-22|~|watchdog_heartbeat|~|1
2026-08-23|~|account_mode_active|~|9
2026-08-23|~|dual_account_creds_resolved|~|9
2026-08-23|~|dual_account_boot_verified|~|3
2026-08-23|~|source_gap_candidate|~|3
2026-08-23|~|crypto_ingest_completed|~|1
2026-08-23|~|cost_watchdog_check|~|1
2026-08-23|~|gdrive_backup_success|~|1
2026-08-23|~|gdrive_secrets_success|~|1
2026-08-23|~|llm_truncation_check|~|1
2026-08-23|~|replay_regression_snapshot|~|1
2026-08-23|~|backup_restore_check_ok|~|1
2026-08-23|~|telegram_markdown_fallback|~|1
2026-08-23|~|watchdog_heartbeat|~|1
2026-08-24|~|ep_rt_universe_coverage|~|38
2026-08-24|~|ep_rt_floor_flip_down|~|19
2026-08-24|~|split_applied|~|15
2026-08-24|~|theme_discovery_llm_call|~|13
2026-08-24|~|metric_sample|~|13
2026-08-24|~|assignment_llm_proposed|~|13
2026-08-24|~|theme_pass1_protect_strip|~|9
2026-08-24|~|ep_rt_admit|~|9
2026-08-24|~|stage_change|~|8
2026-08-24|~|theme_merge_distinct|~|8
2026-08-24|~|9m_ep_detected|~|8
2026-08-24|~|ep_rt_floor_flip_up|~|7
2026-08-24|~|theme_ecosystem_assigned|~|7
2026-08-24|~|ep_rt_volume_shadow|~|6
2026-08-24|~|ep_rt_sustain_reject|~|6
2026-08-24|~|theme_pass1_5_skip|~|6
2026-08-24|~|theme_score_ties|~|5
2026-08-24|~|theme_stage_flip_held|~|5
2026-08-24|~|validation_cooldown_triggered|~|5
2026-08-24|~|ticker_revalidated_out|~|5
2026-08-24|~|anticipation_coil_buyout_pin_rejected|~|4
2026-08-24|~|path_coverage_gap|~|4
2026-08-24|~|ep_rt_universe_catch|~|4
2026-08-24|~|account_mode_active|~|4
2026-08-24|~|intraday_ma_pullback|~|4
2026-08-24|~|ep_rt_rvol_gate_flip|~|4
2026-08-24|~|dual_account_creds_resolved|~|4
2026-08-24|~|theme_discovered|~|3
2026-08-24|~|ep_tinycap_observed|~|3
2026-08-24|~|theme_retired|~|3
2026-08-24|~|flag_stage_flip_held|~|3
2026-08-24|~|order_status_reconciled|~|3
2026-08-24|~|intraday_low_vol_rest|~|3
2026-08-24|~|split_detected|~|3
2026-08-24|~|ep_catalyst_provenance|~|3
2026-08-24|~|anomaly_detected|~|3
2026-08-24|~|theme_pass1_5_absorption|~|3
2026-08-24|~|review_escalation|~|3
2026-08-24|~|assignment_skipped_sector_outlier|~|3
2026-08-24|~|stop_refresh_ran|~|2
2026-08-24|~|theme_birth_gate|~|2
2026-08-24|~|description_generated|~|2
2026-08-24|~|advisor_call|~|2
2026-08-24|~|theme_low_quality_description|~|2
2026-08-24|~|dual_account_boot_verified|~|2
2026-08-24|~|theme_operator_promoted|~|2
2026-08-24|~|split_apply_skipped_no_data|~|2
2026-08-24|~|ep_rt_tick_quality_reject|~|2
2026-08-24|~|theme_sector_cap_dropped|~|2
2026-08-24|~|detector_liveness_alert|~|2
2026-08-24|~|ep_filter_pm_rvol|~|2
2026-08-24|~|sugar_babies_cohort_refreshed|~|1
2026-08-24|~|telegram_markdown_fallback|~|1
2026-08-24|~|theme_auto_retired|~|1
2026-08-24|~|theme_breadth_fade|~|1
2026-08-24|~|theme_cap_drop|~|1
2026-08-24|~|theme_composition_churn|~|1
2026-08-24|~|theme_constituent_churn|~|1
2026-08-24|~|theme_discovery_shadow_ran|~|1
2026-08-24|~|theme_empty_tickers|~|1
2026-08-24|~|theme_engine_funnel|~|1
2026-08-24|~|theme_load_state|~|1
2026-08-24|~|theme_merge_pairs_proposed|~|1
2026-08-24|~|theme_quality_clean|~|1
2026-08-24|~|theme_renamed_for_continuity|~|1
2026-08-24|~|theme_split|~|1
2026-08-24|~|theme_synthesis_run|~|1
2026-08-24|~|trade_lifecycle_telegram_attempted|~|1
2026-08-24|~|unified_allocation_decided|~|1
2026-08-24|~|watchdog_heartbeat|~|1
2026-08-24|~|db_growth_check|~|1
2026-08-24|~|dead_column_detected|~|1
2026-08-24|~|detector_liveness_check|~|1
2026-08-24|~|catalyst_earnings_boost|~|1
2026-08-24|~|ecosystem_reactivation_clean|~|1
2026-08-24|~|cap_plus_one_shadow_recorded|~|1
2026-08-24|~|ep_delayed_residual_scan|~|1
2026-08-24|~|ep_provenance_daily|~|1
2026-08-24|~|ep_residual_outcomes_backfilled|~|1
2026-08-24|~|book_concentration_snapshot|~|1
2026-08-24|~|backup_restore_check_ok|~|1
2026-08-24|~|anticipation_mna_check_capped|~|1
2026-08-24|~|ep_rt_gap_clamped|~|1
2026-08-24|~|ep_rt_live_miss|~|1
2026-08-24|~|alert_rank_shadow_recorded|~|1
2026-08-24|~|ep_rt_shadow_capture|~|1
2026-08-24|~|ep_rt_sustain_undecidable|~|1
2026-08-24|~|9m_sugar_baby_filtered_destroyed_trend|~|1
2026-08-24|~|catalyst_earnings_revenue_weak_downgrade|~|1
2026-08-24|~|9m_sugar_babies_confirmed|~|1
2026-08-24|~|catalyst_lattice_monitor_alert|~|1
2026-08-24|~|catalyst_yoy_recovered_live|~|1
2026-08-24|~|cost_watchdog_check|~|1
2026-08-24|~|coverage_probe_ran|~|1
2026-08-24|~|crypto_ingest_completed|~|1
2026-08-24|~|evening_brief_sent|~|1
2026-08-24|~|exit_path_shadow_recorded|~|1
2026-08-24|~|gdrive_backup_success|~|1
2026-08-24|~|gdrive_secrets_success|~|1
2026-08-24|~|giveback_shadow_logged|~|1
2026-08-24|~|global_ticker_ban_active|~|1
2026-08-24|~|health_heartbeat_ok|~|1
2026-08-24|~|health_job_liveness_clean|~|1
2026-08-24|~|health_null_sweep_clean|~|1
2026-08-24|~|htf_management_shadow_run|~|1
2026-08-24|~|jsonb_encoding_check|~|1
2026-08-24|~|market_close_digest_sent|~|1
2026-08-24|~|missed_outcomes_reconciled|~|1
2026-08-24|~|missed_outcomes_refreshed|~|1
2026-08-24|~|narrative_theme_discovery_ran|~|1
2026-08-24|~|pivot_stop_shadow_logged|~|1
2026-08-24|~|pivot_stop_shadow_skipped|~|1
2026-08-24|~|row_count_drift_sweep|~|1
2026-08-24|~|rs_deterioration|~|1
2026-08-24|~|rs_extreme_return|~|1
2026-08-24|~|seeded_pool_admission|~|1
2026-08-24|~|sell_discipline_recorded|~|1
2026-08-24|~|shadow_themes_promoted|~|1
2026-08-24|~|splits_ingest_fractional_skipped|~|1
2026-08-24|~|splits_ingest_summary|~|1
2026-08-25|~|ep_rt_universe_coverage|~|38
2026-08-25|~|ep_filter_pm_rvol|~|31
2026-08-25|~|ep_rt_floor_flip_down|~|22
2026-08-25|~|ep_rt_admit|~|17
2026-08-25|~|ep_rt_floor_flip_up|~|17
2026-08-25|~|ep_rt_universe_catch|~|9
2026-08-25|~|ep_rt_volume_shadow|~|9
2026-08-25|~|ep_filter_session_rvol|~|8
2026-08-25|~|ep_rt_sustain_reject|~|6
