theme_date	name	stage	tickers
2026-07-22	European Bank Stocks	Mainstream	{NWG,ING,BCS,BBVA,SAN,LYG}
2026-07-22	Franchise Auto Dealership Groups	Mainstream	{SAH,ABG,PAG}
2026-07-22	Global Crude & Product Tanker Fleet Operators	Accelerating	{TNK,INSW,DHT,NAT,TRMD,FRO}
2026-07-22	Industrial & Logistics REITs	Mainstream	{STAG,EGP,FR,TRNO}
2026-07-22	Inflammatory Disease & Immunology Biologics	Mainstream	{SYRE,ORKA}
2026-07-22	Life Insurance & Annuity Providers	Mainstream	{PFG,UNM,PRU,MET}
2026-07-22	Life Science Tools & Analytical Instruments	Mainstream	{TMO,MTD,WAT}
2026-07-22	Molecular Diagnostics & DNA-Based Genetic Testing	Mainstream	{QGEN,BLLN}
2026-07-22	Network Security & Zero-Trust Edge	Mainstream	{CRWD,PANW,NET,OKTA,VRNS,CVLT,FTNT,RBRK,BB}
2026-07-22	Open-Air & Strip Mall Retail REITs	Accelerating	{SKT,FRT,UE,KRG,REG,KIM,BRX,PECO}
2026-07-22	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	Mainstream	{CORT,ASND,XERS,VKTX,MBX,PTGX}
2026-07-22	Private Mortgage Insurance	Mainstream	{NMIH,MTG,ESNT,RDN}
2026-07-22	Professional Advisory & Business Services	Mainstream	{CBZ,CRAI}
2026-07-22	Property & Casualty Insurance Underwriters	Mainstream	{AFG,TRV,AXS,HIG,LMND,ALL,WRB,CINF,THG,SKWD,ORI,HCI,ACGL,CB}
2026-07-22	Senior & Long-Term Care Healthcare REITs	Accelerating	{LTC,VTR,OHI,NHI}
2026-07-22	SMB & Workforce Business Services Platforms	Mainstream	{LZ,NSP}
2026-07-22	Targeted Protein Degradation Oncology	Mainstream	{KYMR,GLUE}
2026-07-22	Traditional Staffing & Talent Placement Services	Mainstream	{RHI,MAN}
2026-07-22	Truckload & LTL Freight Carriers	Mainstream	{HUBG,RXO,SNDR,ARCB,KNX,TFII,WERN,LSTR}
2026-07-22	U.S. Apparel & Fashion Recovery	Mainstream	{UA,CROX,RVLV}
2026-07-22	U.S. Passenger Airlines	Mainstream	{ALGT,ALK,SKYW,UAL,DAL,LUV}
2026-07-22	U.S. Petroleum Refining & Downstream Processing	Mainstream	{MPC,PSX,VLO,PBF,DINO,DK,PARR}
2026-07-22	U.S. Regional & Mid-Cap Commercial Banks	Mainstream	{UMBF,MTB,SSB,EWBC,RF,ZION,HBAN,USB,WAL,PNC,GBCI,CFG,WTFC,BOKF,TFC,WSFS,HWC,FHN,FITB,KEY}
2026-07-22	Wealth Management & Retail Brokerage Platforms	Mainstream	{RJF,SEIC,LPLA,HOOD,SF,AMP,SCHW}
2026-07-23	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{PAY,QTWO,ACIW}
2026-07-23	Bitcoin Mining & Crypto Infrastructure Operators	Accelerating	{CIFR,HUT}
2026-07-23	Canadian Big Banks	Accelerating	{RY,CM,BNS,BMO,TD}
2026-07-23	Casual Dining Restaurant Turnaround	Mainstream	{EAT,CBRL}
2026-07-23	Cloud Data Storage & Analytics Infrastructure	Mainstream	{BLZE,SNOW}
2026-07-23	Consumer Fintech & Digital Credit Platforms	Mainstream	{SEZL,DAVE}
2026-07-23	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{BILL,WEX,NAVN}
2026-07-23	Custom AI Silicon & Chip Architecture Licensing	Mainstream	{CRDO,ARM,QUIK,ALAB,MRVL,CEVA}
2026-07-23	Enterprise HR & Workforce Management SaaS	Mainstream	{PCTY,WDAY,ALIT}
2026-07-23	European Bank Stocks	Mainstream	{NWG,ING,BCS,BBVA,SAN,LYG}
2026-07-23	Franchise Auto Dealership Groups	Mainstream	{SAH,ABG,PAG}
2026-07-23	Global Crude & Product Tanker Fleet Operators	Accelerating	{TNK,INSW,DHT,NAT,TRMD,FRO}
2026-07-23	Industrial & Logistics REITs	Mainstream	{STAG,EGP,FR,TRNO}
2026-07-23	Inflammatory Disease & Immunology Biologics	Mainstream	{SYRE,ORKA}
2026-07-23	Life Insurance & Annuity Providers	Mainstream	{PFG,UNM,PRU,MET}
2026-07-23	Life Science Tools & Analytical Instruments	Mainstream	{TMO,MTD,WAT}
2026-07-23	Molecular Diagnostics & DNA-Based Genetic Testing	Mainstream	{QGEN,BLLN}
2026-07-23	Open-Air & Strip Mall Retail REITs	Mainstream	{FRT,UE,KRG,REG,KIM,PECO,BRX,SKT}
2026-07-23	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	Mainstream	{CORT,ASND,XERS,VKTX,MBX,PTGX}
2026-07-23	Private Mortgage Insurance	Mainstream	{NMIH,MTG,ESNT,RDN}
2026-07-23	Professional Advisory & Business Services	Mainstream	{CBZ,CRAI}
2026-07-23	Property & Casualty Insurance Underwriters	Mainstream	{AFG,TRV,AXS,HIG,ALL,WRB,CINF,THG,SKWD,ORI,HCI,ACGL,CB}
2026-07-23	Senior & Long-Term Care Healthcare REITs	Accelerating	{VTR,OHI,LTC,NHI}
2026-07-23	SMB & Workforce Business Services Platforms	Mainstream	{LZ,NSP}
2026-07-23	Traditional Staffing & Talent Placement Services	Mainstream	{RHI,MAN}
2026-07-23	Truckload & LTL Freight Carriers	Mainstream	{HUBG,RXO,SNDR,ARCB,KNX,TFII,WERN,LSTR}
2026-07-23	Uniform Rental & Managed Workwear Services	Mainstream	{VSTS,CTAS}
2026-07-23	U.S. Apparel & Fashion Recovery	Mainstream	{UA,CROX,RVLV}
2026-07-23	U.S. Domestic Steel Producers	Accelerating	{STLD,NUE}
2026-07-23	U.S. Petroleum Refining & Downstream Processing	Mainstream	{MPC,PSX,VLO,NWE,SR,PBF,DINO,BKH,AVA,POR,NJR,DK,PARR}
2026-07-23	U.S. Regional & Mid-Cap Commercial Banks	Mainstream	{UMBF,MTB,SSB,EWBC,RF,ZION,HBAN,USB,WAL,PNC,GBCI,CFG,WTFC,BOKF,TFC,WSFS,HWC,FHN,FITB,KEY}
2026-07-23	Wealth Management & Retail Brokerage Platforms	Mainstream	{RJF,SEIC,LPLA,HOOD,SF,AMP,SCHW}
2026-07-24	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{PAY,QTWO,ACIW}
2026-07-24	Bitcoin Mining & Crypto Infrastructure Operators	Accelerating	{CIFR,HUT}
2026-07-24	Canadian Big Banks	Accelerating	{RY,TD,BNS,BMO,CM}
2026-07-24	Casual Dining Restaurant Turnaround	Mainstream	{EAT,CBRL}
2026-07-24	Cloud Data Storage & Analytics Infrastructure	Mainstream	{BLZE,SNOW}
2026-07-24	Consumer Fintech & Digital Credit Platforms	Mainstream	{SEZL,DAVE}
2026-07-24	Containerboard & Corrugated Packaging Producers	Accelerating	{IP,PKG,SW}
2026-07-24	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{BILL,NAVN,WEX}
2026-07-24	Domestic Steel Producers	Accelerating	{STLD,NUE}
2026-07-24	Enterprise HR & Workforce Management SaaS	Mainstream	{PCTY,ALIT,WDAY}
2026-07-24	European Bank Stocks	Mainstream	{SAN,NWG,LYG,BBVA,BCS,ING}
2026-07-24	Franchise Auto Dealership Groups	Mainstream	{ABG,SAH,PAG}
2026-07-24	Global Crude & Product Tanker Fleet Operators	Mainstream	{DHT,TRMD,FRO,INSW,NAT,TNK}
2026-07-24	Industrial & Logistics REITs	Mainstream	{STAG,FR,TRNO,EGP}
2026-07-24	Life Insurance & Annuity Providers	Mainstream	{PFG,UNM,PRU,MET}
2026-07-24	Life Science Tools & Analytical Instruments	Mainstream	{MTD,TMO,WAT}
2026-07-24	Molecular Diagnostics & DNA-Based Genetic Testing	Mainstream	{BLLN,QGEN}
2026-07-24	Office REIT Recovery & Re-Rating	Mainstream	{SLG,BXP,HIW,CDP}
2026-07-24	Online Insurance Comparison & Digital Marketplace Platforms	Mainstream	{EVER,MAX}
2026-07-24	Open-Air & Strip Mall Retail REITs	Mainstream	{KIM,UE,REG,PECO,KRG,BRX,SKT,FRT}
2026-07-24	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	Mainstream	{CORT,XERS,MBX,VKTX,PTGX}
2026-07-24	Private Mortgage Insurance	Mainstream	{RDN,NMIH,ESNT,MTG}
2026-07-24	Professional Advisory & Business Services	Mainstream	{CBZ,CRAI}
2026-07-24	Property & Casualty Insurance Underwriters	Mainstream	{THG,WRB,ACGL,CINF,AXS,ORI,HIG,AFG,CB,ALL,TRV,HCI,SKWD}
2026-07-24	Senior & Long-Term Care Healthcare REITs	Accelerating	{OHI,NHI,VTR,LTC}
2026-07-24	SMB & Workforce Business Services Platforms	Mainstream	{NSP,LZ}
2026-07-24	Traditional Staffing & Talent Placement Services	Mainstream	{MAN,RHI}
2026-07-24	Truckload & LTL Freight Carriers	Mainstream	{HUBG,ARCB,LSTR,KNX,SNDR,RXO,WERN,TFII}
2026-07-24	Uniform Rental & Managed Workwear Services	Mainstream	{VSTS,CTAS}
2026-07-24	U.S. Apparel & Fashion Recovery	Mainstream	{RVLV,UA,CROX}
2026-07-24	U.S. Passenger Airlines	Mainstream	{SKYW,LUV,UAL,ALGT,DAL,ALK}
2026-07-24	U.S. Petroleum Refining & Downstream Processing	Mainstream	{MPC,DK,PSX,PBF,DINO,PARR,VLO}
2026-07-24	U.S. Regional & Mid-Cap Commercial Banks	Mainstream	{MTB,HWC,TFC,UMBF,CFG,EWBC,PNC,BOKF,WTFC,GBCI,WSFS,ZION,FITB,SSB,USB,FHN,KEY,WAL,RF,HBAN}
2026-07-24	Wealth Management & Retail Brokerage Platforms	Mainstream	{RJF,SCHW,SEIC,SF,HOOD,AMP,LPLA}
2026-07-27	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS	Mainstream	{AMPL,INTA,AVPT}
2026-07-27	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{ACIW,PAY,QTWO}
2026-07-27	Canadian Big Banks	Accelerating	{RY,BMO,TD,CM,BNS}
2026-07-27	Casual Dining Restaurant Turnaround	Mainstream	{EAT,CBRL}
2026-07-27	Cloud Data Storage & Analytics Infrastructure	Mainstream	{BLZE,SNOW}
2026-07-27	Cloud Supply Chain & Warehouse Management Software	Mainstream	{MANH,SPSC}
2026-07-27	Commercial Real Estate Brokerage & Advisory Services	Mainstream	{JLL,CBRE,NMRK}
2026-07-27	Consumer Fintech & Digital Credit Platforms	Mainstream	{DAVE,SEZL}
2026-07-27	Containerboard & Corrugated Packaging Producers	Accelerating	{SW,IP,PKG}
2026-07-27	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{BILL,NAVN,WEX}
2026-07-27	Cross-Border & International Payments Processing	Mainstream	{GPN,EEFT}
2026-07-27	Enterprise HR & Workforce Management SaaS	Mainstream	{ALIT,WDAY,PCTY}
2026-07-27	Franchise Auto Dealership Groups	Mainstream	{ABG,PAG,SAH}
2026-07-27	Global Crude & Product Tanker Fleet Operators	Mainstream	{NAT,TNK,INSW,DHT,FRO,TRMD}
2026-07-27	Industrial Fluid Control, Filtration & Water Infrastructure Equipment	Accelerating	{DCI,FELE,IR,IEX,KAI}
2026-07-27	Industrial & Logistics REITs	Mainstream	{FR,TRNO,EGP,STAG}
2026-07-27	Insurance Brokerage & Distribution Services	Mainstream	{AON,BRO,AJG}
2026-07-27	Life Insurance & Annuity Providers	Mainstream	{UNM,PFG,MET,PRU}
2026-07-27	Life Science Tools & Analytical Instruments	Mainstream	{WAT,MTD,TMO}
2026-07-27	Medical Device Mean-Reversion & Rotation Recovery	Mainstream	{XRAY,INSP,TNDM,CNMD}
2026-07-27	Molecular Diagnostics & DNA-Based Genetic Testing	Mainstream	{QGEN,BLLN}
2026-07-27	Office REIT Recovery & Re-Rating	Mainstream	{HIW,BXP,SLG,CDP}
2026-07-27	Open-Air & Strip Mall Retail REITs	Mainstream	{KRG,UE,FRT,BRX,SKT,PECO,KIM,REG}
2026-07-27	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	Mainstream	{MBX,PTGX,CORT,XERS,VKTX}
2026-07-27	Private Mortgage Insurance	Mainstream	{MTG,RDN,NMIH,ESNT}
2026-07-27	Professional Advisory & Business Services	Mainstream	{CBZ,CRAI}
2026-07-27	Property & Casualty Insurance Underwriters	Mainstream	{CINF,THG,CB,HIG,ALL,HCI,WRB,TRV,ORI,SKWD,AFG,AXS,ACGL}
2026-07-27	Semiconductor Wafer Foundry & Advanced IC Manufacturing	Mainstream	{MKSI,ACMR,KLAC,UCTT,AMAT,TSEM,UMC,ICHR}
2026-07-27	Senior & Long-Term Care Healthcare REITs	Mainstream	{VTR,NHI,OHI,LTC}
2026-07-27	Smart Home Security & Comfort Systems	Accelerating	{REZI,ALRM}
2026-07-27	SMB & Workforce Business Services Platforms	Mainstream	{LZ,NSP}
2026-07-27	Specialty Insurance Underwriting & Brokerage	Mainstream	{PLMR,RYAN}
2026-07-27	Truckload & LTL Freight Carriers	Mainstream	{TFII,WERN,KNX,LSTR,ARCB,SNDR,RXO,HUBG}
2026-07-27	Uniform Rental & Managed Workwear Services	Mainstream	{CTAS,VSTS}
2026-07-27	U.S. Apparel & Fashion Recovery	Mainstream	{RVLV,UA,CROX}
2026-07-27	U.S. Domestic Steel Producers	Accelerating	{STLD,NUE}
2026-07-27	U.S. Petroleum Refining & Downstream Processing	Mainstream	{DK,PARR,PBF,VLO,PSX,MPC,DINO}
2026-07-27	U.S. Regional & Mid-Cap Commercial Banks	Mainstream	{HBAN,USB,ZION,UMBF,WAL,RF,WSFS,FITB,EWBC,KEY,CFG,HWC,MTB,TFC,WTFC,GBCI,SSB,FHN,PNC,BOKF}
2026-07-27	Wealth Management & Retail Brokerage Platforms	Mainstream	{HOOD,SF,SCHW,SEIC,RJF,LPLA,AMP}
2026-07-28	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS	Mainstream	{INTA,AVPT,AMPL}
2026-07-28	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{PAY,QTWO,ACIW}
2026-07-28	B2B Marketing Automation & Customer Engagement SaaS	Accelerating	{HUBS,KVYO}
2026-07-28	Canadian Big Banks	Mainstream	{BMO,TD,CM,BNS,RY}
2026-07-28	Casual Dining Restaurant Turnaround	Mainstream	{CBRL,EAT}
2026-07-28	Cloud Supply Chain & Warehouse Management Software	Accelerating	{MANH,SPSC}
2026-07-28	Commercial Real Estate Brokerage & Advisory Services	Accelerating	{NMRK,CBRE,JLL}
2026-07-28	Consumer Fintech & Digital Credit Platforms	Mainstream	{SEZL,DAVE}
2026-07-28	Containerboard & Corrugated Packaging Producers	Accelerating	{PKG,IP,SW}
2026-07-28	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{NAVN,BILL,WEX}
2026-07-28	Cross-Border & International Payments Processing	Accelerating	{EEFT,GPN}
2026-07-28	Digital Payments Processing & Merchant Acquiring Networks	Accelerating	{PYPL,FOUR}
2026-07-28	Domestic Steel Producers	Accelerating	{NUE,STLD}
2026-07-28	Enterprise HR & Workforce Management SaaS	Mainstream	{PCTY,WDAY,ALIT}
2026-07-28	Enterprise Server, Storage & Data Infrastructure Hardware	Mainstream	{NTAP,HPE,STX,DELL}
2026-07-28	Financial Compliance & Regulatory Reporting SaaS	Accelerating	{DFIN,WK}
2026-07-28	Franchise Auto Dealership Groups	Mainstream	{SAH,ABG,PAG}
2026-07-28	Global Crude & Product Tanker Fleet Operators	Mainstream	{TNK,TRMD,INSW,DHT,FRO,NAT}
2026-07-28	Industrial Fluid Control, Filtration & Water Infrastructure Equipment	Accelerating	{DCI,FELE,KAI,IR,IEX}
2026-07-28	Industrial & Logistics REITs	Mainstream	{FR,EGP,STAG,TRNO}
2026-07-28	Insurance Brokerage & Distribution Services	Accelerating	{AJG,AON,BRO}
2026-07-28	IT Distribution & Technology Services Providers	Mainstream	{INGM,EFOR}
2026-07-28	Life Insurance & Annuity Providers	Mainstream	{MET,UNM,PFG,PRU}
2026-07-28	Life Science Tools & Analytical Instruments	Mainstream	{MTD,WAT,TMO}
2026-07-28	Medical Device Mean-Reversion & Rotation Recovery	Accelerating	{XRAY,CNMD,INSP,TNDM}
2026-07-28	Molecular Diagnostics & DNA-Based Genetic Testing	Mainstream	{BLLN,QGEN}
2026-07-28	Office REIT Recovery & Re-Rating	Mainstream	{CDP,HIW,SLG,BXP}
2026-07-28	Open-Air & Strip Mall Retail REITs	Mainstream	{UE,PECO,SKT,FRT,KRG,KIM,BRX,REG}
2026-07-28	Private Mortgage Insurance	Mainstream	{MTG,ESNT,RDN,NMIH}
2026-07-28	Professional Advisory & Business Services	Mainstream	{CRAI,CBZ}
2026-07-28	Property & Casualty Insurance Underwriters	Mainstream	{WRB,TRV,ALL,ACGL,CB,AFG,HCI,HIG,AXS,ORI,SKWD,THG,CINF}
2026-07-28	Senior & Long-Term Care Healthcare REITs	Mainstream	{LTC,NHI,OHI,VTR}
2026-07-28	Smart Home Security & Comfort Systems	Mainstream	{REZI,ALRM}
2026-07-28	SMB & Workforce Business Services Platforms	Mainstream	{NSP,LZ}
2026-07-28	Uniform Rental & Managed Workwear Services	Mainstream	{CTAS,VSTS}
2026-07-28	U.S. Apparel & Fashion Recovery	Mainstream	{UA,RVLV,CROX}
2026-07-28	U.S. Apparel & Lifestyle Brand Recovery	Mainstream	{VSXY,OXM}
2026-07-28	U.S. Passenger Airlines	Accelerating	{ALK,LUV,SKYW,UAL,ALGT,DAL}
2026-07-28	U.S. Petroleum Refining & Downstream Processing	Mainstream	{NJR,VLO,SR,DK,AVA,PBF,PSX,DINO,PARR,NWE,BKH,MPC}
2026-07-28	U.S. Regional & Mid-Cap Commercial Banks	Mainstream	{WAL,SSB,EWBC,KEY,USB,UMBF,WSFS,ZION,PNC,FITB,HWC,FHN,GBCI,RF,TFC,WTFC,HBAN,CFG,BOKF,MTB}
2026-07-28	Wealth Management & Retail Brokerage Platforms	Mainstream	{RJF,LPLA,AMP,SF,SCHW,HOOD,SEIC}
2026-07-29	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS	Accelerating	{INTA,AMPL,AVPT}
2026-07-29	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{PAY,QTWO,ACIW}
2026-07-29	B2B Marketing Automation & Customer Engagement SaaS	Accelerating	{KVYO,HUBS}
2026-07-29	Canadian Big Banks	Mainstream	{RY,BMO,TD,BNS,CM}
2026-07-29	Cloud Data Storage & Analytics Infrastructure	Mainstream	{BLZE,SNOW}
2026-07-29	Cloud Supply Chain & Warehouse Management Software	Accelerating	{MANH,SPSC}
2026-07-29	Containerboard & Corrugated Packaging Producers	Accelerating	{SW,IP,PKG}
2026-07-29	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{BILL,WEX,NAVN}
2026-07-29	Cross-Border & International Payments Processing	Accelerating	{EEFT,GPN}
2026-07-29	Digital Payments Processing & Merchant Acquiring Networks	Accelerating	{PYPL,FOUR}
