ticker|alert_date|score_tier|ep_score|gap_pct|catalyst_quality|source|detected_et|created_et
HPE|2026-06-02|HIGH|115.2|25.28|strong|live|2026-06-02 07:00:00|2026-06-02 07:00:15
LAC|2026-06-02|MODERATE|54.7|11.43|strong|live|2026-06-02 07:20:00|2026-06-02 07:20:15
MRVL|2026-06-02|HIGH|115.2|24.87|strong|live|2026-06-02 07:00:00|2026-06-02 07:00:21
ABVX|2026-06-03|MODERATE|50.4|15.14|routine|live|2026-06-03 08:20:00|2026-06-03 08:20:02
NVTS|2026-06-03|HIGH|84|15.39|strong|live|2026-06-03 09:00:00|2026-06-03 09:00:07
PGY|2026-06-04|HIGH|66|10.21|strong|live|2026-06-04 09:55:00|2026-06-04 09:56:07
RUM|2026-06-04|HIGH|84|15.49|strong|live|2026-06-04 09:40:00|2026-06-04 09:40:09
AGX|2026-06-05|HIGH|86.4|10.96|game_changer|live|2026-06-05 07:05:00|2026-06-05 07:05:18
MRLN|2026-06-05|MODERATE|60|27.99|routine|live|2026-06-05 07:00:00|2026-06-05 07:00:12
TTAN|2026-06-05|HIGH|100.8|16.28|strong|live|2026-06-05 07:00:00|2026-06-05 07:00:32
NRIX|2026-06-08|HIGH|75.6|11.5|game_changer|live|2026-06-08 07:05:00|2026-06-08 07:05:13
CBRL|2026-06-10|MODERATE|54.7|25.33|routine|live|2026-06-10 09:50:00|2026-06-10 09:50:11
ELVN|2026-06-11|HIGH|84|18.33|strong|live|2026-06-11 08:40:00|2026-06-11 08:40:01
IDCC|2026-06-11|HIGH|84|15.2|strong|live|2026-06-11 09:50:00|2026-06-11 09:50:37
NAVN|2026-06-11|HIGH|80|17.87|game_changer|live|2026-06-11 07:00:00|2026-06-11 07:00:23
AKTS|2026-06-12|HIGH|54|11.92|strong|live|2026-06-12 09:55:00|2026-06-12 09:55:51
SHAZ|2026-06-12|HIGH|86.4|11.87|game_changer|live|2026-06-12 07:40:00|2026-06-12 07:40:16
AUGO|2026-06-15|none|50.4|13.39|routine|live|2026-06-15 09:50:00|2026-06-15 09:51:30
HQ|2026-06-15|MODERATE|84|19.71|strong|live|2026-06-15 09:50:00|2026-06-15 09:50:43
HYMC|2026-06-15|MODERATE|53.3|13.82|routine|live|2026-06-15 09:55:00|2026-06-15 09:56:11
IDR|2026-06-15|none|50.4|18.71|routine|live|2026-06-15 09:50:00|2026-06-15 09:50:43
MMYT|2026-06-15|MODERATE|60.5|12.81|routine|live|2026-06-15 09:50:00|2026-06-15 09:52:32
XE|2026-06-15|none|50.4|17.64|routine|live|2026-06-15 09:55:00|2026-06-15 09:56:03
RXT|2026-06-16|HIGH|84|17.5|strong|live|2026-06-16 07:20:00|2026-06-16 07:20:18
AEHR|2026-06-17|MODERATE|70|15.87|strong|live|2026-06-17 09:50:00|2026-06-17 09:50:45
JBL|2026-06-17|HIGH|60|10.77|game_changer|live|2026-06-17 09:35:00|2026-06-17 09:35:53
LZB|2026-06-17|HIGH|54|26.5|routine|live|2026-06-17 09:50:00|2026-06-17 09:50:44
QURE|2026-06-17|HIGH|80|75.2|game_changer|live|2026-06-17 08:10:00|2026-06-17 08:10:20
SWBI|2026-06-18|HIGH|70|15.59|strong|live|2026-06-18 07:20:00|2026-06-18 07:20:04
UUUU|2026-06-18|HIGH|72|12.36|game_changer|live|2026-06-18 08:00:00|2026-06-18 08:00:15
DFTX|2026-06-22|HIGH|60|14.38|game_changer|live|2026-06-22 07:20:00|2026-06-22 07:20:45
JBIO|2026-06-22|none|66|10.11|strong|live|2026-06-22 09:50:00|2026-06-22 09:51:13
MLTX|2026-06-22|HIGH|96|19.1|game_changer|live|2026-06-22 07:00:00|2026-06-22 07:00:39
SYRE|2026-06-22|HIGH|60|12.35|game_changer|live|2026-06-22 07:00:00|2026-06-22 07:02:23
ABSI|2026-06-24|HIGH|100.8|16.33|strong|live|2026-06-24 07:00:00|2026-06-24 07:00:54
FCEL|2026-06-24|HIGH|84|17.51|strong|live|2026-06-24 07:20:00|2026-06-24 07:20:24
WEN|2026-06-24|MODERATE|54|25.34|routine|live|2026-06-24 09:00:00|2026-06-24 09:00:06
KYMR|2026-06-25|MODERATE|80|21.17|strong|live|2026-06-25 09:50:00|2026-06-25 09:50:14
MU|2026-06-25|HIGH|96|17.71|game_changer|live|2026-06-25 07:00:00|2026-06-25 07:00:54
SNX|2026-06-25|HIGH|72|11.22|game_changer|live|2026-06-25 07:40:00|2026-06-25 07:40:47
ACAD|2026-06-26|HIGH|84|15.34|strong|live|2026-06-26 08:00:00|2026-06-26 08:00:01
CHTR|2026-06-29|none|55|26.14|routine|live|2026-06-29 09:45:00|2026-06-29 09:45:11
OUST|2026-06-29|MODERATE|70|16.02|strong|live|2026-06-29 09:50:00|2026-06-29 09:51:02
QDEL|2026-06-29|MODERATE|54|33.47|routine|live|2026-06-29 09:50:00|2026-06-29 09:50:18
AVAV|2026-06-30|HIGH|54|25.3|routine|live|2026-06-30 07:00:00|2026-06-30 07:00:29
SEDG|2026-06-30|MODERATE|54.7|10.19|strong|live|2026-06-30 07:35:00|2026-06-30 07:35:43
GRND|2026-07-01|MODERATE|56.4|13.26|strong|live|2026-07-01 09:50:00|2026-07-01 09:50:22
WULF|2026-07-06|HIGH|96|19.92|game_changer|live|2026-07-06 08:20:00|2026-07-06 08:20:15
DOCN|2026-07-07|HIGH|115.2|15.62|game_changer|live|2026-07-07 09:20:00|2026-07-07 09:20:17
KC|2026-07-08|MODERATE|50|11.76|strong|live|2026-07-08 09:50:00|2026-07-08 09:50:14
PENG|2026-07-08|HIGH|72|10.52|game_changer|live|2026-07-08 09:55:00|2026-07-08 09:55:30
CRCL|2026-07-10|HIGH|60|10.76|game_changer|live|2026-07-10 07:05:00|2026-07-10 07:05:12
WDFC|2026-07-10|HIGH|72|14.23|game_changer|live|2026-07-10 07:40:00|2026-07-10 07:40:13
CLSK|2026-07-14|HIGH|96|17.15|game_changer|live|2026-07-14 07:00:00|2026-07-14 07:00:36
TSEM|2026-07-14|HIGH|80|18.57|game_changer|live|2026-07-14 07:00:00|2026-07-14 07:00:18
AEHR|2026-07-15|HIGH|96|29.5|game_changer|live|2026-07-15 07:00:00|2026-07-15 07:00:20
MANE|2026-07-15|HIGH|72|11.08|game_changer|live|2026-07-15 09:00:00|2026-07-15 09:00:29
MANE|2026-07-15|HIGH|72|10.66|game_changer|live|2026-07-15 09:00:00|2026-07-15 09:00:32
PRG|2026-07-15|MODERATE|80|21.65|strong|live|2026-07-15 07:20:00|2026-07-15 07:20:17
SG|2026-07-17|none|56.4|15.16|routine|live|2026-07-17 09:50:00|2026-07-17 09:50:21
HUT|2026-07-20|HIGH|72|11.54|game_changer|live|2026-07-20 07:05:00|2026-07-20 07:05:20
IREN|2026-07-20|HIGH|72|13.15|game_changer|live|2026-07-20 09:50:00|2026-07-20 09:50:28
HAS|2026-07-21|HIGH|72|10.61|game_changer|live|2026-07-21 09:50:00|2026-07-21 09:50:35
ARWR|2026-07-22|HIGH|80|19.57|game_changer|live|2026-07-22 07:55:00|2026-07-22 07:55:25
EFOR|2026-07-22|MODERATE|50.4|12.37|routine|live|2026-07-22 09:50:00|2026-07-22 09:50:27
SMCI|2026-07-22|HIGH|70|15.88|strong|live|2026-07-22 07:00:00|2026-07-22 07:00:14
CLF|2026-07-23|MODERATE|84|15.03|strong|live|2026-07-23 09:05:00|2026-07-23 09:05:03
NVCR|2026-07-23|HIGH|84|15.54|strong|live|2026-07-23 09:05:00|2026-07-23 09:05:03
THC|2026-07-24|HIGH|60|14.31|game_changer|live|2026-07-24 07:05:00|2026-07-24 07:05:10
WKC|2026-07-24|HIGH|60|11.63|game_changer|live|2026-07-24 08:15:00|2026-07-24 08:15:23
NNE|2026-07-27|HIGH|57|10.38|strong|live|2026-07-27 09:55:00|2026-07-27 09:56:26
QBTS|2026-07-27|HIGH|54|11.29|strong|live|2026-07-27 07:20:00|2026-07-27 07:20:53
CORZ|2026-07-28|HIGH|72|11.28|game_changer|live|2026-07-28 07:35:00|2026-07-28 07:35:24
TER|2026-07-29|HIGH|60|10.4|game_changer|live|2026-07-29 08:25:00|2026-07-29 08:25:28
TEVA|2026-07-29|HIGH|50.4|11.4|strong|live|2026-07-29 09:50:00|2026-07-29 09:51:12
ARM|2026-07-30|HIGH|60|10.77|game_changer|live|2026-07-30 08:55:00|2026-07-30 08:55:35
CORT|2026-07-30|HIGH|96|24.21|strong|live|2026-07-30 07:00:00|2026-07-30 07:00:30
EME|2026-07-30|HIGH|60|10.56|game_changer|live|2026-07-30 07:55:00|2026-07-30 07:55:36
FTNT|2026-07-30|HIGH|60|10.1|game_changer|live|2026-07-30 07:00:00|2026-07-30 07:02:11
LRCX|2026-07-30|HIGH|84|18.95|strong|live|2026-07-30 09:50:00|2026-07-30 09:50:38
PWR|2026-07-30|HIGH|60|12.09|game_changer|live|2026-07-30 07:20:00|2026-07-30 07:20:16
SIMO|2026-07-30|HIGH|80|19.18|game_changer|live|2026-07-30 09:10:00|2026-07-30 09:10:14
BLZE|2026-07-31|HIGH|72|13.06|game_changer|live|2026-07-31 09:55:00|2026-07-31 09:55:31
COHU|2026-07-31|HIGH|80|22.71|game_changer|live|2026-07-31 07:00:00|2026-07-31 07:00:30
FET|2026-07-31|HIGH|84|16.04|strong|live|2026-07-31 09:10:00|2026-07-31 09:10:28
FLNC|2026-07-31|HIGH|60|10.02|game_changer|live|2026-07-31 07:00:00|2026-07-31 07:02:30
MPWR|2026-07-31|HIGH|60|13.96|game_changer|live|2026-07-31 09:35:00|2026-07-31 09:35:22
NWL|2026-07-31|HIGH|60|13.42|game_changer|live|2026-07-31 07:00:00|2026-07-31 07:00:57
FTK|2026-08-03|HIGH|60|10.45|game_changer|live|2026-08-03 08:45:00|2026-08-03 08:45:20
LIND|2026-08-03|HIGH|70|15.55|strong|live|2026-08-03 09:55:00|2026-08-03 09:55:32
AEIS|2026-08-04|HIGH|84|15.39|strong|live|2026-08-04 07:55:00|2026-08-04 07:55:06
AMRC|2026-08-04|HIGH|50|38.72|routine|live|2026-08-04 09:45:00|2026-08-04 09:45:31
BLZE|2026-08-04|HIGH|80|19.14|game_changer|live|2026-08-04 07:00:00|2026-08-04 07:01:10
BTDR|2026-08-04|HIGH|80|24.1|game_changer|live|2026-08-04 08:20:00|2026-08-04 08:20:21
CAT|2026-08-04|HIGH|60|10|game_changer|live|2026-08-04 08:00:00|2026-08-04 08:01:06
INSP|2026-08-04|MODERATE|55|22.29|routine|live|2026-08-04 09:45:00|2026-08-04 09:45:45
LIFE|2026-08-04|HIGH|80|16.29|game_changer|live|2026-08-04 07:20:00|2026-08-04 07:20:18
PLTR|2026-08-04|HIGH|96|15.96|game_changer|live|2026-08-04 07:00:00|2026-08-04 07:02:05
TSAT|2026-08-04|HIGH|60|14.46|game_changer|live|2026-08-04 09:55:00|2026-08-04 09:56:02
VOYG|2026-08-04|HIGH|80|16.96|game_changer|live|2026-08-04 08:10:00|2026-08-04 08:10:17
ZBRA|2026-08-04|HIGH|60|10.75|game_changer|live|2026-08-04 08:35:00|2026-08-04 08:35:51
APPS|2026-08-05|HIGH|115.2|28.29|strong|live|2026-08-05 07:00:00|2026-08-05 07:00:35
ECG|2026-08-05|HIGH|72|10.96|game_changer|live|2026-08-05 09:50:00|2026-08-05 09:51:13
HGTY|2026-08-05|HIGH|60.5|11.69|strong|live|2026-08-05 09:55:00|2026-08-05 09:55:45
KMT|2026-08-05|HIGH|72|14.39|game_changer|live|2026-08-05 09:00:00|2026-08-05 09:00:31
KMT|2026-08-05|HIGH|72|14.39|game_changer|live|2026-08-05 09:00:00|2026-08-05 09:00:33
KODK|2026-08-05|HIGH|54.7|10.86|strong|live|2026-08-05 07:00:00|2026-08-05 07:02:39
KTOS|2026-08-05|HIGH|64.8|11.26|strong|live|2026-08-05 07:30:00|2026-08-05 07:30:35
PRGO|2026-08-05|MODERATE|54|13.17|strong|live|2026-08-05 08:10:00|2026-08-05 08:10:16
ROCK|2026-08-05|MODERATE|60.5|14.9|strong|live|2026-08-05 09:50:00|2026-08-05 09:50:42
TATT|2026-08-05|HIGH|61.9|11.79|strong|live|2026-08-05 07:20:00|2026-08-05 07:21:21
AEVA|2026-08-06|HIGH|96|22.28|strong|live|2026-08-06 07:00:00|2026-08-06 07:02:38
CAI|2026-08-06|HIGH|50.4|17.11|routine|live|2026-08-06 09:50:00|2026-08-06 09:52:35
DCTH|2026-08-06|HIGH|54|21.3|routine|live|2026-08-06 09:55:00|2026-08-06 09:55:20
INSM|2026-08-06|HIGH|96|16.14|game_changer|live|2026-08-06 07:25:00|2026-08-06 07:25:30
LFST|2026-08-06|HIGH|96|18.8|game_changer|live|2026-08-06 07:50:00|2026-08-06 07:50:13
RDW|2026-08-06|HIGH|64.8|12.46|strong|live|2026-08-06 07:50:00|2026-08-06 07:50:44
SITM|2026-08-06|HIGH|96|28.88|game_changer|live|2026-08-06 07:00:00|2026-08-06 07:00:28
SOUN|2026-08-06|MODERATE|62.4|25.19|routine|live|2026-08-06 09:45:00|2026-08-06 09:45:17
TASK|2026-08-06|MODERATE|50.4|11.39|routine|live|2026-08-06 09:45:00|2026-08-06 09:47:34
TRUP|2026-08-06|MODERATE|60|18|routine|live|2026-08-06 09:50:00|2026-08-06 09:52:35
U|2026-08-06|HIGH|96|18.41|game_changer|live|2026-08-06 07:20:00|2026-08-06 07:20:37
ACMR|2026-08-07|HIGH|100.8|15.09|strong|live|2026-08-07 09:00:00|2026-08-07 09:00:51
ACMR|2026-08-07|HIGH|100.8|15.09|strong|live|2026-08-07 09:00:00|2026-08-07 09:00:51
CRSR|2026-08-07|MODERATE|84|16.87|strong|live|2026-08-07 08:50:00|2026-08-07 08:52:16
DOCS|2026-08-07|MODERATE|54|178.8|routine|live|2026-08-07 07:30:00|2026-08-07 07:30:07
FIGS|2026-08-07|HIGH|96|26.69|game_changer|live|2026-08-07 08:50:00|2026-08-07 08:51:12
FROG|2026-08-07|HIGH|100.8|17.51|strong|live|2026-08-07 08:50:00|2026-08-07 08:51:58
INOD|2026-08-07|MODERATE|51.6|14.83|strong|live|2026-08-07 08:50:00|2026-08-07 08:53:13
MTW|2026-08-07|HIGH|50.4|33.08|routine|live|2026-08-07 09:50:00|2026-08-07 09:50:29
NET|2026-08-07|HIGH|100.8|15.67|strong|live|2026-08-07 08:50:00|2026-08-07 08:52:46
ONTO|2026-08-07|HIGH|96|15.31|game_changer|live|2026-08-07 09:50:00|2026-08-07 09:51:25
PRAA|2026-08-07|MODERATE|84|16.61|strong|live|2026-08-07 09:50:00|2026-08-07 09:51:00
PSIX|2026-08-07|MODERATE|68.4|25.77|routine|live|2026-08-07 09:50:00|2026-08-07 09:50:29
PUBM|2026-08-07|MODERATE|96|36.87|strong|live|2026-08-07 08:50:00|2026-08-07 08:50:27
QNST|2026-08-07|HIGH|96|27.92|game_changer|live|2026-08-07 08:50:00|2026-08-07 08:51:00
TEAM|2026-08-07|HIGH|115.2|31.66|strong|live|2026-08-07 08:50:00|2026-08-07 08:50:43
TWLO|2026-08-07|HIGH|84|17.97|strong|live|2026-08-07 08:50:00|2026-08-07 08:51:40
WLDN|2026-08-07|MODERATE|51.6|14.67|strong|live|2026-08-07 08:50:00|2026-08-07 08:53:27
ABCL|2026-08-10|HIGH|96|17.6|game_changer|live|2026-08-10 07:20:00|2026-08-10 07:20:17
ACHR|2026-08-10|HIGH|54|14.85|routine|live|2026-08-10 09:45:00|2026-08-10 09:45:10
NESR|2026-08-10|HIGH|53.3|11.99|strong|live|2026-08-10 09:45:00|2026-08-10 09:45:36
SLN|2026-08-10|MODERATE|84|18.83|strong|live|2026-08-10 07:00:00|2026-08-10 07:00:13
TH|2026-08-10|HIGH|50.4|12.17|strong|live|2026-08-10 07:20:00|2026-08-10 07:20:39
BW|2026-08-11|HIGH|96|34.91|game_changer|live|2026-08-11 07:00:00|2026-08-11 07:00:37
FRMI|2026-08-11|HIGH|96|17.01|game_changer|live|2026-08-11 07:00:00|2026-08-11 07:01:07
RIOT|2026-08-11|HIGH|115.2|17.92|game_changer|live|2026-08-11 07:00:00|2026-08-11 07:00:57
RPD|2026-08-11|none|84|16.78|strong|live|2026-08-11 09:50:00|2026-08-11 09:50:38
SE|2026-08-11|HIGH|54.7|10.58|strong|live|2026-08-11 07:25:00|2026-08-11 07:25:20
ATRO|2026-08-12|HIGH|72|11.29|game_changer|live|2026-08-12 09:20:00|2026-08-12 09:20:25
BE|2026-08-12|HIGH|84|15.16|strong|live|2026-08-12 09:50:00|2026-08-12 09:50:14
BRUN|2026-08-12|none|60|12.04|strong|live|2026-08-12 08:55:00|2026-08-12 08:55:28
CRWV|2026-08-12|HIGH|51.6|19.51|routine|live|2026-08-12 09:50:00|2026-08-12 09:50:13
EROC|2026-08-12|HIGH|96|16.09|game_changer|live|2026-08-12 07:05:00|2026-08-12 07:05:19
GLBE|2026-08-12|HIGH|72|10.67|game_changer|live|2026-08-12 07:05:00|2026-08-12 07:06:14
HRB|2026-08-12|MODERATE|100.8|16.76|strong|live|2026-08-12 09:45:00|2026-08-12 09:45:13
MRX|2026-08-12|HIGH|53.3|12.45|strong|live|2026-08-12 09:55:00|2026-08-12 09:55:36
NBIS|2026-08-12|MODERATE|54.7|12.2|strong|live|2026-08-12 08:00:00|2026-08-12 08:00:31
WYFI|2026-08-12|MODERATE|84|17.34|strong|live|2026-08-12 07:20:00|2026-08-12 07:20:31
BLSH|2026-08-13|MODERATE|54|12.4|routine|live|2026-08-13 09:55:00|2026-08-13 09:56:02
CGEM|2026-08-13|HIGH|72|12.24|game_changer|live|2026-08-13 08:30:00|2026-08-13 08:30:07
CRMD|2026-08-13|HIGH|64.8|10|strong|live|2026-08-13 08:15:00|2026-08-13 08:15:30
HLIT|2026-08-13|HIGH|96|23.79|game_changer|live|2026-08-13 07:00:00|2026-08-13 07:00:23
KURA|2026-08-13|HIGH|60.5|13.43|strong|live|2026-08-13 09:50:00|2026-08-13 09:50:53
OMER|2026-08-13|HIGH|60|22.54|routine|live|2026-08-13 09:45:00|2026-08-13 09:45:12
ETON|2026-08-14|HIGH|96|23.28|game_changer|live|2026-08-14 07:20:00|2026-08-14 07:20:20
HTFL|2026-08-14|HIGH|96|25.12|game_changer|live|2026-08-14 07:00:00|2026-08-14 07:00:38
LPTH|2026-08-14|MODERATE|54.7|10.03|strong|live|2026-08-14 09:10:00|2026-08-14 09:10:18
NMAX|2026-08-14|HIGH|100.8|16.75|strong|live|2026-08-14 09:50:00|2026-08-14 09:50:33
RDDT|2026-08-14|MODERATE|54.7|12.24|strong|live|2026-08-14 07:00:00|2026-08-14 07:01:32
STDN|2026-08-14|MODERATE|53.3|12.9|strong|live|2026-08-14 09:55:00|2026-08-14 09:55:19
