=== MIN ===
ticker|et_min|o|h|l|c|v
ASX|2026-04-08 09:57|23.88|23.895|23.855|23.855|13306.0
ASX|2026-04-08 09:58|23.85|23.85|23.83|23.85|12291.0
ASX|2026-04-08 09:59|23.86|23.885|23.86|23.88|13278.0
ASX|2026-04-08 10:00|23.88|23.9|23.855|23.86|21801.0
ASX|2026-04-08 10:01|23.85|23.86|23.839|23.84|13961.0
ASX|2026-04-08 10:02|23.86|23.86|23.835|23.84|14646.0
ASX|2026-04-08 10:03|23.845|23.85|23.825|23.835|10593.0
ASX|2026-04-08 10:04|23.84|23.865|23.84|23.86|15975.0
ASX|2026-04-08 10:05|23.855|23.87|23.845|23.85|14697.0
HUT|2026-04-08 09:25|56.59|56.6|56.58|56.58|2193.0
HUT|2026-04-08 09:26|56.7899|56.7899|56.73|56.73|546.0
HUT|2026-04-08 09:27|56.79|56.79|56.79|56.79|2000.0
HUT|2026-04-08 09:28|56.82|56.85|56.79|56.79|3621.0
HUT|2026-04-08 09:29|56.83|57.0|56.83|57.0|721.0
HUT|2026-04-08 09:30|56.99|59.28|56.98|59.08|271840.0
HUT|2026-04-08 09:31|58.96|59.86|58.92|59.425|109647.0
HUT|2026-04-08 09:32|59.425|59.79|59.1606|59.31|55915.0
HUT|2026-04-08 09:33|59.315|59.46|59.065|59.205|72201.0
HUT|2026-04-08 09:34|59.2175|59.38|58.9059|59.18|99232.0
HUT|2026-04-08 09:35|59.2|59.34|58.8942|59.07|62007.0
HUT|2026-04-08 09:36|59.0075|59.19|58.3575|58.53|65547.0
HUT|2026-04-08 09:37|58.2501|59.02|58.2501|58.62|44871.0
HUT|2026-04-08 09:38|58.56|58.93|58.3944|58.855|36247.0
HUT|2026-04-08 09:39|58.81|59.03|58.54|58.685|69201.0
HUT|2026-04-08 09:40|58.685|58.82|58.52|58.72|99252.0
HUT|2026-04-08 09:41|58.69|58.78|58.53|58.74|30191.0
HUT|2026-04-08 09:42|58.745|58.89|58.66|58.74|39305.0
HUT|2026-04-08 09:43|58.68|58.985|58.51|58.86|55531.0
HUT|2026-04-08 09:44|58.79|59.38|58.79|59.288|76413.0
HUT|2026-04-08 09:45|59.29|59.38|58.79|58.94|78245.0
HUT|2026-04-08 09:46|58.97|59.59|58.97|59.57|69933.0
HUT|2026-04-08 09:47|59.585|59.75|59.49|59.53|43132.0
HUT|2026-04-08 09:48|59.548|59.675|59.41|59.61|43671.0
HUT|2026-04-08 09:49|59.6431|59.6431|59.4|59.45|53373.0
HUT|2026-04-08 09:50|59.5|59.51|59.25|59.34|48777.0
HUT|2026-04-08 09:51|59.34|59.34|58.64|58.6845|42688.0
HUT|2026-04-08 09:52|58.73|59.05|58.57|58.605|69962.0
HUT|2026-04-08 09:53|58.61|58.75|58.5001|58.65|26484.0
HUT|2026-04-08 09:54|58.65|58.76|58.59|58.74|32465.0
HUT|2026-04-08 09:55|58.71|58.785|58.62|58.65|41255.0
HUT|2026-04-08 09:56|58.68|58.89|58.62|58.89|28189.0
HUT|2026-04-08 09:57|58.9|59.13|58.9|58.995|32553.0
HUT|2026-04-08 09:58|58.98|58.98|58.69|58.81|75266.0
HUT|2026-04-08 09:59|58.81|59.03|58.81|58.96|36099.0
HUT|2026-04-08 10:00|59.0|59.13|58.9|58.96|51401.0
HUT|2026-04-08 10:01|58.96|59.04|58.89|58.98|24358.0
HUT|2026-04-08 10:02|58.98|59.08|58.9|59.05|32731.0
HUT|2026-04-08 10:03|59.05|59.105|58.82|59.0472|65789.0
HUT|2026-04-08 10:04|59.07|59.14|58.95|59.01|18156.0
HUT|2026-04-08 10:05|59.015|59.1688|58.995|59.1688|26231.0
IREN|2026-04-08 09:25|38.9|39.01|38.85|38.905|12416.0
IREN|2026-04-08 09:26|38.9133|38.9133|38.85|38.85|4591.0
IREN|2026-04-08 09:27|38.85|39.0|38.81|38.81|45729.0
IREN|2026-04-08 09:28|38.81|38.81|38.5|38.721|34833.0
IREN|2026-04-08 09:29|38.7923|38.99|38.6275|38.67|19116.0
IREN|2026-04-08 09:30|38.7|38.9|38.13|38.137|1004072.0
IREN|2026-04-08 09:31|38.1394|38.22|37.915|37.94|440732.0
IREN|2026-04-08 09:32|37.91|38.36|37.91|38.3|483593.0
IREN|2026-04-08 09:33|38.29|38.365|37.96|37.9808|288980.0
IREN|2026-04-08 09:34|37.99|38.06|37.92|38.0299|312993.0
IREN|2026-04-08 09:35|38.03|38.08|37.76|37.77|264796.0
IREN|2026-04-08 09:36|37.77|38.01|37.7601|37.93|194624.0
IREN|2026-04-08 09:37|37.94|38.05|37.87|37.935|148389.0
IREN|2026-04-08 09:38|37.93|38.15|37.8|37.945|315816.0
IREN|2026-04-08 09:39|37.945|37.945|37.71|37.74|195717.0
IREN|2026-04-08 09:40|37.73|37.855|37.725|37.83|174595.0
IREN|2026-04-08 09:41|37.84|37.85|37.71|37.7197|154172.0
IREN|2026-04-08 09:42|37.72|37.805|37.68|37.71|278069.0
IREN|2026-04-08 09:43|37.69|37.7|37.6101|37.66|137304.0
IREN|2026-04-08 09:44|37.655|37.84|37.62|37.75|433543.0
IREN|2026-04-08 09:45|37.76|37.83|37.46|37.5059|216358.0
IREN|2026-04-08 09:46|37.5|37.7|37.49|37.7|123994.0
IREN|2026-04-08 09:47|37.705|37.77|37.6725|37.72|119920.0
IREN|2026-04-08 09:48|37.71|37.805|37.62|37.79|171296.0
IREN|2026-04-08 09:49|37.78|37.85|37.7|37.83|188345.0
IREN|2026-04-08 09:50|37.82|37.825|37.735|37.74|324413.0
IREN|2026-04-08 09:51|37.73|37.7701|37.63|37.635|168845.0
IREN|2026-04-08 09:52|37.64|37.67|37.52|37.5399|125911.0
IREN|2026-04-08 09:53|37.5399|37.6|37.495|37.5512|119517.0
IREN|2026-04-08 09:54|37.5568|37.585|37.34|37.38|155788.0
IREN|2026-04-08 09:55|37.37|37.41|37.28|37.295|141245.0
IREN|2026-04-08 09:56|37.295|37.4|37.28|37.31|129628.0
IREN|2026-04-08 09:57|37.305|37.3575|37.27|37.28|109410.0
IREN|2026-04-08 09:58|37.28|37.29|37.13|37.1648|162271.0
IREN|2026-04-08 09:59|37.16|37.27|37.16|37.2|108432.0
IREN|2026-04-08 10:00|37.19|37.36|37.18|37.26|170442.0
IREN|2026-04-08 10:01|37.26|37.31|37.1641|37.2904|72003.0
IREN|2026-04-08 10:02|37.3|37.35|37.13|37.305|100021.0
IREN|2026-04-08 10:03|37.31|37.35|37.18|37.185|107602.0
IREN|2026-04-08 10:04|37.1883|37.31|37.11|37.13|218901.0
IREN|2026-04-08 10:05|37.13|37.21|37.075|37.1|193348.0
NBIS|2026-04-08 09:25|126.4|126.75|126.4|126.75|26729.0
NBIS|2026-04-08 09:26|126.78|126.82|126.61|126.61|30972.0
NBIS|2026-04-08 09:27|126.64|126.64|126.09|126.09|4698.0
NBIS|2026-04-08 09:28|126.09|126.88|126.09|126.48|3679.0
NBIS|2026-04-08 09:29|126.7|126.88|126.7|126.88|959.0
NBIS|2026-04-08 09:30|126.88|127.75|126.29|126.655|643110.0
NBIS|2026-04-08 09:31|126.79|126.89|126.18|126.22|238210.0
NBIS|2026-04-08 09:32|126.305|126.6481|125.89|126.12|194195.0
NBIS|2026-04-08 09:33|126.17|126.25|125.6299|125.7124|166317.0
NBIS|2026-04-08 09:34|125.95|126.32|125.24|125.5|117047.0
NBIS|2026-04-08 09:35|125.2601|125.84|124.97|125.01|122675.0
NBIS|2026-04-08 09:36|124.9521|125.6|124.85|125.11|109621.0
NBIS|2026-04-08 09:37|125.055|125.3|124.681|124.885|121304.0
NBIS|2026-04-08 09:38|124.96|125.39|124.5|125.0|306149.0
NBIS|2026-04-08 09:39|124.99|125.03|123.84|123.9999|142814.0
NBIS|2026-04-08 09:40|123.93|124.5|123.8|123.975|208923.0
NBIS|2026-04-08 09:41|123.965|124.1|123.55|123.68|143259.0
NBIS|2026-04-08 09:42|123.81|123.99|123.63|123.865|103252.0
NBIS|2026-04-08 09:43|123.87|123.97|123.45|123.85|152366.0
NBIS|2026-04-08 09:44|123.9299|124.75|123.86|124.57|210336.0
NBIS|2026-04-08 09:45|124.59|124.85|123.4|123.4|108075.0
NBIS|2026-04-08 09:46|123.455|123.5|122.9|123.5|106686.0
NBIS|2026-04-08 09:47|123.42|123.61|122.8801|123.275|105975.0
NBIS|2026-04-08 09:48|123.275|123.3|122.59|122.82|98682.0
NBIS|2026-04-08 09:49|122.815|122.94|122.4|122.66|94571.0
NBIS|2026-04-08 09:50|122.705|122.93|122.4501|122.71|133191.0
NBIS|2026-04-08 09:51|122.72|122.8373|121.6|121.6|128433.0
NBIS|2026-04-08 09:52|121.65|121.97|121.03|121.23|104835.0
NBIS|2026-04-08 09:53|121.145|121.28|120.55|121.2201|170427.0
NBIS|2026-04-08 09:54|121.2999|121.5799|121.03|121.03|171312.0
NBIS|2026-04-08 09:55|121.09|121.14|120.62|120.8999|165876.0
NBIS|2026-04-08 09:56|120.9|121.4299|120.8884|121.22|148367.0
NBIS|2026-04-08 09:57|121.22|121.75|120.91|120.92|88489.0
NBIS|2026-04-08 09:58|121.085|121.1689|120.6958|120.82|99635.0
NBIS|2026-04-08 09:59|120.9198|121.4599|120.82|121.38|136333.0
NBIS|2026-04-08 10:00|121.325|121.5418|121.23|121.44|108518.0
NBIS|2026-04-08 10:01|121.4|122.25|121.23|122.192|116919.0
NBIS|2026-04-08 10:02|122.29|122.78|122.18|122.77|138429.0
NBIS|2026-04-08 10:03|122.78|122.8302|122.25|122.75|77621.0
NBIS|2026-04-08 10:04|122.755|123.01|122.42|122.92|71624.0
NBIS|2026-04-08 10:05|122.93|123.29|122.59|122.6884|82549.0
STRL|2026-04-08 09:25|405.22|405.22|405.22|405.22|237.0
STRL|2026-04-08 09:28|412.81|412.81|411.0|411.0|1357.0
STRL|2026-04-08 09:30|414.0|420.0|411.1101|415.555|17201.0
STRL|2026-04-08 09:31|418.445|419.07|415.69|417.77|810.0
STRL|2026-04-08 09:32|414.7247|418.665|414.7137|417.0|2257.0
STRL|2026-04-08 09:33|415.9171|419.7|415.9171|417.864|1475.0
STRL|2026-04-08 09:34|419.0|421.0|419.0|419.385|3256.0
STRL|2026-04-08 09:35|419.8|421.0|418.925|419.44|3925.0
STRL|2026-04-08 09:36|418.43|420.65|415.96|418.49|1706.0
STRL|2026-04-08 09:37|419.1|422.0|415.9801|422.0|1920.0
STRL|2026-04-08 09:38|420.9|422.9|418.995|422.005|2862.0
STRL|2026-04-08 09:39|422.01|422.85|420.585|422.22|2743.0
STRL|2026-04-08 09:40|422.22|424.0|422.0|424.0|3299.0
STRL|2026-04-08 09:41|421.995|421.995|419.99|420.0|2087.0
STRL|2026-04-08 09:42|421.378|422.0|420.2641|422.0|1295.0
STRL|2026-04-08 09:43|421.83|423.0|421.0|422.0|1519.0
STRL|2026-04-08 09:44|421.915|422.0|420.84|421.92|1873.0
STRL|2026-04-08 09:45|421.92|422.0|421.35|421.35|855.0
STRL|2026-04-08 09:46|422.39|424.0|422.39|423.865|2051.0
STRL|2026-04-08 09:47|422.7401|425.0|422.7401|423.87|1389.0
STRL|2026-04-08 09:48|423.5|424.15|421.9|421.9|2503.0
STRL|2026-04-08 09:49|421.73|421.73|420.0|420.0|750.0
STRL|2026-04-08 09:50|420.95|421.86|420.945|421.78|818.0
STRL|2026-04-08 09:51|420.0|420.0|417.25|418.5|1897.0
STRL|2026-04-08 09:52|418.98|418.98|417.9692|418.0|851.0
STRL|2026-04-08 09:53|417.85|418.85|416.855|417.94|1903.0
STRL|2026-04-08 09:54|417.925|417.925|415.41|417.125|1362.0
STRL|2026-04-08 09:55|416.645|418.0|416.645|418.0|627.0
STRL|2026-04-08 09:56|417.0|417.0|417.0|417.0|361.0
STRL|2026-04-08 09:57|415.29|418.0|415.29|417.97|4977.0
STRL|2026-04-08 09:58|417.38|417.54|416.8|416.94|3289.0
STRL|2026-04-08 09:59|417.14|418.8414|417.14|418.235|5827.0
STRL|2026-04-08 10:00|419.01|419.39|417.97|417.97|1064.0
STRL|2026-04-08 10:01|418.8|420.0|417.9601|419.79|1735.0
STRL|2026-04-08 10:02|419.43|419.43|417.07|417.07|3640.0
STRL|2026-04-08 10:03|416.26|417.6301|416.121|417.63|1442.0
STRL|2026-04-08 10:04|418.72|418.76|417.63|418.02|586.0
STRL|2026-04-08 10:05|417.32|417.49|416.99|417.485|2545.0
=== DAILY_RAW ===
ticker|trade_date|o|h|l|c|v
ASX|2026-03-20|21.5|21.81|20.95|21.31|7613520.0
ASX|2026-03-23|21.37|21.95|21.35|21.68|5756554.0
ASX|2026-03-24|21.27|21.67|21.12|21.53|7336785.0
ASX|2026-03-25|22.09|22.55|22.05|22.4|5755338.0
ASX|2026-03-26|22.1|22.26|21.39|21.43|7893654.0
ASX|2026-03-27|21.66|21.965|21.39|21.5|8622625.0
ASX|2026-03-30|22.13|22.4|20.77|20.89|9306861.0
ASX|2026-03-31|20.79|21.78|20.61|21.68|8883942.0
ASX|2026-04-01|22.49|22.79|22.365|22.48|6460716.0
ASX|2026-04-02|21.82|22.52|21.72|22.28|4901818.0
ASX|2026-04-06|22.45|22.64|22.3|22.55|3425246.0
ASX|2026-04-07|22.06|22.195|21.55|22.19|4862387.0
ASX|2026-04-08|24.0|24.16|23.485|24.14|8720131.0
ASX|2026-04-09|24.45|24.86|24.195|24.51|6827743.0
ASX|2026-04-10|24.98|25.33|24.81|24.84|5617023.0
ASX|2026-04-13|26.01|26.57|25.96|26.55|6608847.0
ASX|2026-04-14|26.76|26.95|26.525|26.87|4798827.0
ASX|2026-04-15|27.61|27.73|26.64|27.23|8421492.0
HUT|2026-03-20|50.14|51.18|46.59|47.46|4337800.0
HUT|2026-03-23|49.47|53.445|49.25|52.94|7281580.0
HUT|2026-03-24|52.06|53.48|50.48|53.25|4244359.0
HUT|2026-03-25|55.09|56.87|54.81|55.62|4530353.0
HUT|2026-03-26|53.5|53.85|49.55|50.58|4987991.0
HUT|2026-03-27|49.72|49.99|46.655|47.405|4670117.0
HUT|2026-03-30|48.21|48.8|42.06|42.72|4812011.0
HUT|2026-03-31|44.03|47.03|43.75|46.91|4272209.0
HUT|2026-04-01|48.8|49.5|47.31|47.36|3419480.0
HUT|2026-04-02|44.9|49.9|44.21|48.11|3690447.0
HUT|2026-04-06|48.5|50.18|48.15|49.58|2075621.0
HUT|2026-04-07|49.7|52.71|48.05|52.66|4381775.0
HUT|2026-04-08|57.085|63.66|56.98|61.43|11126249.0
HUT|2026-04-09|61.06|67.08|60.5488|63.42|8392523.0
HUT|2026-04-10|64.5|68.66|64.5|66.085|5825955.0
HUT|2026-04-13|64.7|71.16|63.2301|69.76|5638465.0
HUT|2026-04-14|72.3303|74.6481|71.15|71.74|4915598.0
HUT|2026-04-15|71.66|72.32|68.32|71.09|5363323.0
IREN|2026-03-20|41.66|42.57|38.935|41.29|34855033.0
IREN|2026-03-23|41.4|44.75|41.215|42.16|40626558.0
IREN|2026-03-24|41.88|42.639|40.22|41.12|29790016.0
IREN|2026-03-25|42.39|43.18|40.645|41.43|29789988.0
IREN|2026-03-26|40.675|40.7|37.25|37.45|36667159.0
IREN|2026-03-27|36.995|37.44|34.56|35.09|28970447.0
IREN|2026-03-30|35.89|35.9|30.76|31.62|41756018.0
IREN|2026-03-31|32.97|34.29|31.65|34.28|32723320.0
IREN|2026-04-01|35.07|35.37|33.61|34.09|27743827.0
IREN|2026-04-02|32.35|35.03|31.35|34.77|30132163.0
IREN|2026-04-06|34.72|35.67|34.39|35.13|21668787.0
IREN|2026-04-07|34.48|35.77|33.19|35.74|23927450.0
IREN|2026-04-08|38.7|38.9|35.87|36.83|35500498.0
IREN|2026-04-09|36.43|38.1|35.25|37.06|27737088.0
IREN|2026-04-10|37.72|40.74|37.7|39.32|35312553.0
IREN|2026-04-13|38.46|43.53|38.31|43.07|39527334.0
IREN|2026-04-14|45.245|47.65|44.5|47.37|46960431.0
IREN|2026-04-15|47.25|48.86|46.22|48.82|32221210.0
NBIS|2026-03-20|120.475|123.7236|112.634|117.62|17420484.0
NBIS|2026-03-23|116.71|121.31|113.5501|114.15|13476723.0
NBIS|2026-03-24|116.175|117.8|112.0101|114.91|11885420.0
NBIS|2026-03-25|116.87|118.8|113.33|115.09|12135947.0
NBIS|2026-03-26|113.255|113.2999|105.41|105.97|13410876.0
NBIS|2026-03-27|105.83|106.26|100.27|100.82|11560277.0
NBIS|2026-03-30|102.24|102.24|89.6525|92.26|16694772.0
NBIS|2026-03-31|97.98|103.89|95.73|103.76|21554011.0
NBIS|2026-04-01|105.945|107.87|101.35|101.95|14927319.0
NBIS|2026-04-02|96.41|108.96|96.19|108.82|13695627.0
NBIS|2026-04-06|108.66|113.84|107.45|112.54|10929016.0
NBIS|2026-04-07|110.625|117.9|110.28|117.4|13143438.0
NBIS|2026-04-08|126.88|127.75|119.35|125.0|18687714.0
NBIS|2026-04-09|125.0|136.55|124.55|136.33|20416423.0
NBIS|2026-04-10|134.885|149.82|134.885|144.97|25795120.0
NBIS|2026-04-13|142.7|159.5|142.3|154.56|23449865.0
NBIS|2026-04-14|161.1|166.0999|158.5201|161.94|21991775.0
NBIS|2026-04-15|160.226|166.81|156.5|166.77|14365007.0
SMTC|2026-03-20|78.2|78.2|72.43|73.6|5441704.0
SMTC|2026-03-23|76.44|78.8499|75.42|76.52|3451769.0
SMTC|2026-03-24|75.05|79.95|74.519|77.95|3629418.0
SMTC|2026-03-25|79.35|81.74|78.475|80.04|2790660.0
SMTC|2026-03-26|77.79|78.57|73.74|74.16|1991636.0
SMTC|2026-03-27|74.41|76.18|71.28|72.16|3611559.0
SMTC|2026-03-30|78.02|78.5|69.16|70.61|5035493.0
SMTC|2026-03-31|72.84|77.33|71.72|76.89|2467837.0
SMTC|2026-04-01|78.42|82.46|78.0|80.04|1855237.0
SMTC|2026-04-02|75.5|83.37|75.5|82.65|2071364.0
SMTC|2026-04-06|82.65|85.6|82.33|82.64|1147642.0
SMTC|2026-04-07|82.64|84.37|80.25|83.08|1384380.0
SMTC|2026-04-08|88.07|90.94|86.43|86.95|2325591.0
SMTC|2026-04-09|87.01|90.5|86.745|88.66|1853797.0
SMTC|2026-04-10|92.1|92.1|84.28|85.22|3391455.0
SMTC|2026-04-13|85.72|91.91|85.475|91.83|2376122.0
SMTC|2026-04-14|93.335|93.825|88.76|90.12|2384465.0
SMTC|2026-04-15|90.06|93.85|89.03|93.27|2690014.0
STRL|2026-03-20|431.97|433.5|395.52|401.61|784576.0
STRL|2026-03-23|413.0|435.0|412.94|422.55|376927.0
STRL|2026-03-24|419.17|446.89|418.76|446.16|320217.0
STRL|2026-03-25|454.13|460.6431|448.0|452.92|443967.0
STRL|2026-03-26|440.48|444.95|410.72|415.93|314327.0
STRL|2026-03-27|415.93|427.76|415.82|420.24|306481.0
STRL|2026-03-30|421.94|425.0|375.08|382.55|749003.0
STRL|2026-03-31|395.01|411.5099|385.0|407.27|740908.0
STRL|2026-04-01|418.75|434.11|418.0|421.29|429255.0
STRL|2026-04-02|402.435|432.2399|402.0|416.34|350728.0
STRL|2026-04-06|416.125|419.26|392.05|393.71|457916.0
STRL|2026-04-07|388.74|388.95|362.59|382.22|802222.0
STRL|2026-04-08|413.58|425.0|409.52|423.35|550192.0
STRL|2026-04-09|423.35|450.34|423.35|435.65|505106.0
STRL|2026-04-10|437.1|455.0|430.01|446.36|339276.0
STRL|2026-04-13|441.22|461.425|440.0|459.02|389237.0
STRL|2026-04-14|465.91|472.6099|457.02|464.54|553474.0
STRL|2026-04-15|458.42|465.14|449.0|456.08|417865.0
=== DAILY_SPLIT ===
ticker|trade_date|o|h|l|c|v
ASX|2026-03-20|21.5|21.81|20.95|21.31|7613520.0
ASX|2026-03-23|21.37|21.95|21.35|21.68|5756554.0
ASX|2026-03-24|21.27|21.67|21.12|21.53|7336785.0
ASX|2026-03-25|22.09|22.55|22.05|22.4|5755338.0
ASX|2026-03-26|22.1|22.26|21.39|21.43|7893654.0
ASX|2026-03-27|21.66|21.965|21.39|21.5|8622625.0
ASX|2026-03-30|22.13|22.4|20.77|20.89|9306861.0
ASX|2026-03-31|20.79|21.78|20.61|21.68|8883942.0
ASX|2026-04-01|22.49|22.79|22.365|22.48|6460716.0
ASX|2026-04-02|21.82|22.52|21.72|22.28|4901818.0
ASX|2026-04-06|22.45|22.64|22.3|22.55|3425246.0
ASX|2026-04-07|22.06|22.195|21.55|22.19|4862387.0
ASX|2026-04-08|24.0|24.16|23.485|24.14|8720131.0
ASX|2026-04-09|24.45|24.86|24.195|24.51|6827743.0
ASX|2026-04-10|24.98|25.33|24.81|24.84|5617023.0
ASX|2026-04-13|26.01|26.57|25.96|26.55|6608847.0
ASX|2026-04-14|26.76|26.95|26.525|26.87|4798827.0
ASX|2026-04-15|27.61|27.73|26.64|27.23|8421492.0
HUT|2026-03-20|50.14|51.18|46.59|47.46|4337800.0
HUT|2026-03-23|49.47|53.445|49.25|52.94|7281580.0
HUT|2026-03-24|52.06|53.48|50.48|53.25|4244359.0
HUT|2026-03-25|55.09|56.87|54.81|55.62|4530353.0
HUT|2026-03-26|53.5|53.85|49.55|50.58|4987991.0
HUT|2026-03-27|49.72|49.99|46.655|47.405|4670117.0
HUT|2026-03-30|48.21|48.8|42.06|42.72|4812011.0
HUT|2026-03-31|44.03|47.03|43.75|46.91|4272209.0
HUT|2026-04-01|48.8|49.5|47.31|47.36|3419480.0
HUT|2026-04-02|44.9|49.9|44.21|48.11|3690447.0
HUT|2026-04-06|48.5|50.18|48.15|49.58|2075621.0
HUT|2026-04-07|49.7|52.71|48.05|52.66|4381775.0
HUT|2026-04-08|57.085|63.66|56.98|61.43|11126249.0
HUT|2026-04-09|61.06|67.08|60.5488|63.42|8392523.0
HUT|2026-04-10|64.5|68.66|64.5|66.085|5825955.0
HUT|2026-04-13|64.7|71.16|63.2301|69.76|5638465.0
HUT|2026-04-14|72.3303|74.6481|71.15|71.74|4915598.0
HUT|2026-04-15|71.66|72.32|68.32|71.09|5363323.0
IREN|2026-03-20|41.66|42.57|38.935|41.29|34855033.0
IREN|2026-03-23|41.4|44.75|41.215|42.16|40626558.0
IREN|2026-03-24|41.88|42.639|40.22|41.12|29790016.0
IREN|2026-03-25|42.39|43.18|40.645|41.43|29789988.0
IREN|2026-03-26|40.675|40.7|37.25|37.45|36667159.0
IREN|2026-03-27|36.995|37.44|34.56|35.09|28970447.0
IREN|2026-03-30|35.89|35.9|30.76|31.62|41756018.0
IREN|2026-03-31|32.97|34.29|31.65|34.28|32723320.0
IREN|2026-04-01|35.07|35.37|33.61|34.09|27743827.0
