===Q1_NEW_REJECTS===
d_et|~|t_et|~|ticker|~|rt_gap
2026-08-31|~|08:10:01|~|BETR|~|9.89
2026-08-31|~|09:35:02|~|BMM|~|9.07
2026-08-31|~|09:40:03|~|XE|~|10.1
2026-09-01|~|09:10:01|~|DBGI|~|13.19
2026-09-01|~|09:30:06|~|CAPR|~|10.19
(5 rows)
===Q2_NEW_CATCHES===
d_et|~|ticker
2026-08-31|~|CNXU
2026-08-31|~|BY
2026-08-31|~|MOVE
2026-08-31|~|TITN
2026-08-31|~|GPRK
2026-08-31|~|RFAI
2026-09-01|~|PRLD
2026-09-01|~|YEXT
2026-09-01|~|BLSM
(9 rows)
===Q3_DAILY_CLOSES===
trade_date|~|ticker|~|open_price|~|high_price|~|low_price|~|close|~|volume
2026-08-26|~|CNXU|~|7.5|~|7.5|~|6.94|~|6.975|~|290268
2026-08-27|~|CNXU|~|7.03|~|7.51|~|6.94|~|7.04|~|225545
2026-08-28|~|CNXU|~|7|~|7.1|~|6.73|~|7.07|~|175910
2026-08-31|~|CNXU|~|7.31|~|7.374|~|6.87|~|7.175|~|188389
2026-09-01|~|CNXU|~|7.11|~|7.25|~|5.86|~|5.87|~|351293
2026-08-24|~|DBGI|~|8.51|~|8.9852|~|8.07|~|8.34|~|132893
2026-08-25|~|DBGI|~|8.34|~|8.5399|~|7.66|~|7.87|~|57100
2026-08-26|~|DBGI|~|8.01|~|8.5997|~|7.55|~|7.58|~|74097
2026-08-27|~|DBGI|~|7.54|~|7.76|~|7|~|7.22|~|105391
2026-08-28|~|DBGI|~|6.94|~|7.28|~|6.2854|~|6.73|~|106617
2026-08-31|~|DBGI|~|6.68|~|6.73|~|6.0704|~|6.405|~|76879
2026-09-01|~|DBGI|~|6.17|~|6.415|~|4.5|~|4.89|~|352652
2026-08-24|~|GPRK|~|9.74|~|9.865|~|9.63|~|9.84|~|328197
2026-08-25|~|GPRK|~|9.69|~|9.79|~|9.56|~|9.74|~|341160
2026-08-26|~|GPRK|~|9.62|~|9.83|~|9.6|~|9.71|~|223981
2026-08-27|~|GPRK|~|9.67|~|9.88|~|9.5415|~|9.85|~|274826
2026-08-28|~|GPRK|~|9.86|~|10.04|~|9.7|~|9.83|~|353041
2026-08-31|~|GPRK|~|10.26|~|11.2132|~|10.25|~|11|~|2048624
2026-09-01|~|GPRK|~|11.14|~|11.23|~|10.73|~|11.23|~|1161726
2026-08-24|~|MOVE|~|8.82|~|9.3338|~|8.39|~|8.59|~|109986
2026-08-25|~|MOVE|~|8.69|~|9.38|~|8.58|~|9.29|~|53622
2026-08-26|~|MOVE|~|9.38|~|10.1899|~|9.16|~|9.59|~|53194
2026-08-27|~|MOVE|~|9.9|~|11.485|~|9.9|~|11.16|~|82725
2026-08-28|~|MOVE|~|11.05|~|11.8|~|10.685|~|11.49|~|58183
2026-08-31|~|MOVE|~|15.09|~|15.12|~|10.72|~|10.95|~|6904403
2026-09-01|~|MOVE|~|10.09|~|12.95|~|9.99|~|12.81|~|805068
2026-08-24|~|PRLD|~|6.64|~|6.83|~|6.115|~|6.47|~|515609
2026-08-25|~|PRLD|~|6.57|~|6.695|~|6.31|~|6.59|~|415360
2026-08-26|~|PRLD|~|6.61|~|6.71|~|6.3701|~|6.56|~|462412
2026-08-27|~|PRLD|~|6.48|~|6.61|~|6.21|~|6.34|~|364183
2026-08-28|~|PRLD|~|6.27|~|6.3788|~|5.42|~|5.47|~|724982
2026-08-31|~|PRLD|~|5.39|~|5.629|~|5.235|~|5.6|~|737027
2026-09-01|~|PRLD|~|5.55|~|5.61|~|5.25|~|5.49|~|538437
2026-08-24|~|RFAI|~|40.98|~|64.3712|~|38|~|51.04|~|421996
2026-08-25|~|RFAI|~|50.91|~|57.57|~|44.2801|~|51.09|~|97788
2026-08-26|~|RFAI|~|46|~|54|~|46|~|48.89|~|44817
2026-08-27|~|RFAI|~|47.4|~|60.64|~|47.0001|~|51.99|~|80932
2026-08-28|~|RFAI|~|50.39|~|60.99|~|48.33|~|52.05|~|55399
2026-08-31|~|RFAI|~|54.63|~|58.5|~|40|~|43.01|~|28475
2026-09-01|~|RFAI|~|43.86|~|44.75|~|39.0001|~|41.5|~|15517
2026-08-24|~|TITN|~|20.18|~|20.48|~|19.03|~|19.06|~|279434
2026-08-25|~|TITN|~|19.08|~|19.49|~|18.85|~|19.13|~|104412
2026-08-26|~|TITN|~|19.16|~|19.49|~|18.6003|~|18.81|~|203016
2026-08-27|~|TITN|~|17.1|~|18.873|~|16.57|~|18.42|~|441224
2026-08-28|~|TITN|~|18.25|~|18.68|~|17|~|17.86|~|352958
2026-08-31|~|TITN|~|19.5|~|21.12|~|19.34|~|20.57|~|757959
2026-09-01|~|TITN|~|20.05|~|20.78|~|19.7215|~|20.54|~|436414
2026-08-24|~|XE|~|18.9|~|18.98|~|17.52|~|18.11|~|3652189
2026-08-25|~|XE|~|18.51|~|19.89|~|17.91|~|19.11|~|6275249
2026-08-26|~|XE|~|19.095|~|20.37|~|18.05|~|18.26|~|4658348
2026-08-27|~|XE|~|18.58|~|18.876|~|18.05|~|18.47|~|3810576
2026-08-28|~|XE|~|18.25|~|18.43|~|17.17|~|17.22|~|5617449
2026-08-31|~|XE|~|17.32|~|19.14|~|17.29|~|18.45|~|8284388
2026-09-01|~|XE|~|17.785|~|19.22|~|17.63|~|18.41|~|9756404
2026-08-24|~|YEXT|~|6.325|~|6.6|~|6.325|~|6.53|~|761612
2026-08-25|~|YEXT|~|6.48|~|6.615|~|6.455|~|6.58|~|966418
2026-08-26|~|YEXT|~|6.535|~|6.535|~|6.38|~|6.5|~|745659
2026-08-27|~|YEXT|~|6.595|~|6.78|~|6.56|~|6.76|~|666525
2026-08-28|~|YEXT|~|6.74|~|6.95|~|6.74|~|6.91|~|912719
2026-08-31|~|YEXT|~|6.81|~|6.92|~|6.725|~|6.77|~|1307872
2026-09-01|~|YEXT|~|7.66|~|7.88|~|6.315|~|6.53|~|2899040
(98 rows)
===Q4_NOW===
now_et
2026-09-01 21:41:23
(1 row)
