ticker|alert_date|account_mode|signal_type|status|skip_reason|ep_score|catalyst_quality|gap_pct|regime|proposed_et|created_et|orb_high|orb_low|entry_price|stop_price|hard_stop|entry_shares
DCTH|2026-08-06|live|magna53|skipped|window:out_of_orb: detected 09:56 ET|54|routine|21.3|||2026-08-06 09:56:24||||||
MTW|2026-08-07|live|magna53|skipped|window:out_of_orb: detected 09:52 ET|50.4|routine|33.08|||2026-08-07 09:52:09||||||
ONTO|2026-08-07|live|magna53|skipped|window:out_of_orb: detected 09:52 ET|96|game_changer|15.31|||2026-08-07 09:52:08||||||
ACHR|2026-08-10|live|magna53|skipped|window:out_of_orb: detected 09:45 ET|54|routine|14.85|||2026-08-10 09:45:47||||||
NESR|2026-08-10|live|magna53|skipped|window:out_of_orb: detected 09:45 ET|53.3|strong|11.99|||2026-08-10 09:45:48||||||
BE|2026-08-12|live|magna53|skipped|window:out_of_orb: detected 09:50 ET|84|strong|15.16|||2026-08-12 09:50:22||||||
CRWV|2026-08-12|live|magna53|skipped|window:out_of_orb: detected 09:50 ET|51.6|routine|19.51|||2026-08-12 09:50:23||||||
MRX|2026-08-12|live|magna53|skipped|window:out_of_orb: detected 09:55 ET|53.3|strong|12.45|||2026-08-12 09:55:44||||||
KURA|2026-08-13|live|magna53|skipped|window:out_of_orb: detected 09:51 ET|60.5|strong|13.43|||2026-08-13 09:51:26||||||
OMER|2026-08-13|live|magna53|skipped|window:out_of_orb: detected 09:45 ET|60|routine|22.54|||2026-08-13 09:45:22||||||
NMAX|2026-08-14|live|magna53|skipped|window:out_of_orb: detected 09:50 ET|100.8|strong|16.75|||2026-08-14 09:50:39||||||
TWST|2026-08-19|live|magna53|skipped|window:out_of_orb: detected 09:55 ET|84|strong|16.7|||2026-08-19 09:55:39||||||
UUUU|2026-08-21|live|magna53|skipped|window:out_of_orb: detected 09:55 ET|51.6|strong|9.28|||2026-08-21 09:55:39||||||
