GLBE|2026-08-12|72|10.67|game_changer|07:05:00.027783|duplicate_scan
HAS|2026-07-21|72|10.61|game_changer|09:50:00.039628|window_missed
HGTY|2026-08-05|60.5|11.69|strong|09:55:00.052223|window_missed
HLIT|2026-08-13|96|23.79|game_changer|07:00:00.204033|duplicate_scan
HTFL|2026-08-14|96|25.12|game_changer|07:00:00.110845|duplicate_scan
HUT|2026-07-20|72|11.54|game_changer|07:05:00.016583|
INSM|2026-08-06|96|16.14|game_changer|07:25:00.024467|
IREN|2026-07-20|72|13.15|game_changer|09:50:00.073436|duplicate_scan
KMT|2026-08-05|72|14.39|game_changer|09:00:00.201264|breaker_blocked
KODK|2026-08-05|54.7|10.86|strong|07:00:00.125835|breaker_blocked
KTOS|2026-08-05|64.8|11.26|strong|07:30:00.03127|duplicate_scan
KURA|2026-08-13|60.5|13.43|strong|09:50:00.059164|duplicate_scan
LFST|2026-08-06|96|18.8|game_changer|07:50:00.029123|setup_other
LIFE|2026-08-04|80|16.29|game_changer|07:20:00.027484|
LIND|2026-08-03|70|15.55|strong|09:55:00.04166|high_unentered
LRCX|2026-07-30|84|18.95|strong|09:50:00.045916|window_missed
MANE|2026-07-15|72|11.08|game_changer|09:00:00.140246|
MPWR|2026-07-31|60|13.96|game_changer|09:35:00.04726|breaker_blocked
MRX|2026-08-12|53.3|12.45|strong|09:55:00.046138|window_missed
MTW|2026-08-07|50.4|33.08|routine|09:50:00.04982|window_missed
NESR|2026-08-10|53.3|11.99|strong|09:45:00.056891|duplicate_scan
NET|2026-08-07|100.8|15.67|strong|08:50:00.281727|
NMAX|2026-08-14|100.8|16.75|strong|09:50:00.044338|duplicate_scan
NNE|2026-07-27|57|10.38|strong|09:55:00.056168|window_missed
NVCR|2026-07-23|84|15.54|strong|09:05:00.03615|
NWL|2026-07-31|60|13.42|game_changer|07:00:00.136648|duplicate_scan
OMER|2026-08-13|60|22.54|routine|09:45:00.0731|window_missed
ONTO|2026-08-07|96|15.31|game_changer|09:50:00.04982|window_missed
PENG|2026-07-08|72|10.52|game_changer|09:55:00.050452|window_missed
PLTR|2026-08-04|96|15.96|game_changer|07:00:00.134235|
PWR|2026-07-30|60|12.09|game_changer|07:20:00.030382|setup_other
QBTS|2026-07-27|54|11.29|strong|07:20:00.020695|
QNST|2026-08-07|96|27.92|game_changer|08:50:00.281727|
RDW|2026-08-06|64.8|12.46|strong|07:50:00.029123|
RIOT|2026-08-11|115.2|17.92|game_changer|07:00:00.124398|
SE|2026-08-11|54.7|10.58|strong|07:25:00.02477|setup_other
SIMO|2026-07-30|80|19.18|game_changer|09:10:00.044467|setup_other
SITM|2026-08-06|96|28.88|game_changer|07:00:00.122181|setup_other
SMCI|2026-07-22|70|15.88|strong|07:00:00.109713|
TATT|2026-08-05|61.9|11.79|strong|07:20:00.028986|duplicate_scan
TEAM|2026-08-07|115.2|31.66|strong|08:50:00.281727|
TER|2026-07-29|60|10.4|game_changer|08:25:00.023496|duplicate_scan
TEVA|2026-07-29|50.4|11.4|strong|09:50:00.04902|duplicate_scan
TH|2026-08-10|50.4|12.17|strong|07:20:00.041878|pm_rvol_low
THC|2026-07-24|60|14.31|game_changer|07:05:00.021902|
TSAT|2026-08-04|60|14.46|game_changer|09:55:00.048389|window_missed
TSEM|2026-07-14|80|18.57|game_changer|07:00:00.104766|
TWLO|2026-08-07|84|17.97|strong|08:50:00.281727|cap_blocked
U|2026-08-06|96|18.41|game_changer|07:20:00.034426|duplicate_scan
VERA|2026-08-14|86.4|14.23|game_changer|07:25:00.040638|duplicate_scan
VOYG|2026-08-04|80|16.96|game_changer|08:10:00.040222|duplicate_scan
WDFC|2026-07-10|72|14.23|game_changer|07:40:00.020897|
WKC|2026-07-24|60|11.63|game_changer|08:15:00.041143|
WULF|2026-07-06|96|19.92|game_changer|08:20:00.024013|
ZBRA|2026-08-04|60|10.75|game_changer|08:35:00.028857|duplicate_scan
