ticker|ep_date|orb_high|orb_low|post_orb_high|n_orb|n_post
DRTS|2026-05-11|10.08|9.25|10.8|15|373
DY|2026-05-27|543.99|535.5||1|0
DYN|2026-05-20||||0|0
ECG|2026-08-05|155.9898|146.89|155.88|15|356
EFOR|2026-07-22|21.23|19.885|21.3699|14|325
ELVN|2026-06-11|45.5171|43.02||1|0
EME|2026-07-30|793.99|771.66|808.7204|14|356
EOSE|2026-05-13|9.99|8.82|9.445|15|375
EROC|2026-08-12|13.8397|12.7335|14.28|15|373
ETON|2026-08-14|59.79|53.01|59.59|15|361
EVTC|2026-05-19|24.56|24|25.37|6|243
FCEL|2026-06-24|25.199|23.68||1|0
FET|2026-07-31|64.5971|60|63|10|206
FIG|2026-05-15|22.6199|21.31|23.93|15|375
FIGS|2026-08-07|16.38|14.83|15.79|15|375
FLNC|2026-07-31|15.125|14.0117|14.22|15|375
FPS|2026-05-14|50.9997|44.51|51|15|375
FRMI|2026-08-11|7.3899|6.78|7.3|15|375
FROG|2026-08-07|96.255|88.46|91.544|15|372
FTK|2026-08-03|26.49|24.54|26.88|14|275
FTNT|2026-07-30|169.26|158.21|161.51|15|375
FUTU|2026-05-26|105.4|97.65|107.83|15|375
GEMI|2026-05-15|6.9599|6.415|6.8056|15|375
GH|2026-05-20||||0|0
GLBE|2026-08-12|43.99|41.01|42.85|15|369
GLOB|2026-05-15|40.27|37.12|40.46|15|374
GO|2026-05-14|9.44|8.25|8.38|15|375
GRND|2026-07-01|16.36|15.28|16.3|15|358
GRRR|2026-06-02|23.49|22.4||1|0
HAS|2026-07-21|92.21|83.91|93.05|15|375
HGTY|2026-08-05|13.11|12.65|13.9699|9|237
HLIT|2026-05-12|15.39|13.68|14.15|15|375
HLIT|2026-08-13|15.06|13.68|14.44|15|374
HPE|2026-06-02|63.95|61.7206||1|0
HQ|2026-06-15|14|11.44|18.05|15|374
HRB|2026-08-12|58.67|54.49|55.67|14|375
HTFL|2026-08-14|39.88|36.0366|43|15|375
HUT|2026-07-20|104.89|100.81|107|15|375
HYMC|2026-06-15|29.34|28.64|29.494|15|372
IBRX|2026-05-20|8.64|8.11|8.56|15|375
IDCC|2026-06-11|298.8|273.36|294.43|15|368
IDR|2026-06-15|43.5|40.25|43.14|15|258
IMVT|2026-05-20|32.87|30.1|36.285|15|375
INFQ|2026-05-21|15.4|13.39|16.09|15|375
INOD|2026-08-07|79.44|62.83|65.5|15|372
INSM|2026-08-06|132.98|126.15|137.7|15|375
INSP|2026-08-04|66.205|59.5|64.3925|15|374
IREN|2026-07-20|39.17|36.31|41.095|15|375
JBIO|2026-06-22|19.445|17.54|20.09|15|333
JBL|2026-06-17|412.36|407.4||1|0
KC|2026-07-08|10.63|10.22|10.675|15|374
KLAR|2026-05-14|16.48|15.11|16.485|15|375
KMT|2026-08-05|41.12|35.46|37.24|15|367
KODK|2026-08-05|10.025|9.4507|9.98|13|355
KSS|2026-05-28|16.22|15.435|15.84|15|375
KTOS|2026-05-28|64.72|61|66.83|15|375
KTOS|2026-08-05|62.34|56.42|57.5|15|375
KURA|2026-08-13|11.31|10.4|11.308|15|365
KYMR|2026-06-25|130.05|106.17|126|15|370
LAC|2026-06-02|6.36|5.75|6.36|15|375
LFST|2026-08-06|10.99|10.08|10.975|15|375
LIFE|2026-08-04|28.79|25.02|29.39|15|375
LIND|2026-08-03|34.5|30.77|34.23|15|349
LPTH|2026-08-14|15.29|14|15.61|15|375
LRCX|2026-07-30|319.5|297.04|312.17|15|375
LZB|2026-06-17|44.9|41.99|43.92|15|355
MANE|2026-07-15|127.99|118|129.8|13|328
MLTX|2026-06-22|20.025|19.75||1|0
MMYT|2026-06-15|49.99|44.8|48.24|15|339
MNDY|2026-05-11|88.48|80.56|85.965|15|375
MPWR|2026-07-31|1568.21|1475.415|1489.3|15|375
MRAM|2026-05-11|38.98|33.79|44.67|15|375
MRLN|2026-06-05|10.2499|8.8402|9.66|15|375
MRNA|2026-08-19|128.7|114.46|176.66|15|375
MRVL|2026-06-02|259.8|252.43||1|0
MRVL|2026-08-19|245.489|232.95|239.94|15|375
MRX|2026-08-12|68.26|62.6|71.6209|14|327
MTW|2026-08-07|19.145|17.14|19.8|13|342
MU|2026-06-25|1235|1221.32||1|0
NAVN|2026-06-11|24.32|23.03||1|0
NBIS|2026-08-12|228.66|216.11|259.44|15|375
NESR|2026-08-10|34.23|31.86|36.6|15|375
NET|2026-08-07|322.49|311|324.73|15|375
NMAX|2026-08-14|11.51|9.895|11.59|15|374
NNE|2026-05-26|31.48|28.01|30.7999|15|375
NNE|2026-07-27|17.43|16.23|17.499|15|367
NOW|2026-06-01|138.4|131.61|139.2|15|375
NRIX|2026-06-08|16.88|16.1||1|0
NVCR|2026-07-23|20.55|18|20.5|15|374
NVTS|2026-06-03|31.63|30.55||1|0
NWL|2026-07-31|7.1299|6.43|6.565|15|375
OKLO|2026-05-26|73.29|70.6301|71.3499|15|375
OKTA|2026-08-27|167.88|156.5|174.85|15|375
OMER|2026-08-13|18.14|16.54|18|15|375
ONTO|2026-08-07|313.9999|295|314.22|15|344
OUST|2026-06-29|50.5|43.45|54.49|15|375
PACS|2026-05-12|41.7399|38.44|41.35|13|366
PD|2026-05-29|9.44|8.84|10.015|15|375
PENG|2026-07-08|72|63.7601|80|15|375
PGY|2026-06-04|15.5496|14.2|16.27|15|375
PHR|2026-05-28|10.96|9.27|10.07|15|370
PLTR|2026-08-04|152.2799|143.28|164.52|15|375
PONY|2026-05-26|10.4|9.25|9.72|15|375
POWI|2026-05-26|84.9|78|84.3899|15|366
PPTA|2026-05-22|29.15|26.8|27.35|15|373
PRAA|2026-08-07|21.49|20.28|21.0514|13|292
PRG|2026-07-15|45.759|45.18|46.94|8|213
PRGO|2026-08-05|13.61|12.611|13.655|15|375
PSIX|2026-08-07|42.03|38.28|41.31|15|358
PUBM|2026-08-07|18|17.07|18.4395|15|367
PWR|2026-07-30|679.8|637.93|660.7065|15|375
QBTS|2026-05-21|23.71|21.61|25.83|15|375
QBTS|2026-07-27|19.23|17.75|19.54|15|375
QDEL|2026-06-29|19.8|16.73|19.15|15|375
QFIN|2026-05-27|16.47|13.88|16.455|15|375
QNST|2026-08-07|20.5|19.21|21.28|15|372
QUBT|2026-05-21|11.12|10.32|11.445|15|375
QURE|2026-06-17|44.62|42.5||1|0
RARE|2026-08-20|28.5|26.1596|26.67|15|372
RCAT|2026-05-28|12.51|11.955||1|0
RDDT|2026-08-14|181.7|175|184.284|15|375
RDW|2026-05-26|21.01|19.2|23.1|15|375
RDW|2026-08-06|12.75|11.33|12.42|15|375
RIOT|2026-08-11|23.66|21.22|21.62|15|375
RLAY|2026-05-21|15.45|14.26|14.98|15|375
ROCK|2026-08-05|57.175|50.77|57.58|14|270
RPD|2026-08-11|14.06|12.76|14.795|15|375
RUM|2026-06-04|9.89|9.4||1|0
RXT|2026-06-16|7.16|6.61||1|0
SAIC|2026-06-01|121|112.16|123.41|15|360
SCSC|2026-08-20|66.78|62.2701|64.42|15|290
SE|2026-05-12|94.99|90.25|98.0965|15|375
SE|2026-08-11|130.01|124.52|131.94|15|375
SEDG|2026-06-30|60.7099|56.96|60.94|15|373
SG|2026-07-17|7.45|6.69|7.52|15|375
SHAZ|2026-06-12|74.77|67.29||1|0
SIBN|2026-05-12|13.52|12.072|13.955|15|355
SIMO|2026-07-30|285|255.89|267.03|15|375
SITM|2026-08-06|685.5|622.69|693.665|15|355
SKM|2026-06-01|41.6|39.49|44.7896|15|375
SLN|2026-08-10|17|15.24|17.5758|15|373
SLS|2026-05-20|9|8.2|9.0999|15|375
SMCI|2026-07-22|30.66|28.5|32.2844|15|375
SNOW|2026-05-28|238|229.49|244.92|15|375
SNX|2026-06-25|295.19|282.16||1|0
SOLS|2026-08-28|67.5|64.72|66.88|15|375
SOUN|2026-08-06|8.19|7.5|7.82|15|375
STAA|2026-05-14|35.87|33.38|33.815|15|369
STC|2026-05-19|68.74|67.66|68.645|4|84
STDN|2026-08-14|13.795|12|13.79|15|345
STUB|2026-05-14|9.072|8.3201|9.17|15|375
SWBI|2026-06-18|16.09|15.63||1|0
SYRE|2026-06-22|98.18|95||1|0
TASK|2026-08-06|7.6|7.02|8.225|15|359
TATT|2026-05-20|39.15|36.015|40.73|15|249
TATT|2026-08-05|52.99|49.28|50.89|15|226
TE|2026-05-12|6.51|6|6.255|15|375
TEAM|2026-08-07|151.37|142.62|153.2|15|375
TEM|2026-08-19|59.04|54.81|61.98|15|375
TER|2026-07-29|372.23|355.51|362.43|15|375
TEVA|2026-07-29|35.69|33.67|35.155|15|375
TH|2026-08-10|17.44|15.0201|17.54|15|339
THC|2026-07-24|246.555|233.58|246.815|15|375
TNDM|2026-06-01|19.7|18.82|20.04|15|371
TRUP|2026-08-06|29.278|26.3|28.74|15|345
TSAT|2026-08-04|46|43.12|55.5225|15|364
TSEM|2026-07-14|274|265.8482|270.2|15|371
TTAN|2026-06-05|84.0775|82.76||1|0
TWLO|2026-08-07|240|227.02|254.5|15|375
TWST|2026-08-19|138.71|127.75|142.84|15|373
U|2026-08-06|39.75|34.8|41.66|15|375
UUUU|2026-06-18|18.06|17.31||1|0
UUUU|2026-08-21|15.2901|14.58|15.55|15|375
VEEV|2026-08-27|289.82|274.81|296.24|15|375
VERA|2026-08-14|32.3|29.73|32.31|15|368
VG|2026-05-12|12.73|12.25|13.595|15|375
VIK|2026-05-14|92|88.82|91.75|15|375
VOYG|2026-08-04|35.98|33.1914|35.98|15|370
VPG|2026-05-12|87.8799|81.55|87|15|327
VSNT|2026-05-14|45.58|42.325|45.08|15|373
VSTS|2026-05-12|12.23|11.53|12.465|15|375
WDFC|2026-07-10|298.899|285.8|298.5372|15|337
WEN|2026-06-24|8.8871|7.73|8.34|11|371
WKC|2026-07-24|40.9|38.52|41.2|15|363
WLDN|2026-08-07|88.72|82.0001|86.72|15|262
WULF|2026-07-06|25.01|23.69|25.15|15|375
WYFI|2026-05-11|25.75|22.75|29|15|371
WYFI|2026-08-12|28.76|27|28.8699|15|368
XE|2026-06-15|22.11|19.79|22.22|15|375
ZBRA|2026-05-12|256.42|242.5|259.335|15|371
ZBRA|2026-08-04|360.58|329.4725|369.79|15|369
