id	birth	birth_name	class	matured	era	n_members	n_founders	n_ep	n_pre	n_post	n_cov	n_hoc	runway	delivered	share_all	censored	rwo_runway	rwo_delivered	rw40_runway	rw40_delivered	rwa_n_ep	rwa_runway	rwa_delivered	ign_rs	ign_cl	ign_ep	ign_epo	first_leg	lag	cl_max_share	cl_days
27	2026-03-21	Edge CDN & Cloud-Native Developer Platforms	grind	True	E0 pre-window before the scan log	5	3	1	0	1	1	0	1.000	1.000	0.200	False	0.000	0.000	1.000	1.000	0			2026-01-23		2026-04-14	2026-01-23	RS	39	0.200	24
28	2026-03-21	Industrial Gas Compression & Midstream Processing Equipment	cogap	False	E0 pre-window before the scan log	29	28	2	0	2	2	0	1.000	1.000	0.069	False	0.000	0.000	1.000	1.000	1	1.000	1.000	2026-01-23		2026-03-24	2026-01-22	RS	39	0.069	24
29	2026-03-21	NAND Flash & Solid-State Storage Devices	grind	False	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False	1.000	1.000	1.000	1.000	0			2026-01-23			2026-01-30	RS	39	0.000	24
30	2026-03-21	Nitrogen Fertilizer & Crop Nutrient Producers	grind	False	E0 pre-window before the scan log	20	2	1	0	1	1	0	1.000	1.000	0.050	False	0.143	0.143	1.000	0.750	0			2026-02-06		2026-04-13	2026-01-22	RS	29	0.050	24
31	2026-03-23	Defense Electronics & Avionics Mission Systems	grind	False	E0 pre-window before the scan log	4	2	1	0	1	0	1	1.000	0.000	0.250	False	1.000	0.667	1.000	0.000	0					2026-04-20	2026-02-12	EP	-19	0.250	25
32	2026-03-23	IP Licensing & Ad-Tech Royalty Software	grind	False	E0 pre-window before the scan log	6	2	0	0	0	0	0			0.000	False	0.000	0.000	1.000	1.000	0			2026-02-20			2026-02-25	RS	21	0.167	25
33	2026-03-24	IP Licensing & Patent Monetization Software Platforms	grind	False	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False	0.000	0.000			0			2026-02-27			2026-02-25	RS	17	0.000	26
34	2026-03-24	LNG Export Infrastructure & Floating LNG	grind	False	E0 pre-window before the scan log	7	7	0	0	0	0	0			0.000	False	0.000	0.000	1.000	1.000	0			2026-01-30			2026-03-02	RS	36	0.143	26
35	2026-03-24	Niche Specialty Chemicals & Industrial Intermediates	grind	True	E0 pre-window before the scan log	16	5	1	0	1	1	0	1.000	1.000	0.062	False	0.200	0.200	1.000	1.000	0			2026-02-06		2026-04-13	2026-02-24	RS	31	0.000	26
36	2026-03-24	Semiconductor Front-End Interconnect & Wafer Processing Equipment	grind	False	E0 pre-window before the scan log	3	2	0	0	0	0	0			0.000	False	1.000	0.500	1.000	1.000	0			2026-01-30			2026-01-30	RS	36	0.333	26
37	2026-03-24	Specialty Cellulose & Bio-Based Materials	cogap	False	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False	0.000	0.000			0			2026-02-06			2026-02-25	RS	31	0.000	26
38	2026-03-25	Enterprise Server & AI Infrastructure Hardware	cogap	True	E0 pre-window before the scan log	53	2	3	1	2	1	1	0.667	0.333	0.038	False	0.100	0.100	0.857	0.714	2	0.500	0.000	2026-01-30		2026-03-24	2026-01-28	RS	37	0.038	27
39	2026-03-26	Firearms & Personal Defense Manufacturing	grind	True	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False	0.000	0.000			0			2026-01-30			2026-03-06	RS	38	0.000	28
40	2026-03-26	Semiconductor Wafer Foundry & Advanced IC Manufacturing	grind	True	E0 pre-window before the scan log	39	2	7	0	7	3	4	1.000	0.429	0.179	False	0.562	0.250	1.000	0.636	2	1.000	0.000	2026-01-30		2026-03-31	2026-01-29	RS	38	0.051	28
41	2026-03-27	Chip Architecture Licensing & CPU/GPU Compute Revival	grind	True	E0 pre-window before the scan log	5	2	3	0	3	3	0	1.000	1.000	0.600	False	0.750	0.500	1.000	1.000	0			2026-04-08		2026-04-23	2026-03-25	RS	-7	0.200	28
42	2026-03-27	Optical Network Test & Monitoring Equipment	grind	False	E0 pre-window before the scan log	11	2	1	0	1	1	0	1.000	1.000	0.091	False	0.167	0.167	1.000	1.000	0			2026-01-30		2026-04-20	2026-01-29	RS	39	0.091	28
43	2026-03-27	Power Semiconductor & Mixed-Signal Display Drivers	grind	True	E0 pre-window before the scan log	5	2	2	0	2	1	1	1.000	0.500	0.400	False	0.667	0.333	1.000	0.500	0			2026-03-23		2026-04-14	2026-03-12	RS	4	0.000	28
44	2026-04-01	IT Infrastructure Deployment & Data Center Systems Integration	grind	True	E0 pre-window before the scan log	3	2	1	0	1	1	0	1.000	1.000	0.333	False	0.500	0.500	1.000	1.000	0			2026-03-20		2026-04-21	2026-02-27	RS	8	0.333	29
45	2026-04-01	Rare Earth Magnets & Critical Battery Materials	grind	True	E0 pre-window before the scan log	6	2	0	0	0	0	0			0.000	False	0.000	0.000	1.000	1.000	0			2026-04-01			2026-02-18	RS	0	0.000	29
46	2026-04-02	Lithium & Battery Critical Minerals Mining	grind	False	E0 pre-window before the scan log	2	2	2	1	1	1	0	0.500	0.500	0.500	False	0.500	0.500	0.500	0.500	1	0.000	0.000	2026-04-02		2026-03-30	2026-02-25	EP	3	0.000	29
47	2026-04-02	Workforce Solutions & Technical Staffing Services	cogap	False	E0 pre-window before the scan log	3	2	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-02-27		2026-04-01	2026-02-05	RS	24	0.000	29
48	2026-04-07	Autonomous Military Drone Swarm & AI Defense Software	grind	False	E0 pre-window before the scan log	2	2	1	0	1	1	0	1.000	1.000	0.500	False	0.500	0.500	1.000	1.000	1	1.000	1.000	2026-04-10		2026-04-22	2026-03-18	RS	-3	0.000	29
49	2026-04-07	Cell & Genome Engineering Oncology	grind	True	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False					0			2026-03-31				RS	4	0.000	29
50	2026-04-07	Consumer Discretionary Home Furnishings Rebound	grind	False	E0 pre-window before the scan log	2	2	2	1	1	1	0	0.500	0.500	0.500	False	0.500	0.500	0.500	0.500	1	0.000	0.000	2026-04-02		2026-03-26	2026-03-26	EP	7	0.000	29
51	2026-04-07	Gold & Precious Metals Mining	grind	False	E0 pre-window before the scan log	6	2	1	0	1	1	0	1.000	1.000	0.167	False	1.000	1.000	1.000	1.000	0			2026-02-06	2026-04-21	2026-04-16	2026-03-04	RS	40	0.667	29
52	2026-04-07	Hemp & Cannabis-Derived Wellness Beverages	cogap	True	E0 pre-window before the scan log	2	2	2	0	2	2	0	1.000	1.000	1.000	False	0.000	0.000	1.000	1.000	0			2026-04-02		2026-04-23	2026-02-13	RS	2	0.000	29
53	2026-04-07	Precision Frequency & Timing Defense Electronics	grind	True	E0 pre-window before the scan log	2	2	1	0	1	1	0	1.000	1.000	0.500	False	1.000	1.000	1.000	1.000	0			2026-04-02		2026-05-01	2026-04-09	RS	2	0.000	29
54	2026-04-07	Robo-Advisor & AI-Driven Wealth Management Platforms	grind	True	E0 pre-window before the scan log	58	2	5	3	2	2	0	0.400	0.400	0.034	False	0.222	0.111	0.700	0.700	3	0.000	0.000	2026-02-06		2026-03-24	2026-02-06	RS	40	0.034	29
55	2026-04-07	Single-Cell Genomics & Spatial Biology Instrumentation	grind	True	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False	0.000	0.000	1.000	1.000	0			2026-04-06			2026-02-13	RS	1	0.000	29
56	2026-04-07	Uranium Mining & Nuclear Fuel Supply	grind	False	E0 pre-window before the scan log	2	2	1	0	1	1	0	1.000	1.000	0.500	False	1.000	1.000	1.000	1.000	0			2026-04-02		2026-04-16	2026-04-16	RS	2	0.000	29
57	2026-04-08	Inflammatory Disease & Immunology Biologics	grind	True	E0 pre-window before the scan log	14	2	6	0	6	2	4	1.000	0.333	0.429	False	0.857	0.286	1.000	0.250	3	1.000	0.667	2026-04-02		2026-04-13	2026-02-17	RS	3	0.071	29
58	2026-04-09	Bitcoin Mining & Digital Asset Infrastructure	grind	False	E0 pre-window before the scan log	9	2	6	0	6	2	4	1.000	0.333	0.667	False	0.500	0.167	1.000	0.286	1	1.000	1.000	2026-04-13	2026-02-10	2026-04-14	2026-02-27	CL	40	0.556	30
59	2026-04-09	Gold & Silver Junior Miners Momentum	grind	True	E0 pre-window before the scan log	5	5	4	0	4	4	0	1.000	1.000	0.800	False	0.750	0.750	1.000	1.000	0			2026-02-13	2026-04-21	2026-04-20	2026-03-25	RS	37	0.600	30
60	2026-04-09	Precious & Streaming Metals Royalty & Junior Miners	grind	True	E0 pre-window before the scan log	7	4	2	0	2	2	0	1.000	1.000	0.286	False	1.000	1.000	1.000	1.000	0			2026-02-13	2026-04-21	2026-05-06	2026-03-04	RS	37	1.000	30
61	2026-04-09	Silicon Carbide Power Semiconductors & EV Infrastructure	grind	True	E0 pre-window before the scan log	3	2	3	0	3	2	1	1.000	0.667	1.000	False	1.000	0.667	1.000	0.667	1	1.000	1.000	2026-04-02		2026-04-22	2026-04-22	RS	4	0.333	30
62	2026-04-14	AI Datacenter Optical Interconnects & Components	grind	False	E0 pre-window before the scan log	4	4	2	0	2	2	0	1.000	1.000	0.500	False	0.500	0.500	1.000	1.000	1	1.000	1.000	2026-02-13		2026-05-06	2026-03-18	RS	40	0.000	30
63	2026-04-14	Earth Observation Data & Geospatial Intelligence	grind	False	E0 pre-window before the scan log	9	3	2	1	1	1	0	0.500	0.500	0.111	False	0.333	0.333	0.667	0.667	0			2026-02-13		2026-04-14	2026-03-20	RS	40	0.111	30
64	2026-04-16	Optical Components & Transceiver Manufacturers	cogap	True	E0 pre-window before the scan log	28	6	15	2	13	11	2	0.867	0.733	0.464	False	0.375	0.312	0.882	0.765	9	0.889	0.778	2026-03-13		2026-04-13	2026-02-27	RS	23	0.036	31
65	2026-04-17	Satellite Imagery & Geospatial Intelligence	grind	True	E0 pre-window before the scan log	27	4	14	5	9	6	3	0.643	0.429	0.333	False	0.312	0.188	0.737	0.579	2	0.000	0.000	2026-04-08		2026-04-01	2026-02-26	EP	11	0.148	31
66	2026-04-22	Space Launch & Orbital Services	grind	False	E0 pre-window before the scan log	12	3	8	4	4	3	1	0.500	0.375	0.333	False	0.375	0.375	0.636	0.545	0			2026-04-08		2026-04-14	2026-02-26	RS	10	0.333	32
67	2026-04-23	Hydraulic Fracturing & Well Completion Services	grind	False	E0 pre-window before the scan log	50	5	5	3	2	1	1	0.400	0.200	0.040	False	0.333	0.167	0.625	0.500	4	0.500	0.500	2026-02-27		2026-03-24	2026-02-27	RS	38	0.080	32
68	2026-04-24	AI Datacenter Optical Transceivers & Components	grind	True	E0 pre-window before the scan log	7	5	5	2	3	3	0	0.600	0.600	0.429	False	0.600	0.600	0.600	0.600	1	0.000	0.000	2026-03-13		2026-04-20	2026-02-27	RS	29	0.000	32
69	2026-05-05	Petroleum Refining & Downstream Fuels	grind	False	E0 pre-window before the scan log	44	9	4	3	1	1	0	0.250	0.250	0.023	False	0.200	0.200	0.200	0.200	3	0.667	0.667	2026-03-13		2026-03-24	2026-03-09	RS	36	0.091	37
70	2026-05-08	Independent E&P Operators	grind	False	E0 pre-window before the scan log	37	8	3	2	1	0	1	0.333	0.000	0.027	False	0.250	0.000	0.250	0.000	2	0.500	0.000	2026-03-13		2026-03-24	2026-03-12	RS	39	0.297	40
71	2026-05-14	Pure-Play Hydraulic Fracturing & Completion Services	grind	False	E1+ pre-window scan-covered	41	5	2	2	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-03-19		2026-03-24	2026-03-18	RS	39	0.268	44
72	2026-06-22	Crude & Product Tanker Shipping	grind	False	E1+ pre-window scan-covered	10	6	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	0			2026-04-23	2026-04-23	2026-06-02	2026-06-02	CL+RS	40	0.600	61
73	2026-06-22	European Bank Stocks	grind	True	E1+ pre-window scan-covered	9	6	0	0	0	0	0			0.000	False			0.000	0.000	0			2026-07-15	2026-06-09	2026-05-06	2026-05-06	EP	31	0.667	61
74	2026-06-25	Casual Dining Restaurant Turnaround	grind	True	E1+ pre-window scan-covered	2	2	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-06-08	2026-05-05	2026-04-29	2026-04-29	EP	39	0.500	61
75	2026-06-25	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	grind	True	E1+ pre-window scan-covered	7	4	1	0	1	0	1	1.000	0.000	0.143	False	1.000	0.000	1.000	0.500	0			2026-06-22		2026-07-07	2026-07-07	RS	3	0.143	61
76	2026-06-25	Quantum Computing & Quantum-Safe Networking	grind	True	E1+ pre-window scan-covered	3	2	2	2	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-05-21		2026-05-06	2026-05-06	EP	34	0.000	61
77	2026-06-25	Senior Living & Housing Operators	grind	True	E1+ pre-window scan-covered	2	2	0	0	0	0	0			0.000	False					0			2026-04-29				RS	39	0.000	61
78	2026-06-25	U.S. Passenger Airlines	grind	True	E1+ pre-window scan-covered	7	6	0	0	0	0	0			0.000	False			1.000	1.000	0			2026-05-27	2026-05-26			CL	21	0.857	61
79	2026-06-26	AI Cloud GPU & Datacenter Colocation Platforms	cogap	True	E1+ pre-window scan-covered	4	2	4	4	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	2	0.500	0.500	2026-04-29		2026-05-06	2026-05-06	RS	40	0.000	61
80	2026-06-26	Commercial Real Estate Brokerage & Advisory Services	grind	True	E1+ pre-window scan-covered	5	4	0	0	0	0	0			0.000	False					0				2026-06-26			CL	0	1.000	61
81	2026-06-26	Construction Aggregates & Building Materials	grind	False	E1+ pre-window scan-covered	3	3	0	0	0	0	0			0.000	False					0				2026-06-09			CL	12	1.000	61
82	2026-06-26	Golf Equipment & Apparel	grind	True	E1+ pre-window scan-covered	2	2	0	0	0	0	0			0.000	False			0.000	0.000	0			2026-06-11	2026-05-08	2026-05-08	2026-05-08	CL+EP	33	0.500	61
83	2026-06-26	Insurance Brokerage & Distribution Services	grind	True	E1+ pre-window scan-covered	6	4	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.500	0.000	0			2026-07-06	2026-04-29	2026-06-22	2026-05-05	CL	40	0.833	61
84	2026-06-26	Life Insurance & Annuity Providers	grind	True	E1+ pre-window scan-covered	12	5	0	0	0	0	0			0.000	False					0			2026-06-12				RS	9	0.417	61
85	2026-06-26	Midstream Energy Infrastructure & Pipeline Operators	grind	False	E1+ pre-window scan-covered	17	11	0	0	0	0	0			0.000	False					0			2026-04-30				RS	39	0.471	61
86	2026-06-26	Multifamily Apartment REITs	grind	False	E1+ pre-window scan-covered	6	4	0	0	0	0	0			0.000	False					0			2026-06-04	2026-04-29			CL	40	1.000	61
87	2026-06-26	Private Mortgage Insurance	grind	True	E1+ pre-window scan-covered	5	4	0	0	0	0	0			0.000	False					0				2026-06-04			CL	15	1.000	61
88	2026-06-26	Property & Casualty Insurance Underwriters	grind	True	E1+ pre-window scan-covered	19	14	0	0	0	0	0			0.000	False			0.000	0.000	0			2026-07-06	2026-06-25	2026-04-29	2026-04-29	EP	40	0.684	61
89	2026-06-28	Clinical-Stage Autoimmune & Inflammatory Disease Biologics	grind	False	E1+ pre-window scan-covered	6	6	0	0	0	0	0			0.000	False			0.500	0.500	0			2026-06-22		2026-04-30	2026-04-30	EP	39	0.167	61
90	2026-06-28	Coal Mining & Export (Metallurgical & Thermal)	grind	False	E1+ pre-window scan-covered	3	3	0	0	0	0	0			0.000	False					0				2026-06-10			CL	11	1.000	61
91	2026-06-28	Defense Drones & Unmanned Aerial Systems	cogap	False	E1+ pre-window scan-covered	5	5	5	5	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	4	0.000	0.000		2026-06-22	2026-05-14	2026-05-14	EP	29	1.000	61
92	2026-06-28	Large Defense Contractors & Aerospace Primes	grind	False	E1+ pre-window scan-covered	5	5	1	0	1	1	0	1.000	1.000	0.200	False	1.000	1.000	1.000	1.000	0				2026-06-15	2026-07-23	2026-07-23	CL	8	1.000	61
93	2026-06-28	Medical Devices & Surgical Equipment	grind	False	E1+ pre-window scan-covered	4	4	0	0	0	0	0			0.000	False					0				2026-06-26			CL	0	1.000	61
94	2026-06-28	Nucleic Acid Therapeutics & Gene Synthesis Platforms	grind	True	E1+ pre-window scan-covered	3	3	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.333	0.333	0			2026-06-15		2026-05-01	2026-05-01	EP	38	0.000	61
95	2026-06-28	Protein Degradation & Targeted Molecular Therapeutics Re-rating	grind	True	E1+ pre-window scan-covered	4	4	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-06-22		2026-05-15	2026-05-15	EP	28	0.000	61
96	2026-06-28	Rare & Orphan Disease Specialty Pharma	grind	False	E1+ pre-window scan-covered	4	4	0	0	0	0	0			0.000	False			0.333	0.333	0			2026-05-08		2026-05-05	2026-05-05	EP	36	0.000	61
97	2026-06-29	AI Interconnect & Semiconductor Connectivity	grind	False	E1+ pre-window scan-covered	2	2	2	1	1	1	0	0.500	0.500	0.500	False	0.500	0.500	0.000	0.000	0			2026-04-30		2026-05-06	2026-05-06	RS	40	0.000	61
98	2026-06-29	Automotive Electronics & Sensor Components	grind	False	E1+ pre-window scan-covered	4	2	3	3	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-04-30		2026-05-04	2026-05-04	RS	40	0.250	61
99	2026-06-29	Specialty Catastrophe Property Insurance Underwriters	grind	True	E1+ pre-window scan-covered	2	2	0	0	0	0	0			0.000	False					0			2026-05-20	2026-05-19			CL	27	0.500	61
100	2026-06-30	Autoimmune & Inflammatory Disease Biopharmaceuticals	grind	False	E1+ pre-window scan-covered	9	6	3	2	1	1	0	0.333	0.333	0.111	False	0.333	0.333	0.500	0.500	1	0.000	0.000	2026-06-29		2026-06-01	2026-06-01	EP	20	0.000	61
101	2026-06-30	Clinical-Stage Oncology Therapeutics	grind	False	E1+ pre-window scan-covered	3	3	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-06-23		2026-06-11	2026-06-11	EP	12	0.000	61
102	2026-06-30	Domestic Steel Producers	grind	False	E1+ pre-window scan-covered	6	4	1	0	1	0	1	1.000	0.000	0.167	False	1.000	0.000	1.000	0.000	1	1.000	0.000	2026-05-05	2026-06-29	2026-07-23	2026-07-23	RS	38	0.833	61
103	2026-06-30	In Vivo Gene Therapy & Genome Editing	cogap	False	E1+ pre-window scan-covered	2	2	2	2	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	0			2026-06-18		2026-06-15	2026-06-15	EP	10	0.000	61
104	2026-06-30	Industrial Power Equipment & Electrical Systems	grind	False	E1+ pre-window scan-covered	4	4	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	0			2026-05-04	2026-06-24	2026-06-02	2026-06-02	RS	39	1.000	61
105	2026-06-30	Insurance Brokerage & Risk Advisory	grind	False	E1+ pre-window scan-covered	3	3	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	0			2026-07-07	2026-06-04	2026-06-22	2026-05-05	CL	17	0.667	61
106	2026-06-30	Precious Metals Miners (Gold & Silver)	cogap	False	E1+ pre-window scan-covered	21	21	9	9	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	0				2026-06-30	2026-05-06	2026-05-06	EP	37	1.000	61
107	2026-06-30	Precision Aerospace & Defense Component Manufacturers	grind	False	E1+ pre-window scan-covered	2	2	1	1	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	0.000	0.000	2026-06-26		2026-05-29	2026-05-29	EP	21	0.000	61
108	2026-06-30	Precision Optics & Photonic Components	grind	False	E1+ pre-window scan-covered	3	3	0	0	0	0	0			0.000	False	0.000	0.000	0.000	0.000	0			2026-05-19		2026-05-08	2026-05-08	EP	35	0.000	61
109	2026-06-30	Quantum Computing Hardware & Annealing Systems	cogap	False	E1+ pre-window scan-covered	3	3	3	3	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	1	1.000	1.000	2026-05-21	2026-05-01	2026-05-12	2026-05-12	CL	40	1.000	61
110	2026-06-30	Rare & Orphan Disease Biotech Re-Rating	grind	False	E1+ pre-window scan-covered	7	5	2	1	1	1	0	0.500	0.500	0.143	False	0.500	0.500	0.400	0.400	0			2026-06-22		2026-05-05	2026-05-05	EP	38	0.143	61
111	2026-06-30	Satellite Communications & Space Data Services	cogap	False	E1+ pre-window scan-covered	7	5	2	2	0	0	0	0.000	0.000	0.000	False	0.000	0.000	0.000	0.000	0			2026-05-14		2026-05-06	2026-05-06	EP	37	0.286	61
112	2026-06-30	Truckload & LTL Freight Carriers	grind	True	E1+ pre-window scan-covered	9	7	0	0	0	0	0			0.000	False			0.000	0.000	0			2026-05-06	2026-06-15	2026-05-07	2026-05-07	RS	37	0.778	61
113	2026-07-01	Consumer Fintech & Digital Credit Platforms	grind	True	E1+ pre-window scan-covered	13	2	3	2	1	0	1	0.333	0.000	0.077	False	0.333	0.000	0.375	0.000	1	0.000	0.000	2026-06-26		2026-05-07	2026-05-07	EP	37	0.077	61
114	2026-07-01	Liquid Biopsy & Multi-Cancer Early Detection	grind	True	E1+ pre-window scan-covered	2	2	0	0	0	0	0			0.000	False			0.000	0.000	0			2026-05-19		2026-05-20	2026-05-20	RS	29	0.000	61
