id	birth	birth_name	names	founders	class	class_src	n_gappers	gap_recency	pre_nat	post_nat	pre_rlx	post_rlx	matured	alive	last_live	life_days	rs_birth	f_level	f_subtle	f_vel	f_turn	f_hold	split	mech	rs_death	subtle_death	post_death	diss_why	succ	split_subtle
28	2026-03-21	Industrial Gas Compression & Midstream Processing Equipment	Industrial Gas Compression & Midstream Processing Equipment	AESI|ANNA|EOG|VLO|SOC|XOM|COP|TALO|CHRD|FANG|LBRT|MPC|VG|SM|APA|VET|PUMP|PARR|XLE|BW|AMPX|VIST|LYB|DOW|HAL|PTEN|PBF|CVX	cogap	open	4	3	0.284	0.544	0.284	0.544	False	False	2026-03-23	2	99.000	1.000	1.000	0.750	0.000	1.000	absorbed	theme_pass1_protect_strip					Permian & U.S. Mid-Continent Pure-Play E&P	absorbed
29	2026-03-21	NAND Flash & Solid-State Storage Devices	NAND Flash & Solid-State Storage Devices	SNDK|TSEM	grind	open	0				0.402	0.283	False	False	2026-04-21	31	99.150	1.000	1.000	1.000	0.000	1.000	absorbed	theme_pass1_5_absorption					Semiconductor Front-End Interconnect & Wafer Processing Equipment	absorbed
30	2026-03-21	Nitrogen Fertilizer & Crop Nutrient Producers	Nitrogen & Specialty Crop Nutrient Producers|Nitrogen Fertilizer & Ammonia Producers|Nitrogen Fertilizer & Ammonia Pure-Play Producers|Nitrogen Fertilizer & Crop Nutrient Producers	CF|LXU	grind	open	0				0.573	0.739	False	False	2026-06-16	87	99.150	1.000	1.000	0.000	0.000	1.000	dissolved	cap-drop	34.750	1.000	0.726	rs<50		killed-healthy
31	2026-03-23	Defense Electronics & Avionics Mission Systems	Defense Electronics & Avionics Mission Systems	ISSC|KTOS	grind	open	0				0.117	-0.293	False	False	2026-06-15	84	62.850	0.500	0.000	0.000	0.000	0.000	rs 50-70, coherence held (undefined by task)		57.100	0.500	0.155			killed-healthy
32	2026-03-23	IP Licensing & Ad-Tech Royalty Software	IP Licensing & Ad-Tech Royalty Software	ADEA|YOU	grind	open	1	18			-0.057	-0.133	False	False	2026-05-13	51	98.950	1.000	1.000	0.000	0.000	1.000	absorbed	theme_pass1_5_absorption					Nylon & Engineered Polymer Intermediates	absorbed
33	2026-03-24	IP Licensing & Patent Monetization Software Platforms	IP Licensing & Patent Monetization Software Platforms	ADEA|RYAM	grind	open	1	19			-0.041	-0.173	False	False	2026-03-30	6	99.150	1.000	0.500	0.000	0.000	0.500	dissolved		95.100	0.500	-0.237	coh-fell		dissolved
34	2026-03-24	LNG Export Infrastructure & Floating LNG	LNG Export Infrastructure & Floating LNG	EQNR|GLNG|PTEN|E|VG|LNG|PUMP	grind	open	1	15	0.255	0.496	0.255	0.496	False	False	2026-03-27	3	98.900	1.000	1.000	0.000	0.000	1.000	killed-healthy		98.043	1.000	0.522			killed-healthy
35	2026-03-24	Niche Specialty Chemicals & Industrial Intermediates	Engineered Polymers & High-Performance Acetyl Chemicals|Niche Specialty Chemicals & Industrial Intermediates|Nylon & Engineered Polymer Intermediates	RYAM|LXU|ASIX|CC|CE	grind	open	1	19	0.193	0.298	0.193	0.298	True	False	2026-06-11	79	98.700	1.000	0.400	0.000	0.000	0.400								
36	2026-03-24	Semiconductor Front-End Interconnect & Wafer Processing Equipment	Semiconductor Front-End Interconnect & Wafer Processing Equipment	TSEM|ICHR	grind	open	0				0.493	0.478	False	False	2026-05-15	52	99.100	1.000	0.500	0.000	0.000	0.500	absorbed	theme_pass1_5_absorption					Semiconductor Wafer Foundry & Advanced IC Manufacturing	absorbed
37	2026-03-24	Specialty Cellulose & Bio-Based Materials	Specialty Cellulose & Bio-Based Materials	RYAM|SSL	cogap	open	2	17			-0.285	-0.210	False	False	2026-04-17	24	99.300	1.000	0.500	0.000	0.000	0.500	rs 50-70, coherence held (undefined by task)		68.350	0.500	-0.238			killed-healthy
38	2026-03-25	Enterprise Server & AI Infrastructure Hardware	Enterprise Server & AI Infrastructure Hardware	DELL|BW	cogap	open	2	6			-0.150	0.045	True	False	2026-06-09	76	99.150	1.000	0.500	0.000	0.000	0.500								
39	2026-03-26	Firearms & Personal Defense Manufacturing	Firearms & Personal Defense Manufacturing	SWBI|LINC	grind	open	1	14			0.016	-0.044	True	False	2026-06-09	75	98.650	1.000	1.000	0.000	0.000	1.000								
40	2026-03-26	Semiconductor Wafer Foundry & Advanced IC Manufacturing	Independent Semiconductor Foundry & Specialty IC Manufacturing|Semiconductor Wafer Foundry & Advanced IC Manufacturing	TSEM|PLAB	grind	open	0				0.385	0.516	True	False	2026-07-28	124	97.200	1.000	0.500	0.000	0.000	0.500								
41	2026-03-27	Chip Architecture Licensing & CPU/GPU Compute Revival	Chip Architecture Licensing & CPU/GPU Compute Revival	ARM|AMD	grind	open	1	2			0.484	0.656	True	False	2026-05-14	48	72.700	0.500	1.000	1.000	0.000	0.000								
42	2026-03-27	Optical Network Test & Monitoring Equipment	Optical Network Test & Monitoring Equipment	VIAV|ADTN	grind	open	0				0.154	0.468	False	False	2026-03-31	4	99.150	1.000	1.000	0.000	0.000	1.000	reborn	reborn as lineage 62						reborn
43	2026-03-27	Power Semiconductor & Mixed-Signal Display Drivers	Power Semiconductor & Mixed-Signal Display Drivers	AOSL|HIMX	grind	open	1	11			0.416	0.257	True	False	2026-06-26	91	84.250	1.000	0.500	0.000	0.000	0.500								
44	2026-04-01	IT Infrastructure Deployment & Data Center Systems Integration	IT Infrastructure Deployment & Data Center Systems Integration	TSSI|CAR	grind	open	1	15			0.017	-0.001	True	False	2026-05-15	44	97.850	1.000	1.000	1.000	0.000	1.000								
45	2026-04-01	Rare Earth Magnets & Critical Battery Materials	Primary Aluminum Smelting & Rolling|Rare Earth Magnets & Critical Battery Materials	EMAT|CENX	grind	open	1	2			0.043	0.033	True	False	2026-06-30	90	96.650	1.000	1.000	1.000	0.000	0.500								
46	2026-04-02	Lithium & Battery Critical Minerals Mining	Lithium & Battery Critical Minerals Mining	SGML|BMM	grind	open	1	3			0.275	0.081	False	False	2026-06-11	70	95.050	1.000	1.000	1.000	0.000	0.000	dissolved		40.700	0.500	0.483	rs<50		killed-healthy
47	2026-04-02	Workforce Solutions & Technical Staffing Services	Workforce Solutions & Technical Staffing Services	KELYB|TH	cogap	open	2	0			0.181		False	False	2026-06-12	71	97.600	1.000	1.000	1.000	0.000	1.000	post-death window incomplete (censored)		63.450	0.500				post-death window incomplete (censored)
48	2026-04-07	Autonomous Military Drone Swarm & AI Defense Software	Autonomous Military Drone Swarm & AI Defense Software	SWMR|KYTX	grind	open	1	13				0.266	False	False	2026-06-15	69	95.500	1.000	1.000	1.000	0.000	0.000	dissolved		42.250	0.000	0.421	rs<50		dissolved
49	2026-04-07	Cell & Genome Engineering Oncology	Cell & Genome Engineering Oncology	VOR|ARCT	grind	open	0				0.438	0.014	True	False	2026-06-08	62	97.650	1.000	1.000	1.000	0.000	0.500								
50	2026-04-07	Consumer Discretionary Home Furnishings Rebound	Consumer Discretionary Home Furnishings Rebound	LOVE|SEAT	grind	open	1	7			0.516	0.164	False	False	2026-06-11	65	85.650	1.000	1.000	1.000	0.000	0.500	dissolved		79.050	1.000	-0.082	coh-fell		dissolved
51	2026-04-07	Gold & Precious Metals Mining	Gold & Precious Metals Mining	AU|AUGO	grind	open	0				0.824	0.546	False	False	2026-06-12	66	89.800	1.000	1.000	1.000	0.000	0.000	dissolved		5.350	0.000	0.621	rs<50+coh-fell		dissolved
52	2026-04-07	Hemp & Cannabis-Derived Wellness Beverages	Hemp & Cannabis-Derived Wellness Beverages	MLEC|RYM	cogap	open	2	1			-0.083	0.100	True	False	2026-06-08	62	97.000	1.000	1.000	1.000	0.000	0.000								
53	2026-04-07	Precision Frequency & Timing Defense Electronics	Precision Frequency & Timing Defense Electronics	ECOR|FEIM	grind	open	0				0.017	0.028	True	False	2026-06-11	65	83.100	1.000	1.000	1.000	0.000	0.000								
54	2026-04-07	Robo-Advisor & AI-Driven Wealth Management Platforms	Robo-Advisor & AI-Driven Wealth Management Platforms	BETR|WLTH	grind	open	0				0.134	0.101	True	False	2026-06-08	62	93.900	1.000	1.000	1.000	0.000	0.500								
55	2026-04-07	Single-Cell Genomics & Spatial Biology Instrumentation	Single-Cell Genomics & Spatial Biology Instrumentation	TXG|INKT	grind	open	1	3			0.072	0.265	True	False	2026-06-04	58	90.650	1.000	1.000	1.000	0.000	0.000								
56	2026-04-07	Uranium Mining & Nuclear Fuel Supply	Uranium Mining & Nuclear Fuel Supply	NUCL|ORLA	grind	open	0				0.273	-0.069	False	False	2026-04-07	0	95.650	1.000	1.000	1.000	0.000	0.500	dissolved		95.650	1.000	-0.069	coh-fell		dissolved
57	2026-04-08	Inflammatory Disease & Immunology Biologics	Inflammatory Disease & Immunology Biologics	ORKA|SYRE	grind	open	0				0.172	0.122	True	True	2026-09-04	149	99.300	1.000	1.000	1.000	0.000	0.500								
58	2026-04-09	Bitcoin Mining & Digital Asset Infrastructure	Bitcoin Mining & Digital Asset Infrastructure	HUT|RIOT	grind	open	1	1			0.816	0.592	False	False	2026-08-27	140	94.600	1.000	1.000	1.000	0.000	0.000	dissolved		42.950	0.500		rs<50		dissolved
59	2026-04-09	Gold & Silver Junior Miners Momentum	Gold & Silver Junior Miners Momentum	SA|VMET|HYMC|HSLV|EQX	grind	open	1	1	0.493	0.500	0.493	0.500	True	False	2026-06-08	60	97.300	1.000	1.000	1.000	0.000	0.000								
60	2026-04-09	Precious & Streaming Metals Royalty & Junior Miners	Precious & Streaming Metals Royalty & Junior Miners	FSM|KGC|OR|PPTA	grind	open	0		0.841	0.583	0.841	0.583	True	False	2026-06-15	67	87.800	1.000	1.000	1.000	0.000	0.000								
61	2026-04-09	Silicon Carbide Power Semiconductors & EV Infrastructure	Silicon Carbide Power Semiconductors & EV Infrastructure	WOLF|INTC	grind	open	0				0.364	0.228	True	False	2026-06-29	81	95.550	1.000	1.000	1.000	0.000	0.000								
62	2026-04-14	AI Datacenter Optical Interconnects & Components	AI Datacenter Optical Interconnects & Components	GLW|COHR|FN|LITE	grind	open	1	18	0.803	0.508	0.803	0.508	False	False	2026-04-14	0	95.600	1.000	1.000	0.500	0.000	1.000	reborn	reborn as lineage 64						reborn
63	2026-04-14	Earth Observation Data & Geospatial Intelligence	Earth Observation Data & Geospatial Intelligence	BKSY|PL|SPIR	grind	open	1	16			0.385	0.842	False	False	2026-04-15	1	98.400	1.000	0.333	0.333	0.000	0.333	reborn	reborn as lineage 65						reborn
64	2026-04-16	Optical Components & Transceiver Manufacturers	Optical Components & Transceiver Manufacturers	COHR|LITE|AAOI|FN|LASR|GLW	cogap	open	3	6	0.780	0.515	0.780	0.515	True	False	2026-06-11	56	96.400	0.833	1.000	0.667	0.000	1.000								
65	2026-04-17	Satellite Imagery & Geospatial Intelligence	Satellite Earth Observation & Geospatial Intelligence|Satellite Imagery & Geospatial Intelligence	BKSY|PL|SPIR|MDA	grind	open	1	19	0.265	0.432	0.265	0.432	True	False	2026-06-11	55	99.100	1.000	1.000	0.750	0.250	0.500								
66	2026-04-22	Space Launch & Orbital Services	Space Launch & Orbital Services|Space Launch Services & Orbital Infrastructure	FLY|RKLB|LUNR	grind	open	0				0.736	0.767	False	False	2026-04-27	5	99.000	1.000	0.667	0.667	0.000	0.000	absorbed	theme_pass1_protect_strip					Satellite Imagery & Geospatial Intelligence	absorbed
67	2026-04-23	Hydraulic Fracturing & Well Completion Services	Hydraulic Fracturing & Completion Services|Hydraulic Fracturing & Well Completion Services|Pressure Pumping & Completion Services|Pure-Play Frac & Completion Pressure Pumping Services|U.S. Shale & Onshore E&P	ACDC|PUMP|LBRT|AESI|PTEN	grind	open	0		0.702	0.529	0.702	0.529	False	False	2026-06-09	47	96.100	1.000	1.000	1.000	0.000	1.000	absorbed	tombstone:absorbed					Pure-Play Hydraulic Fracturing & Completion Services	absorbed
68	2026-04-24	AI Datacenter Optical Transceivers & Components	AI Datacenter Optical Transceivers & Components	COHR|LITE|FN|AAOI|MRVL	grind	open	1	17	0.522	0.600	0.522	0.600	True	False	2026-06-26	63	96.350	0.800	0.400	0.400	0.000	0.400								
69	2026-05-05	Petroleum Refining & Downstream Fuels	Petroleum Refining & Downstream Fuels	LBRT|VLO|MPC|PARR|PUMP|PBF|PTEN|AESI|ACDC	grind	open	0		0.539	0.507	0.539	0.507	False	False	2026-05-13	8	94.100	1.000	1.000	0.667	0.000	1.000	absorbed	theme_pass1_protect_strip					Large-Cap Upstream Oil & Gas E&P	absorbed
70	2026-05-08	Independent E&P Operators	Independent E&P Operators	GTE|SM|CHRD|TALO|OVV|CRGY|FANG|APA	grind	open	0		0.792	0.790	0.792	0.790	False	False	2026-05-18	10	85.050	1.000	1.000	0.000	0.000	1.000	absorbed	theme_pass1_protect_strip					Large-Cap Upstream Oil & Gas E&P	absorbed
71	2026-05-14	Pure-Play Hydraulic Fracturing & Completion Services	Oil Refiners & Downstream Fuel Processing|Pure-Play Hydraulic Fracturing & Completion Services	ACDC|LBRT|PUMP|HAL|PTEN	grind	scan	0		0.660	0.799	0.660	0.799	False	False	2026-06-17	34	81.100	0.800	1.000	0.200	0.000	1.000	absorbed	tombstone:absorbed					Hydraulic Fracturing & Completion Services	absorbed
72	2026-06-22	Crude & Product Tanker Shipping	Crude & Product Tanker Shipping	DHT|ECO|STNG|TNK|TRMD|NAT	grind	scan	1	13	0.796	0.847	0.796	0.847	False	False	2026-06-30	8	83.550	1.000	1.000	1.000	0.000	0.833	dissolved		35.150	1.000	0.880	rs<50		killed-healthy
73	2026-06-22	European Bank Stocks	European Bank Stocks	BBVA|BCS|ING|LYG|NWG|SAN	grind	scan	0		0.832	0.608	0.832	0.608	True	True	2026-09-04	74	78.800	0.833	1.000	1.000	0.000	0.833								
74	2026-06-25	Casual Dining Restaurant Turnaround	Casual Dining Restaurant Turnaround	EAT|CBRL	grind	scan	1	10			0.105	0.138	True	False	2026-07-28	33	94.850	1.000	1.000	1.000	0.500	1.000								
75	2026-06-25	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	MBX|VKTX|ASND|XERS	grind	scan	0		0.429	0.425	0.429	0.425	True	True	2026-09-04	71	89.500	1.000	1.000	1.000	0.500	1.000								
76	2026-06-25	Quantum Computing & Quantum-Safe Networking	Quantum Computing & Quantum-Safe Networking	QNT|ARQQ	grind	scan	1	2				0.218	True	False	2026-07-14	19	97.850	1.000	1.000	1.000	0.000	0.000								
77	2026-06-25	Senior Living & Housing Operators	Senior Living & Housing Operators	BKD|JAN	grind	scan	0				0.393	0.408	True	False	2026-07-14	19	89.000	1.000	1.000	1.000	0.000	1.000								
78	2026-06-25	U.S. Passenger Airlines	U.S. Passenger Airlines	DAL|UAL|ALK|LUV|ALGT|SKYW	grind	scan	0		0.842	0.638	0.842	0.638	True	False	2026-08-21	57	89.100	1.000	1.000	1.000	0.000	1.000								
79	2026-06-26	AI Cloud GPU & Datacenter Colocation Platforms	AI Cloud GPU & Datacenter Colocation Platforms	WYFI|SHAZ	cogap	scan	2	6			0.331	0.617	True	False	2026-07-20	24	98.950	1.000	0.500	0.500	0.000	0.000								
80	2026-06-26	Commercial Real Estate Brokerage & Advisory Services	Commercial Real Estate Brokerage & Advisory Services	CBRE|CWK|JLL|NMRK	grind	scan	0		0.881	0.896	0.881	0.896	True	False	2026-08-12	47	37.500	0.000	1.000	0.000	0.000	1.000								
81	2026-06-26	Construction Aggregates & Building Materials	Construction Aggregates & Building Materials	CRH|MLM|VMC	grind	scan	0				0.895	0.876	False	False	2026-07-06	10	41.400	0.000	1.000	0.000	0.000	1.000	dissolved		36.100	1.000	0.917	rs<50		killed-healthy
82	2026-06-26	Golf Equipment & Apparel	Golf Equipment & Apparel	GOLF|CALY	grind	scan	0				0.612	0.520	True	False	2026-07-23	27	91.200	1.000	1.000	1.000	1.000	1.000								
83	2026-06-26	Insurance Brokerage & Distribution Services	Insurance Brokerage & Distribution Services	AJG|AON|BRO|WTW	grind	scan	0		0.854	0.894	0.854	0.894	True	True	2026-09-04	70	40.650	0.000	1.000	0.000	0.000	1.000								
84	2026-06-26	Life Insurance & Annuity Providers	Life Insurance & Annuity Providers	LNC|MET|PFG|PRU|UNM	grind	scan	0		0.852	0.604	0.852	0.604	True	True	2026-09-04	70	57.500	0.200	1.000	0.000	0.000	1.000								
85	2026-06-26	Midstream Energy Infrastructure & Pipeline Operators	Midstream Energy Infrastructure & Pipeline Operators	AM|DTM|KMI|WMB|ENB|HESM|OKE|PBA|SOBO|TRGP|TRP	grind	scan	0		0.722	0.668	0.722	0.668	False	False	2026-07-08	12	58.600	0.000	1.000	0.364	0.000	1.000	dissolved		63.500	1.000	0.594	coh-fell		dissolved
86	2026-06-26	Multifamily Apartment REITs	Multifamily Apartment REITs|U.S. Multifamily & Residential Apartment REITs	CPT|IRT|MAA|UDR	grind	scan	0		0.902	0.897	0.902	0.897	False	False	2026-08-07	42	57.550	0.000	1.000	0.000	0.000	1.000	dissolved		29.033	1.000	0.898	rs<50+coh-fell		dissolved
87	2026-06-26	Private Mortgage Insurance	Private Mortgage Insurance	ESNT|MTG|NMIH|RDN	grind	scan	0		0.873	0.725	0.873	0.725	True	True	2026-09-04	70	61.700	0.250	1.000	1.000	0.000	1.000								
88	2026-06-26	Property & Casualty Insurance Underwriters	Property & Casualty Insurance Underwriters	ACGL|AFG|ALL|AXS|CB|CINF|HCI|HIG|ORI|PGR|THG|TRV|WRB|SKWD	grind	scan	0		0.707	0.679	0.707	0.679	True	True	2026-09-04	70	67.650	0.429	1.000	0.786	0.071	1.000								
89	2026-06-28	Clinical-Stage Autoimmune & Inflammatory Disease Biologics	Clinical-Stage Autoimmune & Inflammatory Disease Biologics	VERA|VOR|ZBIO|ANAB|KNSA|AVTX	grind	scan	0		0.468	0.282	0.468	0.282	False	False	2026-06-28	0	87.250	1.000	1.000	1.000	0.167	1.000	dissolved		87.450	1.000	0.282	coh-fell		dissolved
90	2026-06-28	Coal Mining & Export (Metallurgical & Thermal)	Coal Mining & Export (Metallurgical & Thermal)	AMR|BTU|HCC	grind	scan	0				0.866	0.678	False	False	2026-07-06	8	9.300	0.000	0.000	0.000	0.000	0.000	dissolved		12.700	0.000	0.475	rs<50+coh-fell		dissolved
91	2026-06-28	Defense Drones & Unmanned Aerial Systems	Defense Drones & Unmanned Aerial Systems	AVAV|KTOS|ONDS|RCAT|UMAC	cogap	scan	5	20	0.875	0.523	0.875	0.523	False	False	2026-07-06	8	2.000	0.000	0.000	0.000	0.000	0.000	dissolved		35.250	0.000	0.688	rs<50+coh-fell		dissolved
92	2026-06-28	Large Defense Contractors & Aerospace Primes	Large Defense Contractors & Aerospace Primes	GD|LHX|LMT|NOC|RTX	grind	scan	0		0.855	0.699	0.855	0.699	False	False	2026-06-30	2	16.700	0.000	1.000	0.000	0.000	1.000	dissolved		51.800	1.000	0.744	coh-fell		dissolved
93	2026-06-28	Medical Devices & Surgical Equipment	Medical Devices & Surgical Equipment	ATEC|BDX|STE|SYK	grind	scan	0		0.792	0.727	0.792	0.727	False	False	2026-07-06	8	33.150	0.000	1.000	0.000	0.000	1.000	reborn	reborn as lineage 154						reborn
94	2026-06-28	Nucleic Acid Therapeutics & Gene Synthesis Platforms	Genomic Medicine & Synthetic DNA Tools|Nucleic Acid Therapeutics & Gene Synthesis Platforms	MRNA|RGNX|TWST	grind	scan	1	4			0.122	0.108	True	False	2026-07-22	24	95.500	1.000	1.000	1.000	0.333	1.000								
95	2026-06-28	Protein Degradation & Targeted Molecular Therapeutics Re-rating	Protein Degradation & Targeted Molecular Therapeutics Re-rating|Targeted Protein Degradation Oncology	KYMR|GLUE|GENB|IDYA	grind	scan	1	1	0.295	0.269	0.295	0.269	True	False	2026-07-29	31	90.900	1.000	1.000	1.000	0.000	1.000								
