ticker|alert_date|score_tier|detected_et|created_et
IDR|2026-06-15|none|2026-06-15 09:50:00|2026-06-15 09:50:43
MMYT|2026-06-15|MODERATE|2026-06-15 09:50:00|2026-06-15 09:52:32
XE|2026-06-15|none|2026-06-15 09:55:00|2026-06-15 09:56:03
RXT|2026-06-16|HIGH|2026-06-16 07:20:00|2026-06-16 07:20:18
AEHR|2026-06-17|MODERATE|2026-06-17 09:50:00|2026-06-17 09:50:45
JBL|2026-06-17|HIGH|2026-06-17 09:35:00|2026-06-17 09:35:53
LZB|2026-06-17|HIGH|2026-06-17 09:50:00|2026-06-17 09:50:44
QURE|2026-06-17|HIGH|2026-06-17 08:10:00|2026-06-17 08:10:20
SWBI|2026-06-18|HIGH|2026-06-18 07:20:00|2026-06-18 07:20:04
UUUU|2026-06-18|HIGH|2026-06-18 08:00:00|2026-06-18 08:00:15
DFTX|2026-06-22|HIGH|2026-06-22 07:20:00|2026-06-22 07:20:45
JBIO|2026-06-22|none|2026-06-22 09:50:00|2026-06-22 09:51:13
MLTX|2026-06-22|HIGH|2026-06-22 07:00:00|2026-06-22 07:00:39
SYRE|2026-06-22|HIGH|2026-06-22 07:00:00|2026-06-22 07:02:23
ABSI|2026-06-24|HIGH|2026-06-24 07:00:00|2026-06-24 07:00:54
FCEL|2026-06-24|HIGH|2026-06-24 07:20:00|2026-06-24 07:20:24
WEN|2026-06-24|MODERATE|2026-06-24 09:00:00|2026-06-24 09:00:06
KYMR|2026-06-25|MODERATE|2026-06-25 09:50:00|2026-06-25 09:50:14
MU|2026-06-25|HIGH|2026-06-25 07:00:00|2026-06-25 07:00:54
SNX|2026-06-25|HIGH|2026-06-25 07:40:00|2026-06-25 07:40:47
ACAD|2026-06-26|HIGH|2026-06-26 08:00:00|2026-06-26 08:00:01
CHTR|2026-06-29|none|2026-06-29 09:45:00|2026-06-29 09:45:11
OUST|2026-06-29|MODERATE|2026-06-29 09:50:00|2026-06-29 09:51:02
QDEL|2026-06-29|MODERATE|2026-06-29 09:50:00|2026-06-29 09:50:18
AVAV|2026-06-30|HIGH|2026-06-30 07:00:00|2026-06-30 07:00:29
SEDG|2026-06-30|MODERATE|2026-06-30 07:35:00|2026-06-30 07:35:43
GRND|2026-07-01|MODERATE|2026-07-01 09:50:00|2026-07-01 09:50:22
WULF|2026-07-06|HIGH|2026-07-06 08:20:00|2026-07-06 08:20:15
DOCN|2026-07-07|HIGH|2026-07-07 09:20:00|2026-07-07 09:20:17
KC|2026-07-08|MODERATE|2026-07-08 09:50:00|2026-07-08 09:50:14
PENG|2026-07-08|HIGH|2026-07-08 09:55:00|2026-07-08 09:55:30
CRCL|2026-07-10|HIGH|2026-07-10 07:05:00|2026-07-10 07:05:12
WDFC|2026-07-10|HIGH|2026-07-10 07:40:00|2026-07-10 07:40:13
CLSK|2026-07-14|HIGH|2026-07-14 07:00:00|2026-07-14 07:00:36
TSEM|2026-07-14|HIGH|2026-07-14 07:00:00|2026-07-14 07:00:18
AEHR|2026-07-15|HIGH|2026-07-15 07:00:00|2026-07-15 07:00:20
MANE|2026-07-15|HIGH|2026-07-15 09:00:00|2026-07-15 09:00:32
MANE|2026-07-15|HIGH|2026-07-15 09:00:00|2026-07-15 09:00:29
PRG|2026-07-15|MODERATE|2026-07-15 07:20:00|2026-07-15 07:20:17
SG|2026-07-17|none|2026-07-17 09:50:00|2026-07-17 09:50:21
HUT|2026-07-20|HIGH|2026-07-20 07:05:00|2026-07-20 07:05:20
IREN|2026-07-20|HIGH|2026-07-20 09:50:00|2026-07-20 09:50:28
HAS|2026-07-21|HIGH|2026-07-21 09:50:00|2026-07-21 09:50:35
ARWR|2026-07-22|HIGH|2026-07-22 07:55:00|2026-07-22 07:55:25
EFOR|2026-07-22|MODERATE|2026-07-22 09:50:00|2026-07-22 09:50:27
SMCI|2026-07-22|HIGH|2026-07-22 07:00:00|2026-07-22 07:00:14
CLF|2026-07-23|MODERATE|2026-07-23 09:05:00|2026-07-23 09:05:03
NVCR|2026-07-23|HIGH|2026-07-23 09:05:00|2026-07-23 09:05:03
THC|2026-07-24|HIGH|2026-07-24 07:05:00|2026-07-24 07:05:10
WKC|2026-07-24|HIGH|2026-07-24 08:15:00|2026-07-24 08:15:23
NNE|2026-07-27|HIGH|2026-07-27 09:55:00|2026-07-27 09:56:26
QBTS|2026-07-27|HIGH|2026-07-27 07:20:00|2026-07-27 07:20:53
CORZ|2026-07-28|HIGH|2026-07-28 07:35:00|2026-07-28 07:35:24
TER|2026-07-29|HIGH|2026-07-29 08:25:00|2026-07-29 08:25:28
TEVA|2026-07-29|HIGH|2026-07-29 09:50:00|2026-07-29 09:51:12
ARM|2026-07-30|HIGH|2026-07-30 08:55:00|2026-07-30 08:55:35
CORT|2026-07-30|HIGH|2026-07-30 07:00:00|2026-07-30 07:00:30
EME|2026-07-30|HIGH|2026-07-30 07:55:00|2026-07-30 07:55:36
FTNT|2026-07-30|HIGH|2026-07-30 07:00:00|2026-07-30 07:02:11
LRCX|2026-07-30|HIGH|2026-07-30 09:50:00|2026-07-30 09:50:38
PWR|2026-07-30|HIGH|2026-07-30 07:20:00|2026-07-30 07:20:16
SIMO|2026-07-30|HIGH|2026-07-30 09:10:00|2026-07-30 09:10:14
BLZE|2026-07-31|HIGH|2026-07-31 09:55:00|2026-07-31 09:55:31
COHU|2026-07-31|HIGH|2026-07-31 07:00:00|2026-07-31 07:00:30
FET|2026-07-31|HIGH|2026-07-31 09:10:00|2026-07-31 09:10:28
FLNC|2026-07-31|HIGH|2026-07-31 07:00:00|2026-07-31 07:02:30
MPWR|2026-07-31|HIGH|2026-07-31 09:35:00|2026-07-31 09:35:22
NWL|2026-07-31|HIGH|2026-07-31 07:00:00|2026-07-31 07:00:57
FTK|2026-08-03|HIGH|2026-08-03 08:45:00|2026-08-03 08:45:20
LIND|2026-08-03|HIGH|2026-08-03 09:55:00|2026-08-03 09:55:32
AEIS|2026-08-04|HIGH|2026-08-04 07:55:00|2026-08-04 07:55:06
AMRC|2026-08-04|HIGH|2026-08-04 09:45:00|2026-08-04 09:45:31
BLZE|2026-08-04|HIGH|2026-08-04 07:00:00|2026-08-04 07:01:10
BTDR|2026-08-04|HIGH|2026-08-04 08:20:00|2026-08-04 08:20:21
CAT|2026-08-04|HIGH|2026-08-04 08:00:00|2026-08-04 08:01:06
INSP|2026-08-04|MODERATE|2026-08-04 09:45:00|2026-08-04 09:45:45
LIFE|2026-08-04|HIGH|2026-08-04 07:20:00|2026-08-04 07:20:18
PLTR|2026-08-04|HIGH|2026-08-04 07:00:00|2026-08-04 07:02:05
TSAT|2026-08-04|HIGH|2026-08-04 09:55:00|2026-08-04 09:56:02
VOYG|2026-08-04|HIGH|2026-08-04 08:10:00|2026-08-04 08:10:17
ZBRA|2026-08-04|HIGH|2026-08-04 08:35:00|2026-08-04 08:35:51
APPS|2026-08-05|HIGH|2026-08-05 07:00:00|2026-08-05 07:00:35
ECG|2026-08-05|HIGH|2026-08-05 09:50:00|2026-08-05 09:51:13
HGTY|2026-08-05|HIGH|2026-08-05 09:55:00|2026-08-05 09:55:45
KMT|2026-08-05|HIGH|2026-08-05 09:00:00|2026-08-05 09:00:31
KMT|2026-08-05|HIGH|2026-08-05 09:00:00|2026-08-05 09:00:33
KODK|2026-08-05|HIGH|2026-08-05 07:00:00|2026-08-05 07:02:39
KTOS|2026-08-05|HIGH|2026-08-05 07:30:00|2026-08-05 07:30:35
PRGO|2026-08-05|MODERATE|2026-08-05 08:10:00|2026-08-05 08:10:16
ROCK|2026-08-05|MODERATE|2026-08-05 09:50:00|2026-08-05 09:50:42
TATT|2026-08-05|HIGH|2026-08-05 07:20:00|2026-08-05 07:21:21
AEVA|2026-08-06|HIGH|2026-08-06 07:00:00|2026-08-06 07:02:38
CAI|2026-08-06|HIGH|2026-08-06 09:50:00|2026-08-06 09:52:35
DCTH|2026-08-06|HIGH|2026-08-06 09:55:00|2026-08-06 09:55:20
INSM|2026-08-06|HIGH|2026-08-06 07:25:00|2026-08-06 07:25:30
LFST|2026-08-06|HIGH|2026-08-06 07:50:00|2026-08-06 07:50:13
RDW|2026-08-06|HIGH|2026-08-06 07:50:00|2026-08-06 07:50:44
SITM|2026-08-06|HIGH|2026-08-06 07:00:00|2026-08-06 07:00:28
SOUN|2026-08-06|MODERATE|2026-08-06 09:45:00|2026-08-06 09:45:17
TASK|2026-08-06|MODERATE|2026-08-06 09:45:00|2026-08-06 09:47:34
TRUP|2026-08-06|MODERATE|2026-08-06 09:50:00|2026-08-06 09:52:35
U|2026-08-06|HIGH|2026-08-06 07:20:00|2026-08-06 07:20:37
ACMR|2026-08-07|HIGH|2026-08-07 09:00:00|2026-08-07 09:00:51
ACMR|2026-08-07|HIGH|2026-08-07 09:00:00|2026-08-07 09:00:51
CRSR|2026-08-07|MODERATE|2026-08-07 08:50:00|2026-08-07 08:52:16
DOCS|2026-08-07|MODERATE|2026-08-07 07:30:00|2026-08-07 07:30:07
FIGS|2026-08-07|HIGH|2026-08-07 08:50:00|2026-08-07 08:51:12
FROG|2026-08-07|HIGH|2026-08-07 08:50:00|2026-08-07 08:51:58
INOD|2026-08-07|MODERATE|2026-08-07 08:50:00|2026-08-07 08:53:13
MTW|2026-08-07|HIGH|2026-08-07 09:50:00|2026-08-07 09:50:29
NET|2026-08-07|HIGH|2026-08-07 08:50:00|2026-08-07 08:52:46
ONTO|2026-08-07|HIGH|2026-08-07 09:50:00|2026-08-07 09:51:25
PRAA|2026-08-07|MODERATE|2026-08-07 09:50:00|2026-08-07 09:51:00
PSIX|2026-08-07|MODERATE|2026-08-07 09:50:00|2026-08-07 09:50:29
PUBM|2026-08-07|MODERATE|2026-08-07 08:50:00|2026-08-07 08:50:27
QNST|2026-08-07|HIGH|2026-08-07 08:50:00|2026-08-07 08:51:00
TEAM|2026-08-07|HIGH|2026-08-07 08:50:00|2026-08-07 08:50:43
TWLO|2026-08-07|HIGH|2026-08-07 08:50:00|2026-08-07 08:51:40
WLDN|2026-08-07|MODERATE|2026-08-07 08:50:00|2026-08-07 08:53:27
ABCL|2026-08-10|HIGH|2026-08-10 07:20:00|2026-08-10 07:20:17
ACHR|2026-08-10|HIGH|2026-08-10 09:45:00|2026-08-10 09:45:10
NESR|2026-08-10|HIGH|2026-08-10 09:45:00|2026-08-10 09:45:36
SLN|2026-08-10|MODERATE|2026-08-10 07:00:00|2026-08-10 07:00:13
TH|2026-08-10|HIGH|2026-08-10 07:20:00|2026-08-10 07:20:39
BW|2026-08-11|HIGH|2026-08-11 07:00:00|2026-08-11 07:00:37
FRMI|2026-08-11|HIGH|2026-08-11 07:00:00|2026-08-11 07:01:07
RIOT|2026-08-11|HIGH|2026-08-11 07:00:00|2026-08-11 07:00:57
RPD|2026-08-11|none|2026-08-11 09:50:00|2026-08-11 09:50:38
SE|2026-08-11|HIGH|2026-08-11 07:25:00|2026-08-11 07:25:20
ATRO|2026-08-12|HIGH|2026-08-12 09:20:00|2026-08-12 09:20:25
BE|2026-08-12|HIGH|2026-08-12 09:50:00|2026-08-12 09:50:14
BRUN|2026-08-12|none|2026-08-12 08:55:00|2026-08-12 08:55:28
CRWV|2026-08-12|HIGH|2026-08-12 09:50:00|2026-08-12 09:50:13
EROC|2026-08-12|HIGH|2026-08-12 07:05:00|2026-08-12 07:05:19
GLBE|2026-08-12|HIGH|2026-08-12 07:05:00|2026-08-12 07:06:14
HRB|2026-08-12|MODERATE|2026-08-12 09:45:00|2026-08-12 09:45:13
MRX|2026-08-12|HIGH|2026-08-12 09:55:00|2026-08-12 09:55:36
NBIS|2026-08-12|MODERATE|2026-08-12 08:00:00|2026-08-12 08:00:31
WYFI|2026-08-12|MODERATE|2026-08-12 07:20:00|2026-08-12 07:20:31
BLSH|2026-08-13|MODERATE|2026-08-13 09:55:00|2026-08-13 09:56:02
CGEM|2026-08-13|HIGH|2026-08-13 08:30:00|2026-08-13 08:30:07
CRMD|2026-08-13|HIGH|2026-08-13 08:15:00|2026-08-13 08:15:30
HLIT|2026-08-13|HIGH|2026-08-13 07:00:00|2026-08-13 07:00:23
KURA|2026-08-13|HIGH|2026-08-13 09:50:00|2026-08-13 09:50:53
OMER|2026-08-13|HIGH|2026-08-13 09:45:00|2026-08-13 09:45:12
ETON|2026-08-14|HIGH|2026-08-14 07:20:00|2026-08-14 07:20:20
HTFL|2026-08-14|HIGH|2026-08-14 07:00:00|2026-08-14 07:00:38
LPTH|2026-08-14|MODERATE|2026-08-14 09:10:00|2026-08-14 09:10:18
NMAX|2026-08-14|HIGH|2026-08-14 09:50:00|2026-08-14 09:50:33
RDDT|2026-08-14|MODERATE|2026-08-14 07:00:00|2026-08-14 07:01:32
STDN|2026-08-14|MODERATE|2026-08-14 09:55:00|2026-08-14 09:55:19
VERA|2026-08-14|HIGH|2026-08-14 07:25:00|2026-08-14 07:25:13
ARGX|2026-08-17|HIGH|2026-08-17 07:20:00|2026-08-17 07:20:13
CBRS|2026-08-17|none|2026-08-17 09:55:00|2026-08-17 09:55:24
AMLX|2026-08-18|HIGH|2026-08-18 07:20:00|2026-08-18 07:20:01
MRNA|2026-08-19|HIGH|2026-08-19 07:10:00|2026-08-19 07:10:01
MRVL|2026-08-19|HIGH|2026-08-19 08:50:00|2026-08-19 08:50:18
TEM|2026-08-19|none|2026-08-19 09:50:00|2026-08-19 09:50:41
TWST|2026-08-19|HIGH|2026-08-19 09:55:00|2026-08-19 09:55:09
BULL|2026-08-20|HIGH|2026-08-20 07:10:00|2026-08-20 07:10:03
RARE|2026-08-20|HIGH|2026-08-20 07:00:00|2026-08-20 07:01:17
SCSC|2026-08-20|none|2026-08-20 09:25:00|2026-08-20 09:25:26
UUUU|2026-08-21|HIGH|2026-08-21 09:55:00|2026-08-21 09:55:30
CHRN|2026-08-27|HIGH|2026-08-27 09:50:00|2026-08-27 09:50:43
CRWD|2026-08-27|HIGH|2026-08-27 07:00:00|2026-08-27 07:01:23
DG|2026-08-27|HIGH|2026-08-27 07:10:00|2026-08-27 07:10:25
OKTA|2026-08-27|HIGH|2026-08-27 07:00:00|2026-08-27 07:01:49
VEEV|2026-08-27|HIGH|2026-08-27 09:50:00|2026-08-27 09:50:32
SOLS|2026-08-28|HIGH|2026-08-28 07:00:00|2026-08-28 07:01:57
(270 rows)
