theme_date	name	source	stage	score	rs_avg	days_active	parent_theme	tickers
2026-07-27	Online Insurance Comparison & Digital Marketplace Platforms	live	Nascent	72.10	84.20	11		MAX,EVER
2026-07-27	Open-Air & Strip Mall Retail REITs	live	Mainstream	68.30	76.70	11		KRG,UE,FRT,BRX,SKT,PECO,KIM,REG
2026-07-27	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	live	Mainstream	76.70	93.40	22		MBX,PTGX,CORT,XERS,VKTX
2026-07-27	Powersports & Recreational Vehicle Manufacturers	live	Fading	59.12		3		PII,HOG
2026-07-27	Precious Metals Miners & Royalty Streamers	live	Fading	24.00		3		EGO,FSM
2026-07-27	Precious Metals Royalty & Streaming Companies	live	Fading	24.00		1	Precious Metals Miners & Royalty Streamers	FNV,RGLD
2026-07-27	Private Mortgage Insurance	live	Mainstream	69.10	78.10	21		MTG,RDN,NMIH,ESNT
2026-07-27	Professional Advisory & Business Services	live	Mainstream	76.80	93.50	11		CBZ,CRAI
2026-07-27	Property & Casualty Insurance Underwriters	live	Mainstream	69.00	78.00	21		CINF,THG,CB,HIG,ALL,HCI,WRB,TRV,ORI,SKWD,AFG,AXS,ACGL
2026-07-27	Regulated Gas & Electric Distribution Utilities	shadow_promoted	Nascent	49.12	49.12	1		AVA,BKH,NJR,NWE,POR,SR
2026-07-27	Semiconductor Wafer Foundry & Advanced IC Manufacturing	live	Mainstream	58.10	56.30	56		MKSI,ACMR,KLAC,UCTT,AMAT,TSEM,UMC,ICHR
2026-07-27	Senior & Long-Term Care Healthcare REITs	live	Mainstream	70.50	81.10	10		VTR,NHI,OHI,LTC
2026-07-27	Smart Home Security & Comfort Systems	live	Accelerating	73.50	87.00	3		REZI,ALRM
2026-07-27	SMB & Workforce Business Services Platforms	live	Mainstream	77.30	94.70	15		LZ,NSP
2026-07-27	Specialty Catastrophe Property Insurance Underwriters	live	Retired	0.00		14		
2026-07-27	Specialty Insurance Underwriting & Brokerage	live	Mainstream	70.50	80.90	14		PLMR,RYAN
2026-07-27	Targeted Protein Degradation Oncology	live	Fading	36.35		16	Clinical-Stage Oncology Biotech	KYMR,GLUE
2026-07-27	Traditional Staffing & Talent Placement Services	live	Nascent	79.80	99.50	11		MAN,RHI
2026-07-27	Truckload & LTL Freight Carriers	live	Mainstream	74.70	89.50	15		TFII,WERN,KNX,LSTR,ARCB,SNDR,RXO,HUBG
2026-07-27	Uniform Rental & Managed Workwear Services	live	Mainstream	78.20	96.30	8		CTAS,VSTS
2026-07-27	U.S. Apparel & Fashion Recovery	live	Mainstream	77.70	95.50	10		RVLV,UA,CROX
2026-07-27	U.S. Apparel & Lifestyle Brand Recovery	live	Fading	72.80	85.70	2		OXM,VSXY
2026-07-27	U.S. Domestic Steel Producers	live	Accelerating	75.50	91.00	4		STLD,NUE
2026-07-27	Used Vehicle & Mobility Asset Rental Recovery	live	Retired	0.00		2		
2026-07-27	U.S. Passenger Airlines	live	Fading	65.70	71.40	14		LUV,UAL,SKYW,DAL,ALK,ALGT
2026-07-27	U.S. Petroleum Refining & Downstream Processing	live	Mainstream	79.10	98.30	18		DK,PARR,PBF,VLO,PSX,MPC,DINO
2026-07-27	U.S. Regional & Mid-Cap Commercial Banks	live	Mainstream	64.90	69.90	18		HBAN,USB,ZION,UMBF,WAL,RF,WSFS,FITB,EWBC,KEY,CFG,HWC,MTB,TFC,WTFC,GBCI,SSB,FHN,PNC,BOKF
2026-07-27	Wealth Management & Retail Brokerage Platforms	live	Mainstream	73.00	86.10	14		HOOD,SF,SCHW,SEIC,RJF,LPLA,AMP
2026-07-28	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS	live	Mainstream	74.90	89.80	4		INTA,AVPT,AMPL
2026-07-28	Analog & Microcontroller Semiconductors — Automotive & Industrial Cycle Recovery	live	Fading	15.36		1		NXPI,TXN
2026-07-28	Asset Management & Fund Administration Platform Ecosystem	live	Nascent	74.50	89.00	1		BX,SSNC
2026-07-28	Automotive Components & Tire Suppliers	live	Fading	28.84		1		GT,ADNT
2026-07-28	B2B Digital Financial Infrastructure & Payment Rails Modernization	live	Mainstream	78.50	97.10	18		PAY,QTWO,ACIW
2026-07-28	B2B Marketing Automation & Customer Engagement SaaS	live	Accelerating	71.20	82.40	8		HUBS,KVYO
2026-07-28	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	49.15		5		CIFR,HUT
2026-07-28	Canadian Big Banks	live	Mainstream	64.70	69.50	7		BMO,TD,CM,BNS,RY
2026-07-28	Casual Dining Restaurant Turnaround	live	Mainstream	78.60	97.20	23		CBRL,EAT
2026-07-28	Clinical-Stage Oncology Biotech	live	Nascent	72.00	84.00	4		TGTX,ELVN
2026-07-28	Cloud Communications & Contact Center Platforms	live	Retired	0.00		3		
2026-07-28	Cloud Data Storage & Analytics Infrastructure	live	Fading	56.88		10		BLZE,SNOW
2026-07-28	Cloud Observability & AIOps Monitoring Platforms	live	Fading	20.53		9		DDOG,PD
2026-07-28	Cloud Supply Chain & Warehouse Management Software	live	Accelerating	75.20	90.40	6		MANH,SPSC
2026-07-28	Coastal & Suburban Residential Rental REITs	live	Fading	15.07		11		EQR,AMH,ESS,AVB,INVH
2026-07-28	Commercial Real Estate Brokerage & Advisory Services	live	Accelerating	63.90	67.80	9		NMRK,CBRE,JLL
2026-07-28	Consumer Fintech & Digital Credit Platforms	live	Mainstream	71.50	83.10	19		SEZL,DAVE
2026-07-28	Consumer Staples Packaged Food & Snack Brand Recovery	shadow_promoted	Nascent	90.33	90.33	1		LW,UTZ,CAG
2026-07-28	Containerboard & Corrugated Packaging Producers	live	Accelerating	77.60	95.20	5		PKG,IP,SW
2026-07-28	Copper Mining & Production	live	Fading	49.36		5		SCCO,HBM,FCX,TGB
2026-07-28	Corporate Spend, Expense Management & Financial Operations Software	live	Mainstream	76.50	93.00	14		NAVN,BILL,WEX
2026-07-28	Cross-Border & International Payments Processing	live	Accelerating	74.50	89.10	5		EEFT,GPN
2026-07-28	Cruise Line & Ocean Travel Recovery	live	Nascent	77.40	94.80	2		NCLH,LIND,RCL
2026-07-28	Custom AI Silicon & Chip Architecture Licensing	live	Fading	32.15		62		CRDO,QUIK,MRVL
2026-07-28	Cyber Exposure Management & Vulnerability Assessment	live	Fading	61.90	63.80	3		RPD,TENB,QLYS
2026-07-28	Defense Precision Components & Mission-Critical Subsystems	live	Fading	72.70	85.40	1	Defense Prime Contractors & Aerospace Systems	HXL,FEIM
2026-07-28	Defense Prime Contractors & Aerospace Systems	live	Fading	15.36		1		LMT,RTX
2026-07-28	Department Store Retail Recovery	live	Nascent	70.90	81.80	2		DDS,KSS
2026-07-28	Digital Advertising Technology Platforms	live	Retired	0.00		14		
2026-07-28	Digital Payments Processing & Merchant Acquiring Networks	live	Accelerating	74.00	88.00	6		PYPL,FOUR
2026-07-28	Domestic Steel Producers	live	Accelerating	76.00	92.00	8		NUE,STLD
2026-07-28	Emerging Market Digital Commerce & Fintech Platforms	live	Retired	0.00		9		
2026-07-28	Enterprise HR & Workforce Management SaaS	live	Mainstream	77.30	94.50	9		PCTY,WDAY,ALIT
2026-07-28	Enterprise Server, Storage & Data Infrastructure Hardware	live	Mainstream	76.10	92.20	5		NTAP,HPE,STX,DELL
2026-07-28	European Bank Stocks	live	Nascent	62.90	65.80	26		NWG,ING,LYG,BCS,BBVA,SAN
2026-07-28	Financial Compliance & Regulatory Reporting SaaS	live	Accelerating	71.90	83.80	2		DFIN,WK
2026-07-28	Financial Services Vertical SaaS	live	Retired	0.00		5		
2026-07-28	For-Profit Education & Career Training Providers	live	Fading	6.05		1		CVSA,STRA
2026-07-28	Franchise Auto Dealership Groups	live	Mainstream	79.30	98.60	15		SAH,ABG,PAG
2026-07-28	Global Crude & Product Tanker Fleet Operators	live	Mainstream	66.90	73.80	8		TNK,TRMD,INSW,DHT,FRO,NAT
2026-07-28	Global Steel & Metal Producers Recovery	live	Fading	55.12		4		TX,MT
2026-07-28	Hospital & Behavioral Health Facility Procedure Volume Recovery	live	Fading	30.98		1		UHS,THC
2026-07-28	Hotel REIT Recovery & Re-Rating	live	Nascent	77.70	95.50	2		RLJ,XHR
2026-07-28	Independent Power Producers & Nuclear Generation	live	Fading	34.82		2		VST,CEG
2026-07-28	Industrial Automation & Electrical Control Systems	live	Fading	32.61		1		HLIO,AME,ROK
2026-07-28	Industrial Construction Execution & On-Site Supply Chain	live	Nascent	70.50	80.90	3		TPC,RYZ,DNOW,SUNB
2026-07-28	Industrial Fluid Control, Filtration & Water Infrastructure Equipment	live	Accelerating	67.70	75.40	4		DCI,FELE,KAI,IR,IEX
2026-07-28	Industrial & Logistics REITs	live	Mainstream	63.70	67.50	14		FR,EGP,STAG,TRNO
2026-07-28	Inflammatory Disease & Immunology Biologics	live	Nascent	78.20	96.50	49		SYRE,ORKA
2026-07-28	Insurance Brokerage & Distribution Services	live	Accelerating	71.50	82.90	15		AJG,AON,BRO
2026-07-28	IT Distribution & Technology Services Providers	live	Mainstream	77.40	94.80	5		INGM,EFOR
2026-07-28	Korean Financial Sector Recovery	live	Fading	45.89		3		SHG,KB
2026-07-28	Life Insurance & Annuity Providers	live	Mainstream	75.20	90.30	22		MET,UNM,PFG,PRU
2026-07-28	Life Science Tools & Analytical Instruments	live	Mainstream	73.20	86.30	13		MTD,WAT,TMO
2026-07-28	Liquid Biopsy & Multi-Cancer Early Detection	live	Retired	0.00		15		
2026-07-28	Medical Device Mean-Reversion & Rotation Recovery	live	Accelerating	72.90	85.90	7		XRAY,CNMD,INSP,TNDM
2026-07-28	Molecular Diagnostics & DNA-Based Genetic Testing	live	Mainstream	74.50	89.00	13		BLLN,QGEN
2026-07-28	Multifamily Apartment REITs	live	Fading	12.29		9		CPT,UDR
2026-07-28	Network Security & Zero-Trust Edge	live	Fading	66.20	72.40	47		NET,CVLT,OKTA,VRNS,RBRK,BB,CRWD,PANW,FTNT
2026-07-28	Office REIT Recovery & Re-Rating	live	Mainstream	73.40	86.80	17		CDP,HIW,SLG,BXP
2026-07-28	Online Insurance Comparison & Digital Marketplace Platforms	live	Nascent	75.60	91.20	12		MAX,EVER
2026-07-28	Open-Air & Strip Mall Retail REITs	live	Mainstream	65.20	70.50	12		UE,PECO,SKT,FRT,KRG,KIM,BRX,REG
2026-07-28	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	live	Fading	70.30	80.50	22		XERS,MBX,PTGX,CORT
2026-07-28	Powersports & Recreational Vehicle Manufacturers	live	Fading	47.30		3		PII,HOG
2026-07-28	Precious Metals Miners & Royalty Streamers	live	Fading	19.20		3		EGO,FSM
2026-07-28	Precious Metals Royalty & Streaming Companies	live	Fading	19.20		1	Precious Metals Miners & Royalty Streamers	FNV,RGLD
2026-07-28	Private Mortgage Insurance	live	Mainstream	70.00	80.00	22		MTG,ESNT,RDN,NMIH
2026-07-28	Professional Advisory & Business Services	live	Mainstream	77.50	94.90	12		CRAI,CBZ
2026-07-28	Property & Casualty Insurance Underwriters	live	Mainstream	68.90	77.90	22		WRB,TRV,ALL,ACGL,CB,AFG,HCI,HIG,AXS,ORI,SKWD,THG,CINF
2026-07-28	Regulated Gas & Electric Distribution Utilities	live	Retired	0.00		2		
2026-07-28	Semiconductor Wafer Foundry & Advanced IC Manufacturing	live	Fading	46.48		56		AMAT,UMC
2026-07-28	Senior & Long-Term Care Healthcare REITs	live	Mainstream	65.50	70.90	11		LTC,NHI,OHI,VTR
2026-07-28	Smart Home Security & Comfort Systems	live	Mainstream	73.50	87.00	4		REZI,ALRM
2026-07-28	SMB & Workforce Business Services Platforms	live	Mainstream	78.60	97.20	16		NSP,LZ
2026-07-28	Specialty Insurance Underwriting & Brokerage	live	Fading	56.40		14		PLMR,RYAN
2026-07-28	Specialty Pharma — Rare Disease & Cardiopulmonary Therapeutics	live	Nascent	79.00	98.10	1		KNSA,LQDA
2026-07-28	Targeted Protein Degradation Oncology	live	Fading	29.08		16	Clinical-Stage Oncology Biotech	KYMR,GLUE
2026-07-28	Traditional Staffing & Talent Placement Services	live	Nascent	79.70	99.30	12		RHI,MAN
2026-07-28	Truckload & LTL Freight Carriers	live	Fading	68.00	76.00	15		HUBG,KNX,TFII,ARCB,RXO,WERN,SNDR
2026-07-28	Uniform Rental & Managed Workwear Services	live	Mainstream	77.70	95.40	9		CTAS,VSTS
2026-07-28	U.S. Apparel & Fashion Recovery	live	Mainstream	77.60	95.20	11		UA,RVLV,CROX
2026-07-28	U.S. Apparel & Lifestyle Brand Recovery	live	Mainstream	72.20	84.40	3		VSXY,OXM
2026-07-28	U.S. Passenger Airlines	live	Accelerating	68.20	76.40	15		ALK,LUV,SKYW,UAL,ALGT,DAL
2026-07-28	U.S. Petroleum Refining & Downstream Processing	live	Mainstream	78.40	96.80	19		NJR,VLO,SR,DK,AVA,PBF,PSX,DINO,PARR,NWE,BKH,MPC
2026-07-28	U.S. Regional & Mid-Cap Commercial Banks	live	Mainstream	63.80	67.50	19		WAL,SSB,EWBC,KEY,USB,UMBF,WSFS,ZION,PNC,FITB,HWC,FHN,GBCI,RF,TFC,WTFC,HBAN,CFG,BOKF,MTB
2026-07-28	Wealth Management & Retail Brokerage Platforms	live	Mainstream	73.40	86.80	15		RJF,LPLA,AMP,SF,SCHW,HOOD,SEIC
2026-07-29	AI-Augmented Business Process Outsourcing & IT Services	live	Nascent	73.10	86.20	1		EXLS,G
2026-07-29	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS	live	Accelerating	76.20	92.30	5		INTA,AMPL,AVPT
2026-07-29	Analog & Microcontroller Semiconductors — Automotive & Industrial Cycle Recovery	live	Fading	12.29		1		NXPI,TXN
2026-07-29	Asset Management & Fund Administration Platform Ecosystem	live	Nascent	72.60	85.20	2		BX,SSNC
2026-07-29	Automotive Components & Tire Suppliers	live	Fading	23.07		1		GT,ADNT
2026-07-29	B2B Digital Financial Infrastructure & Payment Rails Modernization	live	Mainstream	78.80	97.70	19		PAY,QTWO,ACIW
2026-07-29	B2B Marketing Automation & Customer Engagement SaaS	live	Accelerating	73.80	87.70	9		KVYO,HUBS
2026-07-29	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	39.32		5		CIFR,HUT
2026-07-29	Canadian Big Banks	live	Mainstream	60.00	60.00	8		RY,BMO,TD,BNS,CM
2026-07-29	Casual Dining & Full-Service Restaurant Chain Recovery	live	Nascent	79.40	98.80	1		EAT,CAKE
2026-07-29	Casual Dining Restaurant Turnaround	live	Retired	0.00		24		
2026-07-29	Clinical-Stage Oncology Biotech	live	Nascent	70.50	81.10	5		TGTX,ELVN
2026-07-29	Cloud Data Storage & Analytics Infrastructure	live	Mainstream	70.20	80.50	11		BLZE,SNOW
2026-07-29	Cloud Observability & AIOps Monitoring Platforms	live	Fading	74.30	88.70	9		PD,DDOG
2026-07-29	Cloud Supply Chain & Warehouse Management Software	live	Accelerating	78.50	97.00	7		MANH,SPSC
2026-07-29	Coastal & Suburban Residential Rental REITs	live	Fading	59.20	58.30	11		AMH,INVH,AVB,ESS,EQR
2026-07-29	Commercial Real Estate Brokerage & Advisory Services	live	Fading	51.12		9		NMRK,CBRE,JLL
2026-07-29	Consumer Fintech & Digital Credit Platforms	live	Fading	57.20		19		SEZL,DAVE
2026-07-29	Consumer Staples Packaged Food & Snack Brand Recovery	live	Nascent	72.90	85.80	2		CAG,LW
2026-07-29	Containerboard & Corrugated Packaging Producers	live	Accelerating	75.70	91.40	6		SW,IP,PKG
2026-07-29	Copper Mining & Production	live	Fading	39.49		5		SCCO,HBM,FCX,TGB
2026-07-29	Corporate Spend, Expense Management & Financial Operations Software	live	Mainstream	77.80	95.60	15		BILL,WEX,NAVN
2026-07-29	Cross-Border & International Payments Processing	live	Accelerating	75.80	91.70	6		EEFT,GPN
2026-07-29	Cruise Line & Ocean Travel Recovery	live	Nascent	71.10	82.20	3		RCL,NCLH
2026-07-29	Custom AI Silicon & Chip Architecture Licensing	live	Fading	25.72		62		QUIK,MRVL
2026-07-29	Cyber Exposure Management & Vulnerability Assessment	live	Fading	63.00	66.00	3		TENB,RPD,QLYS
2026-07-29	Defense Precision Components & Mission-Critical Subsystems	live	Fading	58.16		1	Defense Prime Contractors & Aerospace Systems	HXL,FEIM
2026-07-29	Defense Prime Contractors & Aerospace Systems	live	Fading	12.29		1		LMT,RTX
2026-07-29	Department Store Retail Recovery	live	Nascent	70.40	80.80	3		DDS,KSS
2026-07-29	Dermatology & Atopic Immunology Biologics	live	Nascent	76.50	93.00	1		FBRX,APGE
2026-07-29	Digital Payments Processing & Merchant Acquiring Networks	live	Accelerating	77.10	94.20	7		PYPL,FOUR
2026-07-29	Domestic Steel Producers	live	Retired	0.00		9	U.S. Domestic Steel Producers	
2026-07-29	Enterprise HR & Workforce Management SaaS	live	Mainstream	78.70	97.40	10		WDAY,ALIT,PCTY
2026-07-29	Enterprise Server, Storage & Data Infrastructure Hardware	live	Fading	71.70	83.50	5		DELL,HPE,STX,NTAP
2026-07-29	European Bank Stocks	live	Nascent	59.50	58.90	27		BBVA,SAN,BCS,ING,NWG,LYG
2026-07-29	Financial Compliance & Regulatory Reporting SaaS	live	Accelerating	73.80	87.50	3		DFIN,WK
2026-07-29	For-Profit Education & Career Training Providers	live	Fading	4.84		1		CVSA,STRA
2026-07-29	Franchise Auto Dealership Groups	live	Mainstream	79.40	98.80	16		ABG,PAG,SAH
2026-07-29	Global Crude & Product Tanker Fleet Operators	live	Mainstream	67.50	75.10	9		NAT,FRO,INSW,DHT,TRMD,TNK
2026-07-29	Global Steel & Metal Producers Recovery	live	Fading	44.10		4		TX,MT
2026-07-29	Hospital & Behavioral Health Facility Procedure Volume Recovery	live	Fading	24.78		1		UHS,THC
2026-07-29	Hotel REIT Recovery & Re-Rating	live	Nascent	77.60	95.20	3		RLJ,XHR
2026-07-29	Independent Power Producers & Nuclear Generation	live	Fading	27.85		2		VST,CEG
2026-07-29	Industrial Automation & Electrical Control Systems	live	Retired	0.00		2		
2026-07-29	Industrial Construction Execution & On-Site Supply Chain	live	Fading	56.40		3		TPC,RYZ,DNOW,SUNB
2026-07-29	Industrial Fluid Control, Filtration & Water Infrastructure Equipment	live	Accelerating	65.20	70.40	5		FELE,IR,IEX,DCI,KAI
2026-07-29	Industrial & Logistics REITs	live	Fading	50.96		14		FR,EGP,STAG,TRNO
2026-07-29	Inflammatory Disease & Immunology Biologics	live	Mainstream	75.50	91.00	50		SYRE,ORKA
2026-07-29	Insurance Brokerage & Distribution Services	live	Accelerating	73.60	87.20	16		AON,BRO,AJG
2026-07-29	Investment Research & Financial Analytics Data Platforms	live	Nascent	71.60	83.20	1		MORN,IT
2026-07-29	IT Distribution & Technology Services Providers	live	Mainstream	76.20	92.30	6		EFOR,INGM
2026-07-29	Korean Financial Sector Recovery	live	Fading	36.71		3		SHG,KB
2026-07-29	Life Insurance & Annuity Providers	live	Mainstream	74.80	89.70	23		UNM,MET,PRU,PFG
2026-07-29	Life Science Tools & Analytical Instruments	live	Mainstream	73.90	87.80	14		MTD,TMO,WAT
2026-07-29	Medical Device Mean-Reversion & Rotation Recovery	live	Mainstream	73.60	87.20	8		INSP,TNDM,XRAY,CNMD
2026-07-29	Molecular Diagnostics & DNA-Based Genetic Testing	live	Mainstream	72.80	85.70	14		BLLN,QGEN
2026-07-29	Multifamily Apartment REITs	live	Fading	9.83		9		CPT,UDR
2026-07-29	Network Security & Zero-Trust Edge	live	Mainstream	66.00	72.00	48		PANW,FTNT,NET,CVLT,RBRK,BB,OKTA,CRWD,VRNS
2026-07-29	Office REIT Recovery & Re-Rating	live	Mainstream	76.90	93.90	18		CDP,BXP,HIW,SLG
2026-07-29	Online Insurance Comparison & Digital Marketplace Platforms	live	Nascent	75.40	90.80	13		EVER,MAX
2026-07-29	Open-Air & Strip Mall Retail REITs	live	Mainstream	63.50	67.10	13		BRX,REG,PECO,SKT,KRG,UE,FRT,KIM
2026-07-29	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	live	Mainstream	72.10	84.20	23		XERS,MBX,PTGX,CORT
2026-07-29	Powersports & Recreational Vehicle Manufacturers	live	Fading	37.84		3		PII,HOG
2026-07-29	Precious Metals Miners & Royalty Streamers	live	Fading	15.36		3		EGO,FSM
2026-07-29	Precious Metals Royalty & Streaming Companies	live	Fading	15.36		1	Precious Metals Miners & Royalty Streamers	FNV,RGLD
2026-07-29	Private Mortgage Insurance	live	Mainstream	71.10	82.10	23		ESNT,NMIH,MTG,RDN
2026-07-29	Professional Advisory & Business Services	live	Nascent	78.60	97.20	13		CBZ,CRAI
