Rare & Orphan Disease Specialty Pharma|2026-06-28|92.3|4|4|92.3|4|14.3
AI Interconnect & Semiconductor Connectivity|2026-06-29|99.1|2|2|94.8|2|-4.8
Automotive Electronics & Sensor Components|2026-06-29|98.8|2|2|98.8|2|4.8
Specialty Catastrophe Property Insurance Underwriters|2026-06-29|84.4|2|2|84.5|2|29.7
Autoimmune & Inflammatory Disease Biopharmaceuticals|2026-06-30|84.2|6|6|84.2|6|17.5
Clinical-Stage Oncology Therapeutics|2026-06-30|83.9|3|3|83.9|3|12.3
Domestic Steel Producers|2026-06-30|27.8|4|4|27.8|4|-27.8
Genomic Medicine & Synthetic DNA Tools|2026-06-30|97.2|2|2|97.3|2|1.2
Industrial Power Equipment & Electrical Systems|2026-06-30|0.0|4|4|68.4|4|15.4
Insurance Brokerage & Risk Advisory|2026-06-30|47.7|3|3|47.7|3|1.6
In Vivo Gene Therapy & Genome Editing|2026-06-30|93.6|2|2|93.6|2|6.3
Precious Metals Miners (Gold & Silver)|2026-06-30|16.4|21|21|16.4|21|6.5
Precision Aerospace & Defense Component Manufacturers|2026-06-30|83.2|2|2|83.2|2|81.0
Precision Optics & Photonic Components|2026-06-30|83.9|3|3|83.9|3|41.9
Quantum Computing Hardware & Annealing Systems|2026-06-30|0.0|3|3|58.8|3|11.3
Rare & Orphan Disease Biotech Re-Rating|2026-06-30|90.9|5|5|90.9|5|0.6
Satellite Communications & Space Data Services|2026-06-30|77.8|5|5|77.8|5|49.7
Targeted Protein Degradation Oncology|2026-06-30|92.7|2|2|92.7|2|7.2
Truckload & LTL Freight Carriers|2026-06-30|0.0|7|7|48.9|7|-11.2
Clinical-Stage Autoimmune & Inflammatory Disease Therapeutics|2026-07-01|84.0|5|5|84.0|5|27.8
Consumer Fintech & Digital Credit Platforms|2026-07-01|98.9|2|2|99.0|2|1.1
Liquid Biopsy & Multi-Cancer Early Detection|2026-07-01|94.0|2|2|94.0|2|23.6
U.S. Petroleum Refining & Downstream Processing|2026-07-01|0.0|6|6|65.2|6|15.7
U.S. Regional & Mid-Cap Commercial Banks|2026-07-01|0.0|20|20|62.5|20|-5.4
B2B Digital Financial Infrastructure & Payment Rails Modernization|2026-07-02|87.1|4|4|87.1|4|47.3
Digital Advertising Technology Platforms|2026-07-02|98.4|2|2|98.4|2|3.6
Digital Banking Software Platforms|2026-07-02|84.4|2|2|84.4|2|57.6
Large-Cap U.S. Defense Primes|2026-07-02|0.0|4|4|16.8|4|5.0
Specialty Insurance Underwriting & Brokerage|2026-07-02|87.9|4|4|75.9|4|36.2
Alternative Asset Management Platforms|2026-07-06|23.3|5|5|23.3|5|7.0
Coastal & Suburban Residential Rental REITs|2026-07-06|0.0|5|5|62.4|5|0.8
Digital Insurance Distribution & Marketplace Platforms|2026-07-06|90.2|2|2|90.3|2|5.3
Franchise Auto Dealership Groups|2026-07-06|0.0|4|4|53.3|4|3.6
Government-Funded Senior & Post-Acute Care Re-Rating|2026-07-06|94.2|2|2|94.2|2|5.6
Industrial & Logistics REITs|2026-07-06|37.8|6|6|37.8|6|-1.3
Office REIT Recovery & Re-Rating|2026-07-06|82.9|3|3|82.9|3|2.2
Oilfield Pressure Pumping & Completion Services|2026-07-06|19.6|5|5|19.6|5|-32.7
Open-Air & Strip Mall Retail REITs|2026-07-06|41.1|8|8|41.1|8|-16.1
Rare & Orphan Disease Biotech|2026-07-06|93.9|5|5|93.9|5|2.5
Self-Storage REITs|2026-07-06|0.0|4|4|43.6|4|-6.7
Senior & Long-Term Care Healthcare REITs|2026-07-06|52.6|5|5|52.6|5|0.1
Oncology Targeted Therapy Biotechs|2026-07-07|91.0|5|5|91.0|5|9.3
Rare Cardiometabolic & Endocrine Specialty Pharma|2026-07-07|91.5|4|4|91.5|4|26.6
Rare Disease Small Molecule Precision Therapeutics|2026-07-07|72.6|3|3|72.6|3|6.1
SMB & Workforce Business Services Platforms|2026-07-07|91.6|3|3|91.6|3|16.7
Bitcoin Mining & Crypto Infrastructure Operators|2026-07-08|42.3|5|5|30.1|5|-30.0
Cloud Observability & AIOps Monitoring Platforms|2026-07-08|98.0|2|2|89.5|2|-1.2
Global Digital Payments & Cross-Border Fintech|2026-07-08|87.4|3|3|81.9|3|14.2
In Vivo Gene & Engineered Cell Therapy Clinical Re-Rating|2026-07-08|89.6|5|5|89.6|5|9.1
Non-US & Frontier Market Digital Financial Services Re-Rating|2026-07-08|85.7|4|4|85.7|4|12.2
Pure-Play Quantum Computing Hardware|2026-07-08|0.0|2|2|15.4|2|-34.8
Wealth Management & Retail Brokerage Platforms|2026-07-08|0.0|6|6|51.0|6|12.1
Clinical-Stage Oncology Drug Development|2026-07-09|90.8|6|6|90.8|6|9.3
Corporate Spend, Expense Management & Financial Operations Software|2026-07-09|78.4|3|3|78.4|3|7.6
Molecular Diagnostics & DNA-Based Genetic Testing|2026-07-09|84.2|3|3|84.2|3|15.4
Rare Neurological, Neuromuscular & Genetic Disease Biotech|2026-07-09|95.1|6|6|95.1|6|10.7
Antibody-Based Oncology & Autoimmune Biologics|2026-07-10|86.1|3|3|82.7|3|7.2
Emerging Market Digital Commerce & Fintech Platforms|2026-07-10|86.2|2|2|86.2|2|19.8
Life Science Tools & Analytical Instruments|2026-07-10|0.0|4|4|78.5|4|11.0
B2B Marketing Automation & Customer Engagement SaaS|2026-07-13|79.5|3|3|79.5|3|27.4
Health & Wellness Consumer Nutrition Brands|2026-07-13|74.4|3|3|74.4|3|17.9
Online Insurance Comparison & Digital Marketplace Platforms|2026-07-13|98.1|2|2|98.1|2|5.4
Orthopedic & Surgical Device Recovery|2026-07-13|77.2|2|2|77.2|2|41.6
Professional Advisory & Business Services|2026-07-13|91.8|3|3|91.8|3|19.5
Traditional Staffing & Talent Placement Services|2026-07-13|97.9|2|2|97.9|2|6.1
U.S. Domestic Steel Producers|2026-07-13|34.6|5|5|34.6|5|9.6
Cloud Data Storage & Analytics Infrastructure|2026-07-14|98.9|2|2|98.9|2|1.3
Crude & Product Tanker Operators|2026-07-14|21.9|6|6|21.9|6|-12.6
Diversified Medical Device & Life Science Instrument Manufacturers|2026-07-14|46.2|5|5|46.2|5|-6.4
Precious Metals Miners & Royalty Streamers|2026-07-14|6.2|27|27|6.2|27|2.4
Speculative Space & Defense New Space Ventures|2026-07-14|6.5|4|4|6.5|4|-6.7
U.S. Apparel & Fashion Recovery|2026-07-14|83.7|2|2|83.7|2|23.2
U.S. Defense Prime Contractors|2026-07-14|25.8|5|5|25.8|5|0.1
Digital Payments Processing & Merchant Acquiring Networks|2026-07-15|89.7|2|2|89.7|2|30.3
Cloud Supply Chain & Warehouse Management Software|2026-07-16|90.2|2|2|90.2|2|18.1
Enterprise HR & Workforce Management SaaS|2026-07-16|92.7|3|3|91.0|3|17.4
Financial Services Vertical SaaS|2026-07-16|71.2|3|3|71.2|3|25.8
For-Profit Education & Workforce Training Providers|2026-07-16|0.0|6|6|28.1|6|-51.8
Government & Commercial Management Consulting Services|2026-07-16|83.4|2|2|83.4|2|25.7
Minimally Invasive & Robotic Surgical Device Platforms|2026-07-16|17.1|3|3|17.1|3|0.5
Packaged & Shelf-Stable Food Manufacturers|2026-07-16|59.1|4|4|59.1|4|14.5
Quantum Computing Hardware & Software|2026-07-16|4.5|5|5|4.5|5|-9.0
Uniform Rental & Managed Workwear Services|2026-07-16|92.7|2|2|92.7|2|20.3
AI-Powered Software Development & DevOps Platforms|2026-07-17|96.0|2|2|96.0|2|6.8
B2B Data Intelligence & Professional Information Services|2026-07-17|80.1|2|2|80.1|2|25.0
Bitcoin & Crypto Mining Infrastructure|2026-07-17|14.6|5|5|14.6|5|-19.5
Cyber Exposure Management & Vulnerability Assessment|2026-07-17|99.7|3|3|99.5|3|0.3
Global Crude & Product Tanker Fleet Operators|2026-07-17|55.6|8|8|55.6|8|21.1
AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|2026-07-20|96.4|3|3|96.4|3|4.2
Canadian Big Banks|2026-07-20|0.0|5|5|73.9|5|4.3
Cloud Communications & Contact Center Platforms|2026-07-20|98.2|2|2|98.2|2|0.1
Cross-Border & International Payments Processing|2026-07-20|91.9|2|2|92.0|2|11.1
Financial Compliance & Regulatory Reporting SaaS|2026-07-20|81.6|2|2|81.6|2|11.2
Industrial Automation & Electrical Control Systems|2026-07-20|38.1|4|4|38.1|4|4.9
Medical Device Mean-Reversion & Rotation Recovery|2026-07-20|87.6|4|4|87.6|4|11.0
AI Compute & GPU Data Center Hosting Operators|2026-07-21|0.0|4|4|20.6|4|5.1
Copper Mining & Production|2026-07-21|82.5|5|5|54.0|5|27.4
Smart Home Security & Comfort Systems|2026-07-21|86.5|2|2|86.6|2|8.1
Urban Gateway Office REITs|2026-07-21|81.8|3|3|77.5|3|4.3
Automotive Components & Tire Suppliers|2026-07-22|80.8|2|2|80.9|2|42.3
Containerboard & Corrugated Packaging Producers|2026-07-22|0.0|3|3|52.9|3|24.3
Enterprise Server, Storage & Data Infrastructure Hardware|2026-07-22|98.0|3|3|97.6|3|16.0
Global Steel & Metal Producers Recovery|2026-07-22|90.2|4|4|84.2|4|32.3
Independent Power Producers & Nuclear Generation|2026-07-22|68.6|3|3|68.6|3|31.0
IT Distribution & Technology Services Providers|2026-07-22|96.1|2|2|96.1|2|52.7
Korean Financial Sector Recovery|2026-07-22|89.8|2|2|89.8|2|3.0
Powersports & Recreational Vehicle Manufacturers|2026-07-22|97.0|2|2|97.0|2|31.3
U.S. Apparel & Lifestyle Brand Recovery|2026-07-22|93.7|2|2|93.7|2|31.8
Used Vehicle & Mobility Asset Rental Recovery|2026-07-22|95.7|2|2|95.7|2|22.2
Aerospace Structural Materials & Advanced Composites|2026-07-23|86.3|2|2|86.3|2|39.7
Analog & Microcontroller Semiconductors — Automotive & Industrial Cycle Recovery|2026-07-23|0.0|5|5|52.2|5|25.4
Clinical-Stage Oncology Biotech|2026-07-23|97.0|2|2|97.1|2|11.7
Defense Prime Contractors & Aerospace Systems|2026-07-23|0.0|4|4|45.5|4|23.8
For-Profit Education & Career Training Providers|2026-07-23|11.8|4|4|11.8|4|-7.8
Industrial Fluid Control, Filtration & Water Infrastructure Equipment|2026-07-23|0.0|6|6|58.9|6|18.0
Medical Device Sterilization & Surgical Supply Infrastructure|2026-07-23|39.4|4|4|39.4|4|-23.2
Defense Precision Components & Mission-Critical Subsystems|2026-07-24|89.9|3|3|89.9|3|30.6
Heavy Transportation Equipment Manufacturers|2026-07-24|93.8|2|2|93.8|2|45.3
Industrial Construction Execution & On-Site Supply Chain|2026-07-24|86.4|4|4|86.4|4|33.2
Precious Metals Royalty & Streaming Companies|2026-07-24|0.0|4|4|17.1|4|12.1
Cruise Line & Ocean Travel Recovery|2026-07-27|84.2|3|3|84.2|3|34.5
Department Store Retail Recovery|2026-07-27|80.6|2|2|80.6|2|19.8
Hospital & Behavioral Health Facility Procedure Volume Recovery|2026-07-27|38.7|4|4|38.7|4|18.1
Hotel REIT Recovery & Re-Rating|2026-07-27|96.8|2|2|96.8|2|6.7
Regulated Gas & Electric Distribution Utilities|2026-07-27|49.1|6|6|49.1|6|10.6
Asset Management & Fund Administration Platform Ecosystem|2026-07-28|89.0|2|2|89.1|2|27.5
Consumer Staples Packaged Food & Snack Brand Recovery|2026-07-28|90.3|3|3|90.3|3|9.7
Specialty Pharma — Rare Disease & Cardiopulmonary Therapeutics|2026-07-28|98.1|2|2|98.1|2|14.8
AI-Augmented Business Process Outsourcing & IT Services|2026-07-29|86.2|2|2|86.2|2|60.2
Casual Dining & Full-Service Restaurant Chain Recovery|2026-07-29|98.8|2|2|98.9|2|1.9
Dermatology & Atopic Immunology Biologics|2026-07-29|93.0|2|2|93.0|2|43.0
Investment Research & Financial Analytics Data Platforms|2026-07-29|83.2|2|2|83.2|2|60.9
Tax Preparation & Consumer Financial Software Platforms|2026-07-29|80.6|2|2|80.6|2|38.6
AI & Data Center Semiconductor Surge|2026-07-30|27.5|3|3|27.5|3|-24.2
China Consumer Internet & Digital Marketplace Platforms|2026-07-30|94.5|2|2|94.5|2|3.2
Cinema Exhibition & Premium Large-Format Recovery|2026-07-30|96.2|2|2|96.3|2|3.3
Cloud Contact Center & CCaaS Communication Platforms|2026-07-30|97.6|2|2|97.6|2|66.0
US-China Tariff Truce — Consumer Goods & Digital Beneficiaries|2026-07-30|70.6|4|4|70.6|4|7.8
Vacation Ownership & Timeshare Resort Recovery|2026-07-30|0.0|3|3|49.2|3|1.8
AI data center infrastructure buildout|2026-07-31|46.1|3|3|46.1|3|5.0
Branded Packaged Food & Consumer Staples Producers|2026-07-31|0.0|3|3|47.5|3|4.9
Family Dining & Quick-Service Restaurant Chain Recovery|2026-07-31|98.3|2|2|98.3|2|24.2
For-Profit & Vocational Post-Secondary Education Operators|2026-07-31|35.1|6|6|23.1|6|6.4
Industrial HVAC, Plumbing & Fabricated Copper Products|2026-07-31|86.2|2|2|86.3|2|17.5
U.S. Multifamily & Residential Apartment REITs|2026-07-31|0.0|5|5|38.1|5|-2.2
Alphabet (Google) Platform Re-Rating|2026-08-03|71.2|4|4|71.2|4|58.9
Commercial, Office & Home Furniture Retailers and Manufacturers|2026-08-03|98.5|3|3|98.0|3|10.0
Defense Electronics & Aerospace Subsystem Suppliers|2026-08-03|77.9|4|4|77.9|3|51.8
Digital Insurance Distribution & InsurTech Platforms|2026-08-03|99.0|2|2|98.4|1|0.2
Electrical Infrastructure Products & Systems Installation|2026-08-03|93.9|2|2|93.9|2|46.6
Gold & Precious Metals Miners Rotation|2026-08-03|45.1|18|18|18.8|18|7.1
Small Modular & Advanced Nuclear Reactor Development|2026-08-03|45.4|3|3|13.2|3|10.7
Smart Utility Metering & Water Infrastructure Hardware|2026-08-03|68.8|2|2|68.9|2|45.4
Specialty Pharmaceutical Commercialization & Rare Disease Drugs|2026-08-03|96.0|2|2|96.1|2|22.5
