ticker|alert_date|score_tier|ep_score|gap_pct|catalyst_quality|in_active_theme
FIGS|2026-08-07|HIGH|96|26.69|game_changer|f
FLNC|2026-07-31|HIGH|60|10.02|game_changer|f
FPS|2026-05-14|HIGH|84|17.75|strong|
FRMI|2026-08-11|HIGH|96|17.01|game_changer|f
FROG|2026-08-07|HIGH|100.8|17.51|strong|f
FTK|2026-08-03|HIGH|60|10.45|game_changer|f
FTNT|2026-07-30|HIGH|60|10.1|game_changer|t
FUTU|2026-05-26|MODERATE|51.6|15.53|routine|
GEMI|2026-05-15|HIGH|96|22.24|strong|
GH|2026-05-20|HIGH|96|17.01|game_changer|
GLBE|2026-08-12|HIGH|72|10.67|game_changer|f
GLOB|2026-05-15|HIGH|89.3|10.59|strong|
GO|2026-05-14|HIGH|84|17.38|strong|
GRND|2026-07-01|MODERATE|56.4|13.26|strong|f
GRRR|2026-06-02|HIGH|100.8|17.64|strong|
HAS|2026-07-21|HIGH|72|10.61|game_changer|f
HGTY|2026-08-05|HIGH|60.5|11.69|strong|f
HLIT|2026-05-12|HIGH|84|15.2|strong|
HLIT|2026-08-13|HIGH|96|23.79|game_changer|f
HPE|2026-06-02|HIGH|115.2|25.28|strong|
HQ|2026-06-15|MODERATE|84|19.71|strong|f
HRB|2026-08-12|MODERATE|100.8|16.76|strong|f
HTFL|2026-08-14|HIGH|96|25.12|game_changer|f
HUT|2026-07-20|HIGH|72|11.54|game_changer|f
HYMC|2026-06-15|MODERATE|53.3|13.82|routine|f
IBRX|2026-05-20|HIGH|72|10.18|strong|
IDCC|2026-06-11|HIGH|84|15.2|strong|f
IDR|2026-06-15|none|50.4|18.71|routine|f
IMVT|2026-05-20|HIGH|115.2|35.26|strong|
INFQ|2026-05-21|HIGH|115.2|22|strong|
INOD|2026-08-07|MODERATE|51.6|14.83|strong|f
INSM|2026-08-06|HIGH|96|16.14|game_changer|f
INSP|2026-08-04|MODERATE|55|22.29|routine|t
IREN|2026-07-20|HIGH|72|13.15|game_changer|f
JBIO|2026-06-22|none|66|10.11|strong|f
JBL|2026-06-17|HIGH|60|10.77|game_changer|f
KC|2026-07-08|MODERATE|50|11.76|strong|f
KLAR|2026-05-14|HIGH|84|19.57|strong|
KMT|2026-08-05|HIGH|72|14.39|game_changer|f
KODK|2026-08-05|HIGH|54.7|10.86|strong|f
KSS|2026-05-28|MODERATE|64.8|21.73|routine|
KTOS|2026-05-28|MODERATE|64.8|10.54|strong|
KTOS|2026-08-05|HIGH|64.8|11.26|strong|f
KURA|2026-08-13|HIGH|60.5|13.43|strong|f
KYMR|2026-06-25|MODERATE|80|21.17|strong|f
LAC|2026-06-02|MODERATE|54.7|11.43|strong|
LFST|2026-08-06|HIGH|96|18.8|game_changer|f
LIFE|2026-08-04|HIGH|80|16.29|game_changer|f
LIND|2026-08-03|HIGH|70|15.55|strong|f
LPTH|2026-08-14|MODERATE|54.7|10.03|strong|f
LRCX|2026-07-30|HIGH|84|18.95|strong|f
LZB|2026-06-17|HIGH|54|26.5|routine|f
MANE|2026-07-15|HIGH|72|11.08|game_changer|f
MLTX|2026-06-22|HIGH|96|19.1|game_changer|f
MMYT|2026-06-15|MODERATE|60.5|12.81|routine|f
MNDY|2026-05-11|HIGH|100.8|19.16|strong|
MPWR|2026-07-31|HIGH|60|13.96|game_changer|f
MRAM|2026-05-11|HIGH|115.2|29.68|strong|
MRLN|2026-06-05|MODERATE|60|27.99|routine|
MRNA|2026-08-19|HIGH|115.2|33.1|strong|f
MRVL|2026-06-02|HIGH|115.2|24.87|strong|
MRVL|2026-08-19|HIGH|69.1|11.38|strong|t
MRX|2026-08-12|HIGH|53.3|12.45|strong|f
MTW|2026-08-07|HIGH|50.4|33.08|routine|f
MU|2026-06-25|HIGH|96|17.71|game_changer|t
NAVN|2026-06-11|HIGH|80|17.87|game_changer|f
NBIS|2026-08-12|MODERATE|54.7|12.2|strong|f
NESR|2026-08-10|HIGH|53.3|11.99|strong|f
NET|2026-08-07|HIGH|100.8|15.67|strong|t
NMAX|2026-08-14|HIGH|100.8|16.75|strong|f
NNE|2026-05-26|MODERATE|50.4|13.15|routine|
NNE|2026-07-27|HIGH|57|10.38|strong|f
NOW|2026-06-01|MODERATE|54.7|10.31|strong|
NRIX|2026-06-08|HIGH|75.6|11.5|game_changer|f
NVCR|2026-07-23|HIGH|84|15.54|strong|f
NVTS|2026-06-03|HIGH|84|15.39|strong|
NWL|2026-07-31|HIGH|60|13.42|game_changer|f
OKLO|2026-05-26|MODERATE|64.8|11.68|strong|
OKTA|2026-08-27|HIGH|90|20.15|game_changer|f
OMER|2026-08-13|HIGH|60|22.54|routine|t
ONTO|2026-08-07|HIGH|96|15.31|game_changer|f
OUST|2026-06-29|MODERATE|70|16.02|strong|f
PACS|2026-05-12|HIGH|96|22.26|strong|
PD|2026-05-29|MODERATE|50.4|18.15|routine|
PENG|2026-07-08|HIGH|72|10.52|game_changer|f
PGY|2026-06-04|HIGH|66|10.21|strong|
PHR|2026-05-28|MODERATE|54|22.56|routine|
PLTR|2026-08-04|HIGH|96|15.96|game_changer|f
PONY|2026-05-26|HIGH|64.8|12.66|strong|
POWI|2026-05-26|HIGH|84|17.52|strong|
PPTA|2026-05-22|HIGH|72|11|game_changer|
PRAA|2026-08-07|MODERATE|84|16.61|strong|f
PRG|2026-07-15|MODERATE|80|21.65|strong|f
PRGO|2026-08-05|MODERATE|54|13.17|strong|f
PSIX|2026-08-07|MODERATE|68.4|25.77|routine|f
PUBM|2026-08-07|MODERATE|96|36.87|strong|f
PWR|2026-07-30|HIGH|60|12.09|game_changer|f
QBTS|2026-05-21|MODERATE|64.8|13.42|strong|
QBTS|2026-07-27|HIGH|54|11.29|strong|f
QDEL|2026-06-29|MODERATE|54|33.47|routine|f
QFIN|2026-05-27|HIGH|66|25.3|routine|
QNST|2026-08-07|HIGH|96|27.92|game_changer|f
QUBT|2026-05-21|MODERATE|64.8|11.51|strong|
QURE|2026-06-17|HIGH|80|75.2|game_changer|f
RARE|2026-08-20|HIGH|72|11.39|game_changer|f
RCAT|2026-05-28|HIGH|100.8|16.07|strong|
RDDT|2026-08-14|MODERATE|54.7|12.24|strong|f
RDW|2026-05-26|HIGH|84|15.04|strong|
RDW|2026-08-06|HIGH|64.8|12.46|strong|f
RIOT|2026-08-11|HIGH|115.2|17.92|game_changer|f
RLAY|2026-05-21|HIGH|72|11.6|game_changer|
ROCK|2026-08-05|MODERATE|60.5|14.9|strong|f
RPD|2026-08-11|none|84|16.78|strong|t
RUM|2026-06-04|HIGH|84|15.49|strong|
RXT|2026-06-16|HIGH|84|17.5|strong|f
SAIC|2026-06-01|MODERATE|50.4|15.51|routine|
SCSC|2026-08-20|none|96|20.58|strong|f
SE|2026-05-12|HIGH|54|13.26|strong|
SE|2026-08-11|HIGH|54.7|10.58|strong|f
SEDG|2026-06-30|MODERATE|54.7|10.19|strong|f
SG|2026-07-17|none|56.4|15.16|routine|f
SHAZ|2026-06-12|HIGH|86.4|11.87|game_changer|f
SIBN|2026-05-12|HIGH|51.6|13.35|strong|
SIMO|2026-07-30|HIGH|80|19.18|game_changer|f
SITM|2026-08-06|HIGH|96|28.88|game_changer|f
SKM|2026-06-01|MODERATE|50.4|10.69|strong|
SLN|2026-08-10|MODERATE|84|18.83|strong|f
SLS|2026-05-20|HIGH|100.8|19.89|strong|
SMCI|2026-07-22|HIGH|70|15.88|strong|f
SNOW|2026-05-28|MODERATE|53.3|35.23|routine|
SNX|2026-06-25|HIGH|72|11.22|game_changer|f
SOLS|2026-08-28|HIGH|67.5|16.26|strong|f
SOUN|2026-08-06|MODERATE|62.4|25.19|routine|f
STAA|2026-05-14|HIGH|96|17.31|game_changer|
STC|2026-05-19|MODERATE|50.4|10.54|strong|
STDN|2026-08-14|MODERATE|53.3|12.9|strong|f
STUB|2026-05-14|HIGH|54|14.3|strong|
SWBI|2026-06-18|HIGH|70|15.59|strong|f
SYRE|2026-06-22|HIGH|60|12.35|game_changer|t
TASK|2026-08-06|MODERATE|50.4|11.39|routine|f
TATT|2026-05-20|HIGH|64.8|21.57|routine|
TATT|2026-08-05|HIGH|61.9|11.79|strong|f
TE|2026-05-12|HIGH|84|18.21|strong|
TEAM|2026-08-07|HIGH|115.2|31.66|strong|f
TEM|2026-08-19|none|51.6|16.76|routine|f
TER|2026-07-29|HIGH|60|10.4|game_changer|f
TEVA|2026-07-29|HIGH|50.4|11.4|strong|f
TH|2026-08-10|HIGH|50.4|12.17|strong|f
THC|2026-07-24|HIGH|60|14.31|game_changer|f
TNDM|2026-06-01|MODERATE|54.7|10.52|strong|
TRUP|2026-08-06|MODERATE|60|18|routine|f
TSAT|2026-08-04|HIGH|60|14.46|game_changer|f
TSEM|2026-07-14|HIGH|80|18.57|game_changer|f
TTAN|2026-06-05|HIGH|100.8|16.28|strong|
TWLO|2026-08-07|HIGH|84|17.97|strong|f
TWST|2026-08-19|HIGH|84|16.7|strong|t
U|2026-08-06|HIGH|96|18.41|game_changer|f
UUUU|2026-06-18|HIGH|72|12.36|game_changer|f
UUUU|2026-08-21|HIGH|51.6|9.28|strong|f
VEEV|2026-08-27|HIGH|85.5|15.1|strong|t
VERA|2026-08-14|HIGH|86.4|14.23|game_changer|f
VG|2026-05-12|HIGH|54.7|10.07|strong|
VIK|2026-05-14|HIGH|57.6|11.36|strong|
VOYG|2026-08-04|HIGH|80|16.96|game_changer|f
VPG|2026-05-12|HIGH|100.8|17.12|strong|
VSNT|2026-05-14|HIGH|100.8|15.38|strong|
VSTS|2026-05-12|HIGH|115.2|20.22|strong|
WDFC|2026-07-10|HIGH|72|14.23|game_changer|f
WEN|2026-06-24|MODERATE|54|25.34|routine|f
WKC|2026-07-24|HIGH|60|11.63|game_changer|f
WLDN|2026-08-07|MODERATE|51.6|14.67|strong|f
WULF|2026-07-06|HIGH|96|19.92|game_changer|f
WYFI|2026-05-11|MODERATE|51.6|12.99|strong|
WYFI|2026-08-12|MODERATE|84|17.34|strong|f
XE|2026-06-15|none|50.4|17.64|routine|f
ZBRA|2026-05-12|HIGH|100.8|15.33|strong|
ZBRA|2026-08-04|HIGH|60|10.75|game_changer|f
(267 rows)
