ticker,alert_date,ep_score,gap_pct,catalyst_quality,day1_class,d1_status,d1_pnl,d1_skip_reason,d1_mode,d1_closed_at,d1_entry,next_9m_ep_date,next_day2_date,next_flag_date,next_flag_date_incl_tightening,flag_rows_in_window,first_flag_scan_in_window,next_ep_date,max_high_21d,d0_open,r3_rows
ASTI,2026-05-27,38.4,13.475177304964554,routine,NO_TRADE_ROW,,,,,,,,,2026-06-04,2026-06-04,15,2026-05-28,,9.8,6.4,0
BBWI,2026-05-27,54.7,15,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,paper,,,,,,,14,2026-05-28,,21.705,19.5,0
CRSR,2026-05-27,100.8,15.33,strong,WON_DAY1,closed,1390.7991939999974,,paper,2026-06-08 19:22:50.746763+00,8.772422,,,,2026-06-11,14,2026-05-28,2026-05-28,13.1,8.77,0
DY,2026-05-27,96,27.35748091421504,game_changer,LOST_DAY1,closed,-438.24000000000285,block:r3_reentry_disabled,paper,2026-05-27 15:33:49.537591+00,546.46,,,,2026-06-11,12,2026-05-28,,551.86,535.5,1
IPWR,2026-05-27,63.6,27.89017341040462,routine,NO_TRADE_ROW,,,,,,,,,2026-06-02,2026-06-02,10,2026-05-28,,9.0401,8.85,0
QFIN,2026-05-27,68.4,10.405083399523434,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,paper,,,,,2026-06-10,2026-06-10,14,2026-05-28,,17.2501,13.9,0
A,2026-05-28,48,14.813535911602207,strong,NO_TRADE_ROW,,,,,,,,,,,14,2026-05-29,,141.09,133,0
AIRO,2026-05-28,56.4,10.150891632373105,routine,NO_TRADE_ROW,,,,,,,,,2026-06-08,2026-06-08,12,2026-05-29,,9.88,8.03,0
AVAV,2026-05-28,72,10.33,strong,NO_ENTRY,cancelled,0,cancelled,paper,,204.86,,,,,8,2026-05-29,,216.275,199.935,0
CRSR,2026-05-28,51.6,12.932790224032582,routine,NO_TRADE_ROW,,,,,,,,,,2026-06-11,13,2026-05-29,,12.785,11.09,0
CTRN,2026-05-28,72,14.377682403433468,game_changer,NO_TRADE_ROW,,,,,,,,,2026-06-09,2026-06-09,11,2026-05-29,,63.1,53.3,0
DLTR,2026-05-28,84,15.79221862939397,strong,NO_TRADE_ROW,,,,,,,,,,,14,2026-05-29,,117.41,111.01,0
DOO,2026-05-28,36,10.046527658107872,routine,NO_TRADE_ROW,,,,,,,,,,,7,2026-06-03,,63.335,63.86,0
DPRO,2026-05-28,74.4,11.54422788605698,strong,NO_TRADE_ROW,,,,,,,,,2026-06-04,2026-06-04,13,2026-05-29,,8.04,7.44,0
KSS,2026-05-28,45.6,19.953596287703018,routine,NO_TRADE_ROW,,,,,,,,,2026-06-18,2026-06-18,15,2026-05-29,,18.12,15.51,0
KTOS,2026-05-28,44.4,11.623036649214667,routine,NO_TRADE_ROW,,,,,,,,,,,10,2026-05-29,,66.75,63.96,0
LTRX,2026-05-28,44.4,16.689655172413804,routine,NO_TRADE_ROW,,,,,,,,,,,5,2026-05-29,,7.96,8.46,0
ONDG,2026-05-28,50.4,12.74961597542243,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,10.74,7.34,0
ONDL,2026-05-28,50.4,13.654390934844193,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,29.085,20.06,0
PHR,2026-05-28,84,18.07228915662649,strong,NO_TRADE_ROW,,,,,,,,,,,3,2026-06-01,,10.66,10.78,0
RCAT,2026-05-28,100.8,16.07,strong,WON_DAY1,closed,1165.5900000000004,,paper,2026-06-05 16:42:53.983457+00,12.57,,,2026-06-11,2026-06-11,15,2026-05-29,,15.79,12.405,0
SNOW,2026-05-28,96,35.22766175967135,game_changer,NO_TRADE_ROW,,,,,,,,,2026-06-08,2026-06-08,15,2026-05-29,,284.99,237,0
UMAC,2026-05-28,54,32.766861391396716,routine,NO_TRADE_ROW,,,,,,,,,2026-06-11,2026-06-11,15,2026-05-29,,34.36,25,0
ARTV,2026-05-29,42,10.643889618922465,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,10.4958,8.42,0
CHA,2026-05-29,74.4,14.665354330708663,strong,NO_TRADE_ROW,,,,,,,,,,,10,2026-06-01,,13.4,11.65,0
DELL,2026-05-29,115.2,36.26,strong,LOST_DAY1,closed,-271.92003000000125,block:r3_reentry_disabled,paper,2026-05-29 13:46:14.41856+00,421.112609,,,2026-06-08,2026-06-08,15,2026-06-01,,469.47,418,1
HPE,2026-05-29,32.4,11.960219837738812,routine,NO_TRADE_ROW,,,,,,,,,2026-06-08,2026-06-08,14,2026-06-01,2026-06-02,64.25,42.78,0
HPEpC,2026-05-29,36,10.871101241546393,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,163.5,109.84,0
MX,2026-05-29,54,17.967599410898377,routine,NO_TRADE_ROW,,,,,,,,,2026-06-04,2026-06-04,9,2026-06-01,,9.86,8.01,0
NTAP,2026-05-29,96,24.080056179775276,strong,NO_TRADE_ROW,,,,,,,,,2026-06-04,2026-06-04,15,2026-06-01,,186.53,176.69,0
NXT,2026-05-29,44.4,13.698330538747555,strong,NO_TRADE_ROW,,,,,,,,,,,3,2026-06-01,,154.53,155.96,0
PD,2026-05-29,96,25.40322580645161,strong,NO_TRADE_ROW,,,,,,,,,2026-06-10,2026-06-10,14,2026-06-01,,10.7,9.33,0
QURE,2026-05-29,50.4,15.694164989939633,routine,NO_TRADE_ROW,,,,,,,,,2026-06-10,2026-06-01,12,2026-06-01,2026-06-17,50.08,28.75,0
REPL,2026-05-29,96,69.44444444444446,game_changer,NO_TRADE_ROW,,,,,,,,,2026-06-11,2026-06-11,15,2026-06-01,,10.86,7.93,0
SOFX,2026-05-29,48,14.74226804123713,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,11.7699,11.13,0
TSSI,2026-05-29,62.4,15.952732644017727,routine,NO_TRADE_ROW,,,,,,,,,2026-06-15,2026-06-01,15,2026-06-01,,16.17,15.7,0
ALOY,2026-06-01,86.4,14.25,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:56 ET,paper,,,,,2026-06-12,2026-06-12,14,2026-06-02,,19.76,9.39,0
ARMG,2026-06-01,48,20.897204688908936,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,65.9499,53.63,0
CRWG,2026-06-01,44.4,10.271178305735544,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,59.74,45.95,0
ELMT,2026-06-01,96,24.672774869109958,game_changer,NO_TRADE_ROW,,,,,,,,,,,0,,,22.51,19.05,0
EWTX,2026-06-01,36,18.852459016393457,mna,NO_TRADE_ROW,,,,,,,,,,,4,2026-06-02,,40.38,40.6,0
FLNC,2026-06-01,54,24.04661016949154,routine,NO_TRADE_ROW,,,,,,,,,2026-06-08,2026-06-08,15,2026-06-02,,29.97,23.42,0
MGM,2026-06-01,32.4,10.96862834898099,mna,NO_TRADE_ROW,,,,,,,,,,,13,2026-06-02,,50.5,48.46,0
SAIC,2026-06-01,84,15.345489443378113,strong,NO_TRADE_ROW,,,,,,,,,,,10,2026-06-02,,118.42,120.19,0
TMHC,2026-06-01,48,22.350427350427353,mna,NO_TRADE_ROW,,,,,,,,,,,4,2026-06-02,,72.26,71.575,0
AVGU,2026-06-02,42,13.063814106890714,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,63.455,61.98,0
GLWG,2026-06-02,36,11.307565789473683,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,33.23,27.07,0
GRRR,2026-06-02,100.8,17.64,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,23.49,,,2026-06-16,2026-06-11,13,2026-06-03,,19.77,23.16,0
HPE,2026-06-02,115.2,25.28,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,63.95,,,2026-06-08,2026-06-08,12,2026-06-03,,55.99,63.06,0
MRVL,2026-06-02,115.2,24.87,strong,NO_ENTRY,cancelled,0,cancelled,paper,,259.8,,,2026-06-09,2026-06-09,15,2026-06-03,,329.88,253.46,0
MRVU,2026-06-02,54,31.37514918445829,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,308.77,198.14,0
MVLL,2026-06-02,54,30.96959665476086,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,77.6667,50.1133,0
RLAY,2026-06-02,84,16.760168302945296,strong,NO_TRADE_ROW,,,,,,,,,2026-06-08,2026-06-08,15,2026-06-03,,17.7,16.65,0
GME,2026-06-03,72,11.281070745697894,game_changer,NO_TRADE_ROW,,,,,,,,,,,10,2026-06-04,,23.065,23.28,0
GMEU,2026-06-03,60,22.23667100130039,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,9.31,9.4,0
NVTS,2026-06-03,84,15.39,strong,LOST_DAY1,closed,-830.1402160000002,block:r3_reentry_disabled,paper,2026-06-03 13:49:07.660866+00,31.79,,,2026-06-04,2026-06-04,5,2026-06-04,,31.55,30.645,1
NVTX,2026-06-03,62.4,37.68545994065282,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,175,167.04,0
PGY,2026-06-04,66,10.21,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:56 ET,paper,,,,,2026-06-05,2026-06-05,10,2026-06-05,,16.68,14.355,0
RUM,2026-06-04,84,15.49,strong,LOST_DAY1,closed,-983.4593429999984,block:r3_reentry_disabled,paper,2026-06-04 13:49:09.037289+00,9.935633,,,,,15,2026-06-05,,8.71,9.43,1
AGX,2026-06-05,86.4,10.96,game_changer,SKIPPED,skipped,0,block:max_positions: 5/5 (mode=paper),paper,,,,,2026-06-17,2026-06-17,4,2026-06-17,,791.38,697.68,0
ETHD,2026-06-05,40,12.437139703176745,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,99.59,91.67,0
GIII,2026-06-05,45,11.86017478152311,strong,NO_TRADE_ROW,,,,,,,,,,,7,2026-06-08,,36.53,35.84,0
MRLN,2026-06-05,80,27.99442896935933,strong,NO_TRADE_ROW,,,,,,,,,,,9,2026-06-10,,9.115,9.19,0
TTAN,2026-06-05,100.8,16.28,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,84.0775,,,2026-06-15,2026-06-15,5,2026-06-08,,78.7799,83.05,0
NRIX,2026-06-08,75.6,11.5,game_changer,LOST_DAY1,closed,-378.2401519999998,block:r3_reentry_disabled,paper,2026-06-08 13:55:03.263012+00,16.956238,,,,,15,2026-06-09,,24.03,16.725,1
ELVN,2026-06-11,84,18.33,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,45.5171,,,2026-06-18,2026-06-18,14,2026-06-12,,52.39,45.01,0
IDCC,2026-06-11,84,15.2,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,paper,,,,,,,6,2026-06-12,,301.84,275,0
NAVN,2026-06-11,80,17.87,game_changer,LOST_DAY1,closed,-319.46998400000007,block:r3_reentry_disabled,paper,2026-06-11 14:01:39.954252+00,24.399071,,,2026-06-17,2026-06-17,12,2026-06-12,,25.855,24.25,1
AKTS,2026-06-12,54,11.92,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:55 ET,paper,,,,,,,4,2026-06-29,,34.1899,21.36,0
SHAZ,2026-06-12,86.4,11.87,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,74.77,,,2026-06-16,2026-06-16,11,2026-06-16,,97.48,74.6,0
RXT,2026-06-16,84,17.5,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,7.16,,,,2026-06-17,13,2026-06-17,,8.6,6.765,0
JBL,2026-06-17,60,10.77,game_changer,LOST_DAY1,closed,-164.11997800000086,block:r3_reentry_disabled,paper,2026-06-17 14:02:10.034212+00,413.835454,,,,,5,2026-06-18,,390.05,412.36,1
LZB,2026-06-17,54,26.5,routine,NO_TRADE_ROW,,,,,,,,,,,4,2026-06-23,,42.335,42.18,0
QURE,2026-06-17,80,75.2,game_changer,WON_DAY1,closed,215.6200000000007,,paper,2026-07-02 13:31:21.294445+00,44.69,,,2026-06-24,2026-06-24,13,2026-06-18,,50.47,43.55,0
SWBI,2026-06-18,70,15.59,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,16.09,,,,,4,2026-06-22,,17.5,15.8,0
UUUU,2026-06-18,72,12.36,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,18.06,,,,,10,2026-06-19,,16.93,17.92,0
DFTX,2026-06-22,60,14.38,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,39.16,,,2026-07-07,2026-07-07,15,2026-06-23,,49.2,38.58,0
MLTX,2026-06-22,96,19.1,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,20.025,,,,,1,2026-06-23,,22.32,20.025,0
SYRE,2026-06-22,60,12.35,game_changer,LOST_DAY1,closed,-1483.349999999999,,paper,2026-06-24 13:32:58.217781+00,98.49,,,,,11,2026-06-23,,102.06,95,0
ABSI,2026-06-24,100.8,16.33,strong,NO_TRADE_ROW,,,,,,,,,2026-07-06,2026-07-06,15,2026-06-25,,12.055,9.51,0
FCEL,2026-06-24,84,17.51,strong,NO_TRADE_ROW,,,,,,,2026-06-26,,,,15,2026-06-25,,37.88,25.11,0
MU,2026-06-25,96,17.71,game_changer,SKIPPED,skipped,0,setup:price_exceeds_cap: $1235.00/share > $1000 (20% of $5000),paper,,,,,,,4,2026-06-26,,1198.7121,1233,0
SNX,2026-06-25,72,11.22,game_changer,NO_TRADE_ROW,,,,,,,,,,,1,2026-06-26,,282.29,283.2,0
ACAD,2026-06-26,84,15.34,strong,NO_TRADE_ROW,,,,,,,,,,,12,2026-06-29,,26.51,26.38,0
AVAV,2026-06-30,54,25.3,routine,NO_ENTRY,cancelled,0,ORB window unfilled,live,,178.5,,,,,10,2026-07-01,,200.38,176.5,0
WULF,2026-07-06,96,19.92,game_changer,LOST_DAY1,closed,-32.80000000000001,block:r3_reentry_disabled,live,2026-07-06 13:57:29.842241+00,24.62,2026-07-08,,,,11,2026-07-08,,24.575,24.15,1
DOCN,2026-07-07,115.2,15.62,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,live,,146.57,,,,,0,,,148.395,145,0
PENG,2026-07-08,72,10.52,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:55 ET,paper,,,2026-07-09,,,,15,2026-07-09,,89.86,67.85,0
CRCL,2026-07-10,60,10.76,game_changer,LOST_DAY1,closed,-19.180000000000064,block:r3_reentry_disabled,live,2026-07-10 13:40:34.350753+00,70.65,2026-07-21,,,,15,2026-07-13,,72.675,70.66,1
WDFC,2026-07-10,72,14.23,game_changer,LOST_DAY1,closed,-19.029999999999973,block:r3_reentry_disabled,live,2026-07-10 13:40:35.912242+00,296.235,,,,,2,2026-07-13,,267.39,292.093,1
CLSK,2026-07-14,96,17.15,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,live,,15.1,2026-07-15,,,,14,2026-07-15,,16.0995,14.685,0
TSEM,2026-07-14,80,18.57,game_changer,LOST_DAY1,closed,-23.010000000000048,block:r3_reentry_disabled,live,2026-07-14 13:44:34.431088+00,274,,,,,3,2026-07-23,,270.85,271.5,1
AEHR,2026-07-15,96,29.5,game_changer,NO_ENTRY,cancelled,0,rejected,live,,102.46,,,,,13,2026-07-16,,111,98.155,0
MANE,2026-07-15,72,10.66,game_changer,LOST_DAY1,closed,-2.3999999999999773,,live,2026-07-16 13:30:06.279318+00,119.34,,,,,0,,,125.165,118.75,0
HUT,2026-07-20,72,11.54,game_changer,LOST_DAY1,closed,-19.530000000000015,block:r3_reentry_disabled,live,2026-07-20 13:31:57.29657+00,103.48,,,,,9,2026-07-21,,120.38,101.51,1
IREN,2026-07-20,72,13.15,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,live,,,,,,,8,2026-07-23,,43.72,36.392,0
HAS,2026-07-21,72,10.61,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:50 ET,live,,,,,,,13,2026-07-22,,97.89,84.51,0
ARWR,2026-07-22,80,19.57,game_changer,NO_ENTRY,cancelled,0,cancelled,live,,87.92,,,,,13,2026-07-23,,90.97,85.46,0
SMCI,2026-07-22,70,15.88,strong,LOST_DAY1,closed,-14.959999999999994,,live,2026-07-27 14:37:45.699612+00,29.47,2026-08-12,2026-08-12,,,14,2026-07-23,,38.15,28.89,0
NVCR,2026-07-23,84,15.54,strong,LOST_DAY1,closed,-24.133199999999935,,live,2026-07-24 19:36:57.558497+00,19.15,,,,,9,2026-07-24,,21.4506,18,0
THC,2026-07-24,60,14.31,game_changer,LOST_DAY1,closed,-16.279999999999973,block:r3_reentry_disabled,live,2026-07-24 16:43:37.73624+00,241.67,,,,,13,2026-07-27,,270.5652,235.01,1
WKC,2026-07-24,60,11.63,game_changer,LOST_DAY1,closed,-23.799999999999955,block:r3_reentry_disabled,live,2026-07-24 16:02:39.726184+00,40.16,,,,,6,2026-07-27,,40.85,39.995,1
NNE,2026-07-27,57,10.38,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:56 ET,live,,,,,,,5,2026-08-07,,21.13,16.6,0
QBTS,2026-07-27,54,11.29,strong,LOST_DAY1,closed,-22.26000000000009,,live,2026-07-28 13:36:25.188082+00,18.17,,,,,9,2026-08-04,,22,17.86,0
CORZ,2026-07-28,72,11.28,game_changer,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-07-28T14:37:45.699612+00:00,live,,,2026-07-30,,,,10,2026-07-30,,23.6,20.95,0
TER,2026-07-29,60,10.4,game_changer,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-07-29T13:36:25.188082+00:00,live,,,,,,,13,2026-07-30,,444.17,367.895,0
TEVA,2026-07-29,50.4,11.4,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,live,,,,,,,13,2026-07-30,,37.83,33.67,0
ARM,2026-07-30,60,10.77,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,live,,268.48,,,,,9,2026-07-31,,299.285,258,0
CORT,2026-07-30,96,24.21,strong,SKIPPED,skipped,0,setup:stop_too_wide: ORB range $7.25 (6.9%) > 1.5x ATR $6.89,live,,,,,,,13,2026-07-31,,121.72,112,0
EME,2026-07-30,60,10.56,game_changer,SKIPPED,skipped,0,setup:size_too_small: $12 risk / $16.65 per-share < 1 share,live,,,,,,,3,2026-08-17,,864.83,771.66,0
FTNT,2026-07-30,60,10.1,game_changer,LOST_DAY1,closed,-6.6299999999999955,block:r3_reentry_disabled,live,2026-07-30 13:37:50.539792+00,166.65,,,,,9,2026-07-31,,172.09,164,1
LRCX,2026-07-30,84,18.95,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:51 ET,live,,,,,,,12,2026-07-31,,345.28,318.29,0
PWR,2026-07-30,60,12.09,game_changer,SKIPPED,skipped,0,setup:size_too_small: $12 risk / $21.95 per-share < 1 share,live,,,,,,,3,2026-08-17,,724.8,647,0
SIMO,2026-07-30,80,19.18,game_changer,SKIPPED,skipped,0,setup:size_too_small: $12 risk / $29.11 per-share < 1 share,live,,,,,,,4,2026-08-04,,275,259.99,0
BLZE,2026-07-31,72,13.06,game_changer,SKIPPED,skipped,0,window:out_of_orb: detected 09:56 ET,live,,,,,,,14,2026-08-04,2026-08-04,23.99,13.47,0
COHU,2026-07-31,80,22.71,game_changer,SKIPPED,skipped,0,block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00,live,,,,,,,12,2026-08-04,,63.53,57.7,0
