ticker,alert_date,scan_date,stage,reason,universe_sources,base_age,runup_pct,flag_depth_pct,pivot_high_date,pivot_high_price,sma_10,sma_20,held_from_stage,score
TE,2026-05-18,2026-05-22,unqualified,base_age_1_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-20,9.42,,,,0
TE,2026-05-18,2026-05-25,unqualified,base_age_1_below_3,{ninem_universe_watch},1,,,2026-05-20,9.42,,,,0
TE,2026-05-18,2026-05-26,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",2,,,2026-05-20,9.42,,,,0
TE,2026-05-18,2026-05-27,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-26,10.8,,,,0
TE,2026-05-18,2026-05-28,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-27,11.275,,,,0
TE,2026-05-18,2026-05-29,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-27,11.275,,,,0
TE,2026-05-18,2026-06-01,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",2,,,2026-05-27,11.275,,,,0
TE,2026-05-18,2026-06-02,WATCH,runup_201% base_3d close_vs_pivot_+6.8%,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",3,2.014705882352941,,2026-05-27,11.275,9.762,7.772,,1
TE,2026-05-18,2026-06-03,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-06-02,12.25,,,,0
TE,2026-05-18,2026-06-04,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-06-02,12.25,,,,0
TE,2026-05-18,2026-06-05,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,ninem_universe_watch}",2,,,2026-06-02,12.25,,,,0
TE,2026-05-18,2026-06-08,INVALIDATED,close_9.13_below_base_low_close_9.43,"{rs_1m_80,ninem_universe_watch}",3,2.2754010695187166,,2026-06-02,12.25,10.696000000000002,8.762,,0
AGYS,2026-05-19,2026-05-20,unqualified,base_age_0_below_3,{rs_1m_80},0,,,2026-05-19,94.77,,,,0
AGYS,2026-05-19,2026-05-21,unqualified,base_age_1_below_3,{rs_1m_80},1,,,2026-05-19,94.77,,,,0
AGYS,2026-05-19,2026-05-22,unqualified,base_age_2_below_3,{rs_1m_80},2,,,2026-05-19,94.77,,,,0
AGYS,2026-05-19,2026-05-26,INVALIDATED,close_79.25_below_base_low_close_79.50,{rs_1m_80},3,0.5409756097560976,,2026-05-19,94.77,73.72,71.1195,,0
AGYS,2026-05-19,2026-05-27,WATCH,runup_54% base_4d close_vs_pivot_-16.2%,{rs_1m_80},4,0.5409756097560976,,2026-05-19,94.77,74.733,71.7635,,2
AGYS,2026-05-19,2026-05-28,WATCH,runup_54% base_5d close_vs_pivot_-12.8%,"{rs_1m_80,momentum_25pct}",5,0.5409756097560976,,2026-05-19,94.77,76.439,72.608,,2
AGYS,2026-05-19,2026-05-29,WATCH,runup_54% base_6d close_vs_pivot_-8.7%,"{rs_1m_80,momentum_25pct}",6,0.5409756097560976,,2026-05-19,94.77,78.499,73.733,,2
AGYS,2026-05-19,2026-06-01,WATCH,runup_54% base_7d close_vs_pivot_-1.3%,"{rs_1m_80,momentum_25pct}",7,0.5409756097560976,,2026-05-19,94.77,81.12,75.018,,2
AGYS,2026-05-19,2026-06-02,WATCH,runup_54% base_8d close_vs_pivot_-5.3%,{rs_1m_80},8,0.5409756097560976,,2026-05-19,94.77,83.074,76.022,,2
AGYS,2026-05-19,2026-06-03,WATCH,runup_54% base_9d close_vs_pivot_-6.8%,{rs_1m_80},9,0.5409756097560976,,2026-05-19,94.77,84.015,76.978,,3
AGYS,2026-05-19,2026-06-04,WATCH,runup_54% base_10d close_vs_pivot_-5.6%,{rs_1m_80},10,0.5409756097560976,,2026-05-19,94.77,84.82000000000001,78.021,,3
AGYS,2026-05-19,2026-06-05,WATCH,runup_54% base_11d close_vs_pivot_-6.6%,{rs_1m_80},11,0.5409756097560976,,2026-05-19,94.77,85.72200000000001,78.8005,,3
AGYS,2026-05-19,2026-06-08,WATCH,runup_54% base_12d close_vs_pivot_-6.0%,{rs_1m_80},12,0.5409756097560976,,2026-05-19,94.77,86.647,79.6755,,3
AGYS,2026-05-19,2026-06-09,TIGHTENING,range_0.94 vol_0.61,{rs_1m_80},13,0.5409756097560976,,2026-05-19,94.77,87.736,80.728,,4
BKKT,2026-05-19,2026-05-20,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-19,10.99,,,,0
BKKT,2026-05-19,2026-05-21,unqualified,base_age_1_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-19,10.99,,,,0
BKKT,2026-05-19,2026-05-22,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-21,12.58,,,,0
BKKT,2026-05-19,2026-05-25,unqualified,base_age_0_below_3,{ninem_universe_watch},0,,,2026-05-21,12.58,,,,0
BKKT,2026-05-19,2026-05-26,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-22,13.02,,,,0
BKKT,2026-05-19,2026-05-27,unqualified,base_age_1_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-22,13.02,,,,0
BKKT,2026-05-19,2026-05-28,unqualified,base_age_2_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",2,,,2026-05-22,13.02,,,,0
BKKT,2026-05-19,2026-05-29,INVALIDATED,close_10.87_below_base_low_close_11.00,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",3,0.8951965065502183,,2026-05-22,13.02,10.623000000000001,9.794,,0
BKKT,2026-05-19,2026-06-01,INVALIDATED,close_10.50_below_base_low_close_10.87,{ninem_universe_watch},4,0.8951965065502183,,2026-05-22,13.02,10.845,9.8905,,0
BKKT,2026-05-19,2026-06-02,INVALIDATED,close_9.80_below_base_low_close_10.50,"{rs_1m_80,ninem_universe_watch}",5,0.8951965065502183,,2026-05-22,13.02,10.953,9.932500000000001,,0
BKKT,2026-05-19,2026-06-03,INVALIDATED,close_8.92_below_base_low_close_9.80,{rs_1m_80},6,0.8951965065502183,,2026-05-22,13.02,10.876999999999999,9.924,,0
ALAB,2026-05-20,2026-05-21,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-20,287.6999,,,,0
ALAB,2026-05-20,2026-05-22,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-21,298.3568,,,,0
ALAB,2026-05-20,2026-05-25,unqualified,base_age_0_below_3,{ninem_universe_watch},0,,,2026-05-21,298.3568,,,,0
ALAB,2026-05-20,2026-05-26,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-22,315.81,,,,0
ALAB,2026-05-20,2026-05-27,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-26,321.99,,,,0
ALAB,2026-05-20,2026-05-28,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-26,321.99,,,,0
ALAB,2026-05-20,2026-05-29,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-28,354.53,,,,0
ALAB,2026-05-20,2026-06-01,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-28,354.53,,,,0
ALAB,2026-05-20,2026-06-02,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",2,,,2026-05-28,354.53,,,,0
ALAB,2026-05-20,2026-06-03,WATCH,runup_262% base_3d close_vs_pivot_+2.5%,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",3,2.6217182551843905,,2026-05-28,354.53,326.76599999999996,271.7015,,1
ALAB,2026-05-20,2026-06-04,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80}",0,,,2026-06-03,372.37,,,,0
ALAB,2026-05-20,2026-06-05,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80}",1,,,2026-06-03,372.37,,,,0
ALAB,2026-05-20,2026-06-08,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80}",2,,,2026-06-03,372.37,,,,0
ALAB,2026-05-20,2026-06-09,WATCH,runup_280% base_3d close_vs_pivot_-8.2%,"{rs_top200,rs_1m_80}",3,2.8039636326488915,,2026-06-03,372.37,341.988,299.0235,,2
ALAB,2026-05-20,2026-06-10,WATCH,runup_280% base_4d close_vs_pivot_-11.1%,"{rs_top200,rs_1m_80}",4,2.8039636326488915,,2026-06-03,372.37,342.541,305.3455,,2
ARM,2026-05-20,2026-05-21,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-20,259.44,,,,0
ARM,2026-05-20,2026-05-22,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-21,298.7,,,,0
ARM,2026-05-20,2026-05-25,unqualified,base_age_0_below_3,{ninem_universe_watch},0,,,2026-05-21,298.7,,,,0
ARM,2026-05-20,2026-05-26,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-22,315,,,,0
ARM,2026-05-20,2026-05-27,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-26,324.9999,,,,0
ARM,2026-05-20,2026-05-28,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-26,324.9999,,,,0
ARM,2026-05-20,2026-05-29,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-28,349.42,,,,0
ARM,2026-05-20,2026-06-01,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-28,349.42,,,,0
ARM,2026-05-20,2026-06-02,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-06-01,421.6899,,,,0
ARM,2026-05-20,2026-06-03,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-06-01,421.6899,,,,0
ARM,2026-05-20,2026-06-04,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",2,,,2026-06-01,421.6899,,,,0
ARM,2026-05-20,2026-06-05,INVALIDATED,close_342.93_below_base_low_close_393.44,"{rs_top200,rs_1m_80}",3,2.790126918814562,,2026-06-01,421.6899,357.87600000000003,293.235,,0
ARM,2026-05-20,2026-06-08,WATCH,runup_268% base_4d close_vs_pivot_-17.9%,"{rs_top200,rs_1m_80}",4,2.6843292123542004,,2026-06-01,421.6899,361.864,299.89099999999996,,1
ARM,2026-05-20,2026-06-09,INVALIDATED,close_324.86_below_base_low_close_342.93,"{rs_top200,rs_1m_80}",5,2.6843292123542004,,2026-06-01,421.6899,362.22799999999995,305.50149999999996,,0
ARM,2026-05-20,2026-06-10,INVALIDATED,close_307.43_below_base_low_close_324.86,"{rs_top200,rs_1m_80}",6,2.6843292123542004,,2026-06-01,421.6899,362.7,310.477,,0
DYN,2026-05-20,2026-05-29,unqualified,runup_39%_below_50%,{rs_1m_80},24,0.3906428571428573,,2026-04-23,19.469,,,,0
DYN,2026-05-20,2026-06-09,unqualified,runup_24%_below_50%,{rs_1m_80},6,0.23566477630749838,,2026-05-29,19.61,,,,0
GH,2026-05-20,2026-05-21,unqualified,base_age_0_below_3,{rs_1m_80},0,,,2026-05-20,115.08,,,,0
GH,2026-05-20,2026-05-22,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct}",0,,,2026-05-21,121.01,,,,0
GH,2026-05-20,2026-05-26,unqualified,base_age_1_below_3,"{rs_1m_80,momentum_25pct}",1,,,2026-05-21,121.01,,,,0
GH,2026-05-20,2026-05-27,unqualified,base_age_2_below_3,"{rs_1m_80,momentum_25pct}",2,,,2026-05-21,121.01,,,,0
GH,2026-05-20,2026-05-28,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct}",0,,,2026-05-27,128,,,,0
GH,2026-05-20,2026-05-29,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct}",0,,,2026-05-28,133.705,,,,0
GH,2026-05-20,2026-06-01,unqualified,base_age_1_below_3,"{rs_1m_80,momentum_25pct}",1,,,2026-05-28,133.705,,,,0
GH,2026-05-20,2026-06-02,unqualified,base_age_2_below_3,"{rs_1m_80,momentum_25pct}",2,,,2026-05-28,133.705,,,,0
GH,2026-05-20,2026-06-03,INVALIDATED,close_127.03_below_base_low_close_129.14,{rs_1m_80},3,0.7934942991281022,,2026-05-28,133.705,124.854,110.56500000000001,,0
GH,2026-05-20,2026-06-04,WATCH,runup_79% base_4d close_vs_pivot_-0.5%,{rs_1m_80},4,0.7934942991281022,,2026-05-28,133.705,126.66299999999998,112.6055,,1
GH,2026-05-20,2026-06-05,INVALIDATED,close_125.61_below_base_low_close_127.03,{rs_1m_80},5,0.7934942991281022,,2026-05-28,133.705,127.423,114.273,,0
GH,2026-05-20,2026-06-08,INVALIDATED,close_124.89_below_base_low_close_125.61,{rs_1m_80},6,0.7934942991281022,,2026-05-28,133.705,128.017,115.7325,,0
GH,2026-05-20,2026-06-09,WATCH,runup_79% base_7d close_vs_pivot_-2.7%,{rs_1m_80},7,0.7934942991281022,,2026-05-28,133.705,129.044,117.40299999999999,,2
GH,2026-05-20,2026-06-10,WATCH,runup_79% base_8d close_vs_pivot_-2.2%,{rs_1m_80},8,0.7934942991281022,,2026-05-28,133.705,129.363,118.941,,2
IBRX,2026-05-20,2026-05-21,unqualified,runup_31%_below_50%,"{rs_1m_80,ninem_universe_watch}",8,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-05-22,unqualified,runup_31%_below_50%,{ninem_universe_watch},9,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-05-25,unqualified,runup_31%_below_50%,{ninem_universe_watch},9,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-05-26,unqualified,runup_31%_below_50%,{ninem_universe_watch},10,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-05-27,unqualified,runup_31%_below_50%,{ninem_universe_watch},11,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-05-28,unqualified,runup_31%_below_50%,{ninem_universe_watch},12,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-05-29,unqualified,runup_31%_below_50%,{ninem_universe_watch},13,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-06-01,unqualified,runup_31%_below_50%,{ninem_universe_watch},14,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-06-02,unqualified,runup_31%_below_50%,{ninem_universe_watch},15,0.308868501529052,,2026-05-08,8.56,,,,0
IBRX,2026-05-20,2026-06-03,unqualified,runup_31%_below_50%,{ninem_universe_watch},16,0.308868501529052,,2026-05-08,8.56,,,,0
IMVT,2026-05-20,2026-05-21,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-20,36.285,,,,0
IMVT,2026-05-20,2026-05-22,unqualified,base_age_1_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-20,36.285,,,,0
IMVT,2026-05-20,2026-05-25,unqualified,base_age_1_below_3,{ninem_universe_watch},1,,,2026-05-20,36.285,,,,0
IMVT,2026-05-20,2026-05-26,unqualified,base_age_2_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",2,,,2026-05-20,36.285,,,,0
IMVT,2026-05-20,2026-05-27,INVALIDATED,close_33.41_below_base_low_close_33.83,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",3,0.592145677928916,,2026-05-20,36.285,30.96,29.45225,,0
