ticker,scan_date,stage,reason,universe_sources
BW,2026-08-17,unqualified,runup_21%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
ETON,2026-08-17,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3}"
FRMI,2026-08-17,unqualified,runup_41%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
BW,2026-08-18,unqualified,runup_52%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
ETON,2026-08-18,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3}"
FRMI,2026-08-18,unqualified,runup_41%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
ETON,2026-08-19,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3}"
ETON,2026-08-20,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3}"
MRVL,2026-08-20,unqualified,base_age_0_below_3,"{rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
ETON,2026-08-21,WATCH,runup_97% base_3d close_vs_pivot_+1.0%,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3}"
MRVL,2026-08-21,unqualified,base_age_0_below_3,"{rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
MRVL,2026-08-24,unqualified,base_age_1_below_3,"{rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
MRVL,2026-08-25,unqualified,base_age_2_below_3,"{rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
MRVL,2026-08-26,unqualified,runup_55%_below_90%,"{rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
PHVS,2026-09-09,unqualified,runup_21%_below_90%,"{rs_1m_80,magna53_failed_r3}"
PHVS,2026-09-10,unqualified,runup_21%_below_90%,"{rs_1m_80,magna53_failed_r3}"
PHVS,2026-09-11,unqualified,runup_21%_below_90%,"{rs_top200,rs_1m_80,magna53_failed_r3}"
PHVS,2026-09-14,unqualified,runup_21%_below_90%,"{rs_top200,rs_1m_80,magna53_failed_r3}"
DFTX,2026-09-15,INVALIDATED,close_36.82_below_base_low_close_37.73,{magna53_failed_r3}
PHVS,2026-09-15,unqualified,runup_21%_below_90%,"{rs_1m_80,magna53_failed_r3}"
DFTX,2026-09-16,INVALIDATED,close_37.85_below_sma20_40.69,{magna53_failed_r3}
DFTX,2026-09-17,INVALIDATED,close_38.68_below_sma20_40.33,{magna53_failed_r3}
DFTX,2026-09-18,unqualified,runup_32%_below_90%,{magna53_failed_r3}
DFTX,2026-09-21,unqualified,runup_32%_below_90%,{magna53_failed_r3}
