=== CONF ===
id|ticker|alert_date|confidence_multiplier
12357|NNE|2026-07-27|1
12358|CORZ|2026-07-28|1.2
12359|TER|2026-07-29|1
12360|TEVA|2026-07-29|1.2
12361|CORT|2026-07-30|1.2
12362|FTNT|2026-07-30|1
12363|PWR|2026-07-30|1
12364|EME|2026-07-30|1
12365|ARM|2026-07-30|1
12366|SIMO|2026-07-30|1
12367|LRCX|2026-07-30|1.2
12368|COHU|2026-07-31|1
12369|NWL|2026-07-31|1
12370|FLNC|2026-07-31|1
12371|FET|2026-07-31|1.2
12372|MPWR|2026-07-31|1
12373|BLZE|2026-07-31|1.2
12374|FTK|2026-08-03|1
12375|LIND|2026-08-03|1
12376|BLZE|2026-08-04|1
12377|PLTR|2026-08-04|1.2
12378|LIFE|2026-08-04|1
12379|AEIS|2026-08-04|1.2
12380|CAT|2026-08-04|1
12381|VOYG|2026-08-04|1
12382|BTDR|2026-08-04|1
12383|ZBRA|2026-08-04|1
12384|AMRC|2026-08-04|1
12385|INSP|2026-08-04|1
12386|TSAT|2026-08-04|1
12387|APPS|2026-08-05|1.2
12388|KODK|2026-08-05|1.2
12389|TATT|2026-08-05|1.2
12390|KTOS|2026-08-05|1.2
12391|PRGO|2026-08-05|1
12392|KMT|2026-08-05|1
12393|KMT|2026-08-05|1
12394|ROCK|2026-08-05|1.2
12395|ECG|2026-08-05|1
12396|HGTY|2026-08-05|1.2
12397|SITM|2026-08-06|1
12398|AEVA|2026-08-06|1
12399|U|2026-08-06|1
12400|INSM|2026-08-06|1
12401|LFST|2026-08-06|1
12402|RDW|2026-08-06|1.2
12403|SOUN|2026-08-06|1
12404|TASK|2026-08-06|1
12405|TRUP|2026-08-06|1
12406|CAI|2026-08-06|1
12407|DCTH|2026-08-06|1
12408|DOCS|2026-08-07|1
12409|PUBM|2026-08-07|1
12410|TEAM|2026-08-07|1.2
12411|QNST|2026-08-07|1
12412|FIGS|2026-08-07|1
12413|TWLO|2026-08-07|1
12414|FROG|2026-08-07|1.2
12415|CRSR|2026-08-07|1
12416|NET|2026-08-07|1.2
12417|INOD|2026-08-07|1
12418|WLDN|2026-08-07|1
12419|ACMR|2026-08-07|1.2
12420|ACMR|2026-08-07|1.2
12421|MTW|2026-08-07|1
12422|PSIX|2026-08-07|1
12423|PRAA|2026-08-07|1
12424|ONTO|2026-08-07|1
12425|SLN|2026-08-10|1
12426|ABCL|2026-08-10|1
12427|TH|2026-08-10|1.2
12428|ACHR|2026-08-10|1
12429|NESR|2026-08-10|1.2
12430|BW|2026-08-11|1
12431|RIOT|2026-08-11|1.2
12432|FRMI|2026-08-11|1
12433|SE|2026-08-11|1.2
12434|RPD|2026-08-11|1
12435|EROC|2026-08-12|1
12436|GLBE|2026-08-12|1
12437|WYFI|2026-08-12|1
12438|NBIS|2026-08-12|1.2
12439|BRUN|2026-08-12|1
12440|ATRO|2026-08-12|1
12441|HRB|2026-08-12|1.2
12442|CRWV|2026-08-12|1
12443|BE|2026-08-12|1
12444|MRX|2026-08-12|1.2
12445|HLIT|2026-08-13|1
12446|CRMD|2026-08-13|1.2
12447|CGEM|2026-08-13|1
12448|OMER|2026-08-13|1
12449|KURA|2026-08-13|1.2
12450|BLSH|2026-08-13|1
12451|HTFL|2026-08-14|1
12452|RDDT|2026-08-14|1.2
12453|ETON|2026-08-14|1
12454|VERA|2026-08-14|1.2
12455|LPTH|2026-08-14|1.2
12456|NMAX|2026-08-14|1.2
12457|STDN|2026-08-14|1.2
12458|ARGX|2026-08-17|1.2
12459|CBRS|2026-08-17|1
12460|AMLX|2026-08-18|1
12461|MRNA|2026-08-19|1.2
12462|MRVL|2026-08-19|1.2
12463|TEM|2026-08-19|1
12464|TWST|2026-08-19|1
12465|RARE|2026-08-20|1
12466|BULL|2026-08-20|1.2
12467|SCSC|2026-08-20|1
12468|UUUU|2026-08-21|1.2
12469|CRWD|2026-08-27|1.2
12470|OKTA|2026-08-27|1
12471|DG|2026-08-27|1.2
12472|VEEV|2026-08-27|1.2
12473|CHRN|2026-08-27|1.2
12474|SOLS|2026-08-28|1
(270 rows)
