ticker|alert_date|era|acct|status|reason|stop_recon|stop_live|stop_match|entered|entry_recon|entry_live|partial_recon|partial_live|final_recon|final_live|r_recon|r_live|dr|gap_through
QURE|2026-06-17|as_of_2026-06-17|paper|abstain|entry_window_gaps:389_of_389|42.5|42.5|True|False||44.69|False|True||stop_hit||0.509||False
SYRE|2026-06-22|as_of_2026-06-22|paper|abstain|entry_window_gaps:389_of_389|95.0|95.0|True|False||98.49|False|False||stop_hit||-5.016||False
WULF|2026-07-06|as_of_2026-07-06|live|settled||23.8|23.8|True|True|24.61|24.62|False|False|stop_hit|stop_hit|-0.687|-0.696|0.008|False
CRCL|2026-07-10|as_of_2026-07-10|live|settled||69.29|69.29|True|True|70.66|70.65|False|False|stop_hit|stop_hit|-0.806|-0.806|0.0|False
WDFC|2026-07-10|as_of_2026-07-10|live|settled||287.06|287.06|True|True|295.0|296.235|False|False|stop_hit|stop_hit|-0.668|-0.8|0.132|False
TSEM|2026-07-14|as_of_2026-07-14|live|settled||266.34|266.34|True|True|273.25|274.0|False|False|stop_hit|stop_hit|-0.943|-1.047|0.104|False
MANE|2026-07-15|as_of_2026-07-15|live|abstain|day0_fill_bar_straddles_stop|118.02|118.02|True|True|118.75|119.34|False|False||stop_hit||-0.106||False
HUT|2026-07-20|as_of_2026-07-20|live|abstain|day0_fill_bar_straddles_stop|101.4482|101.4482|True|True|103.48|103.48|False|False||stop_hit||-0.981||False
SMCI|2026-07-22|as_of_2026-07-22|live|settled||28.5|28.5|True|True|29.48|29.47|False|False|stop_hit|stop_hit|-0.984|-0.682|-0.301|False
NVCR|2026-07-23|as_of_2026-07-23|live|settled||18.0|18.0|True|True|19.05|19.15|False|False|stop_hit|stop_hit|-0.978|-1.07|0.092|False
THC|2026-07-24|as_of_2026-07-24|live|settled||233.58|233.58|True|True|240.47|241.67|False|False|stop_hit|stop_hit|-0.684|-0.808|0.124|False
WKC|2026-07-24|as_of_2026-07-24|live|settled||39.0|39.0|True|True|39.995|40.16|False|False|stop_hit|stop_hit|-0.987|-1.181|0.193|False
QBTS|2026-07-27|as_of_2026-07-27|live|settled||17.75|17.75|True|True|18.17|18.17|False|False|stop_hit|stop_hit|-0.92|-0.92|0.0|False
FTNT|2026-07-30|as_of_2026-07-30|live|settled||160.185|160.185|True|True|166.65|166.65|False|False|stop_hit|stop_hit|-0.541|-0.554|0.014|False
BLZE|2026-08-04|as_of_2026-08-04|live|settled||20.1|20.1|True|True|21.7499|21.8121|False|False|stop_hit|stop_hit|-0.967|-1.027|0.06|False
BTDR|2026-08-04|as_of_2026-08-04|live|settled||12.48|12.48|True|True|12.85|12.85|False|False|stop_hit|stop_hit|-0.763|-0.784|0.021|False
PLTR|2026-08-04|as_of_2026-08-04|live|settled||143.28|143.28|True|True|148.63|149.0545|True|True|stop_hit|stop_hit|3.033|3.307|-0.274|False
FIGS|2026-08-07|as_of_2026-08-07|live|settled||15.19|15.19|True|True|15.5|15.495082|True|True|stop_hit|stop_hit|-0.006|-0.143|0.136|False
NET|2026-08-07|as_of_2026-08-07|live|settled||311.0|311.0|True|True|318.5|316.13|False|False|stop_hit|stop_hit|-0.469|-0.321|-0.148|False
TEAM|2026-08-07|as_of_2026-08-07|live|settled||143.21|143.21|True|True|146.8|147.13|False|False|stop_hit|stop_hit|-0.449|-0.499|0.05|False
ABCL|2026-08-10|as_of_2026-08-10|live|settled||8.4|8.4|True|True|8.96|8.96|True|True|stop_hit|stop_hit|2.675|2.663|0.012|False
BW|2026-08-11|as_of_2026-08-11|live|settled||11.5|11.5|True|True|12.08|12.07|False|False|stop_hit|stop_hit|-0.955|-1.021|0.066|False
FRMI|2026-08-11|as_of_2026-08-11|live|abstain|day0_fill_bar_straddles_stop|7.05|7.05|True|True|7.24|7.29|False|False||stop_hit||-0.649||False
ETON|2026-08-14|as_of_2026-08-14|live|settled||53.01|53.01|True|True|55.4427|55.2012|True|True|stop_hit|partial_profit|1.703|0.395|1.308|False
AMLX|2026-08-18|as_of_2026-08-18|live|settled||27.09|27.089999999999996|True|True|30.07|30.211219|True|True|stop_hit|stop_hit|1.297|1.291|0.005|False
MRVL|2026-08-19|as_of_2026-08-19|live|settled||230.15|230.15|True|True|241.53|241.5|False|False|stop_hit|stop_hit|-0.91|-0.865|-0.045|False
CRWD|2026-08-27|as_of_2026-08-27|live|open_at_horizon||201.28|201.28|True|True|210.99|213.3058|True|True||stop_hit||0.498||False
SOLS|2026-08-28|as_of_2026-08-28|live|settled||62.69|62.69|True|True|66.75|66.77|False|False|stop_hit|stop_hit|-1.0|-1.01|0.01|False
