ticker|theme|stage|corr|overlap|basket_n|members_n|verdict|sector|singleton_sector|paying
NOW|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.8972|60|17|18|admit|Technology|False|False
AVPT|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.7494|60|17|18|admit|Technology|False|False
PRGS|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.6909|60|17|18|admit|Technology|False|False
ORCL|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|-0.1372|60|17|18|reject|Technology|False|False
PLTR|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.4401|60|17|18|admit|Technology|False|False
PEGA|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.8208|60|17|18|admit|Technology|False|False
JXN|Annuity-Focused Insurers|Mainstream|0.4995|60|3|4|admit|Financial Services|False|True
EQH|Annuity-Focused Insurers|Mainstream|0.8056|60|3|4|admit|Financial Services|False|True
CNO|Annuity-Focused Insurers|Mainstream|0.4269|60|3|4|admit|Financial Services|False|True
CRBG|Annuity-Focused Insurers|Mainstream|0.8316|60|3|4|admit|Financial Services|False|True
OSBC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.8207|60|44|45|admit|Financial Services|False|False
JPM|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.4753|60|44|45|admit|Financial Services|False|False
HIFS|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.5102|60|44|45|admit|Financial Services|False|False
BBVA|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.2479|60|44|45|reject|Financial Services|False|False
HWC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7824|60|44|45|admit|Financial Services|False|False
RBCAA|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7129|60|44|45|admit|Financial Services|False|False
AMAL|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.73|60|44|45|admit|Financial Services|False|False
FCF|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7626|60|44|45|admit|Financial Services|False|False
CHCO|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7041|60|44|45|admit|Financial Services|False|False
BCS|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.2378|60|44|45|reject|Financial Services|False|False
CBSH|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7364|60|44|45|admit|Financial Services|False|False
FSUN|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.4795|60|44|45|admit|Financial Services|False|False
TRMK|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7897|60|44|45|admit|Financial Services|False|False
CATY|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.8327|60|44|45|admit|Financial Services|False|False
STBA|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.729|60|44|45|admit|Financial Services|False|False
ING|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.3604|60|44|45|admit|Financial Services|False|False
FITB|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.8099|60|44|45|admit|Financial Services|False|False
DCOM|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7964|60|44|45|admit|Financial Services|False|False
HOMB|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7734|60|44|45|admit|Financial Services|False|False
HSBC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.3634|60|44|45|admit|Financial Services|False|False
CVBF|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.8017|60|44|45|admit|Financial Services|False|False
SFNC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7164|60|44|45|admit|Financial Services|False|False
NBN|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.5507|60|44|45|admit|Financial Services|False|False
WFC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.5935|60|44|45|admit|Financial Services|False|False
LYG|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.3448|60|44|45|reject|Financial Services|False|False
SAN|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.2785|60|44|45|reject|Financial Services|False|False
OFG|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7049|60|44|45|admit|Financial Services|False|False
NWBI|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7821|60|44|45|admit|Financial Services|False|False
C|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.3094|60|44|45|reject|Financial Services|False|False
QCRH|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.8188|60|44|45|admit|Financial Services|False|False
BUSE|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7909|60|44|45|admit|Financial Services|False|False
ESQ|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.5683|60|44|45|admit|Financial Services|False|False
SMFG|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.3527|60|44|45|admit|Financial Services|False|False
MFG|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.2423|60|44|45|reject|Financial Services|False|False
CFG|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.8057|60|44|45|admit|Financial Services|False|False
NWG|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.3507|60|44|45|admit|Financial Services|False|False
NBTB|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7495|60|44|45|admit|Financial Services|False|False
HOPE|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7785|60|44|45|admit|Financial Services|False|False
MUFG|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.413|60|44|45|admit|Financial Services|False|False
FBP|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.6941|60|44|45|admit|Financial Services|False|False
CBC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7281|60|44|45|admit|Financial Services|False|False
FIBK|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7933|60|44|45|admit|Financial Services|False|False
PFBC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.6947|60|44|45|admit|Financial Services|False|False
WABC|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.7186|60|44|45|admit|Financial Services|False|False
DB|Bank Stocks: Rising-Rate NIM Expansion|Fading|0.2227|60|44|45|reject|Financial Services|False|False
COIN|Bitcoin Holding & Trading Proxy Equities|Mainstream||0|2|3|unjudgeable:thin_basket|Financial Services|False|True
GLXY|Bitcoin Holding & Trading Proxy Equities|Mainstream||0|2|3|unjudgeable:thin_basket|Financial Services|False|True
ASST|Bitcoin Holding & Trading Proxy Equities|Mainstream||0|2|3|unjudgeable:thin_basket|Financial Services|False|True
CLSK|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.9257|60|9|10|admit|Financial Services|False|True
MARA|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.869|60|9|10|admit|Financial Services|False|True
HUT|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.8783|60|9|10|admit|Financial Services|False|True
IOND|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.1811|41|9|10|reject|Financial Services|False|True
CIFR|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.8859|60|9|10|admit|Technology|False|True
RIOT|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.8772|60|9|10|admit|Financial Services|False|True
WULF|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.8458|60|9|10|admit|Financial Services|False|True
BTDR|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.8011|60|9|10|admit|Technology|False|True
IREN|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.8052|60|9|10|admit|Financial Services|False|True
ABTC|Bitcoin Mining Stocks Rotation Reversal|Mainstream|0.5485|60|9|10|admit|Financial Services|False|True
SBET|Bitcoin Treasury & Crypto Proxy Equities Correlation Basket|Mainstream|0.8908|60|4|5|admit|Financial Services|False|True
PURR|Bitcoin Treasury & Crypto Proxy Equities Correlation Basket|Mainstream|0.7578|60|4|5|admit|Financial Services|False|True
CRCL|Bitcoin Treasury & Crypto Proxy Equities Correlation Basket|Mainstream|0.7902|60|4|5|admit|Financial Services|False|True
BMNR|Bitcoin Treasury & Crypto Proxy Equities Correlation Basket|Mainstream|0.8408|60|4|5|admit|Financial Services|False|True
ASST|Bitcoin Treasury & Crypto Proxy Equities Correlation Basket|Mainstream|0.7978|60|4|5|admit|Financial Services|False|True
FSK|Business Development Companies & Private Credit Lenders|Nascent|0.8049|60|6|7|admit|Financial Services|False|False
TRIN|Business Development Companies & Private Credit Lenders|Nascent|0.6397|60|6|7|admit|Financial Services|False|False
OTF|Business Development Companies & Private Credit Lenders|Nascent|0.6748|60|6|7|admit|Financial Services|False|False
BXSL|Business Development Companies & Private Credit Lenders|Nascent|0.7937|60|6|7|admit|Financial Services|False|False
OBDC|Business Development Companies & Private Credit Lenders|Nascent|0.8147|60|6|7|admit|Financial Services|False|False
HTGC|Business Development Companies & Private Credit Lenders|Nascent|0.6057|60|6|7|admit|Financial Services|False|False
ARCC|Business Development Companies & Private Credit Lenders|Nascent|0.7656|60|6|7|admit|Financial Services|False|False
TD|Canadian Big Banks|Nascent|0.873|60|4|5|admit|Financial Services|False|False
BNS|Canadian Big Banks|Nascent|0.8244|60|4|5|admit|Financial Services|False|False
CM|Canadian Big Banks|Nascent|0.9095|60|4|5|admit|Financial Services|False|False
RY|Canadian Big Banks|Nascent|0.936|60|4|5|admit|Financial Services|False|False
BMO|Canadian Big Banks|Nascent|0.8838|60|4|5|admit|Financial Services|False|False
ATRC|Cardiac & Bioelectric Ablation Device Innovators|Mainstream||0|1|2|unjudgeable:thin_basket|Healthcare|False|True
PLSE|Cardiac & Bioelectric Ablation Device Innovators|Mainstream||0|1|2|unjudgeable:thin_basket|Healthcare|False|True
DDOG|Cloud Application Delivery & Observability Infrastructure|Mainstream|0.7458|60|3|4|admit|Technology|False|True
ATEN|Cloud Application Delivery & Observability Infrastructure|Mainstream|0.6261|60|3|4|admit|Technology|False|True
DT|Cloud Application Delivery & Observability Infrastructure|Mainstream|0.4057|60|3|4|admit|Technology|False|True
FSLY|Cloud Application Delivery & Observability Infrastructure|Mainstream|0.6534|60|3|4|admit|Technology|False|True
APPF|Cloud Application Software Rotation (Oversold Turning Up)|Fading||0|2|3|unjudgeable:thin_basket|Technology|False|False
PCOR|Cloud Application Software Rotation (Oversold Turning Up)|Fading||0|2|3|unjudgeable:thin_basket|Technology|False|False
DUOL|Cloud Application Software Rotation (Oversold Turning Up)|Fading||0|2|3|unjudgeable:thin_basket|Technology|False|False
NICE|Cloud Contact Center & CCaaS Communication Platforms|Mainstream|0.7248|60|3|4|admit|Technology|False|True
FIVN|Cloud Contact Center & CCaaS Communication Platforms|Mainstream|0.789|60|3|4|admit|Technology|False|True
TWLO|Cloud Contact Center & CCaaS Communication Platforms|Mainstream|0.539|60|3|4|admit|Technology|False|True
RNG|Cloud Contact Center & CCaaS Communication Platforms|Mainstream|0.5785|60|3|4|admit|Technology|False|True
MDB|Cloud Data Storage & Analytics Infrastructure|Mainstream|0.4001|60|3|4|admit|Technology|False|True
ESTC|Cloud Data Storage & Analytics Infrastructure|Mainstream|0.2566|60|3|4|reject|Technology|False|True
SNOW|Cloud Data Storage & Analytics Infrastructure|Mainstream|0.5002|60|3|4|admit|Technology|False|True
APLD|Cloud Data Storage & Analytics Infrastructure|Mainstream|-0.1822|60|3|4|reject|Technology|False|True
SPSC|Cloud Supply Chain & Warehouse Management Software|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
MANH|Cloud Supply Chain & Warehouse Management Software|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
DSGX|Cloud Supply Chain & Warehouse Management Software|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
HNI|Commercial, Office & Home Furniture Retailers and Manufacturers|Fading|0.5296|60|4|5|admit|Consumer Cyclical|False|False
MLKN|Commercial, Office & Home Furniture Retailers and Manufacturers|Fading|0.5214|60|4|5|admit|Consumer Cyclical|False|False
W|Commercial, Office & Home Furniture Retailers and Manufacturers|Fading|0.3799|60|4|5|admit|Consumer Cyclical|False|False
WSM|Commercial, Office & Home Furniture Retailers and Manufacturers|Fading|0.7092|60|4|5|admit|Consumer Cyclical|False|False
ARHS|Commercial, Office & Home Furniture Retailers and Manufacturers|Fading|0.3295|60|4|5|reject|Consumer Cyclical|False|False
LOGI|Consumer PC & Gaming Hardware Refresh Cycle|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
HPQ|Consumer PC & Gaming Hardware Refresh Cycle|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
CRSR|Consumer PC & Gaming Hardware Refresh Cycle|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
ERO|Copper Mining & Production|Accelerating|0.8809|60|6|7|admit|Basic Materials|False|True
IE|Copper Mining & Production|Accelerating|0.7701|60|6|7|admit|Basic Materials|False|True
HBM|Copper Mining & Production|Accelerating|0.9101|60|6|7|admit|Basic Materials|False|True
RIO|Copper Mining & Production|Accelerating|0.6865|60|6|7|admit|Basic Materials|False|True
SCCO|Copper Mining & Production|Accelerating|0.8686|60|6|7|admit|Basic Materials|False|True
FCX|Copper Mining & Production|Accelerating|0.9291|60|6|7|admit|Basic Materials|False|True
TECK|Copper Mining & Production|Accelerating|0.7523|60|6|7|admit|Basic Materials|False|True
CPAY|Corporate Spend, Expense Management & Financial Operations Software|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
BILL|Corporate Spend, Expense Management & Financial Operations Software|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
WEX|Corporate Spend, Expense Management & Financial Operations Software|Mainstream||0|2|3|unjudgeable:thin_basket|Technology|False|True
ECO|Crude & Product Tanker Shipping|Mainstream|0.8025|60|12|13|admit|Industrials|False|True
HAFN|Crude & Product Tanker Shipping|Mainstream|0.8413|60|12|13|admit|Industrials|False|True
TNK|Crude & Product Tanker Shipping|Mainstream|0.859|60|12|13|admit|Energy|False|True
TRMD|Crude & Product Tanker Shipping|Mainstream|0.8721|60|12|13|admit|Energy|False|True
ASC|Crude & Product Tanker Shipping|Mainstream|0.9046|60|12|13|admit|Industrials|False|True
INSW|Crude & Product Tanker Shipping|Mainstream|0.9016|60|12|13|admit|Energy|False|True
NAT|Crude & Product Tanker Shipping|Mainstream|0.887|60|12|13|admit|Energy|False|True
FRO|Crude & Product Tanker Shipping|Mainstream|0.8946|60|12|13|admit|Energy|False|True
TEN|Crude & Product Tanker Shipping|Mainstream|0.8834|60|12|13|admit|Energy|False|True
SR|Crude & Product Tanker Shipping|Mainstream|0.105|60|12|13|reject|Utilities|False|True
ATO|Crude & Product Tanker Shipping|Mainstream|0.2665|60|12|13|reject|Utilities|False|True
STNG|Crude & Product Tanker Shipping|Mainstream|0.8062|60|12|13|admit|Energy|False|True
DHT|Crude & Product Tanker Shipping|Mainstream|0.8674|60|12|13|admit|Energy|False|True
AMPL|Customer Engagement & Marketing/CX SaaS Platforms|Fading||0|1|2|unjudgeable:thin_basket|Technology|False|False
FRSH|Customer Engagement & Marketing/CX SaaS Platforms|Fading||0|1|2|unjudgeable:thin_basket|Technology|False|False
EMBJ|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.0863|60|8|9|reject|Industrials|False|True
ARXS|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.4159|60|8|9|admit|Industrials|False|True
AVAV|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.4104|60|8|9|admit|Industrials|False|True
RTX|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.1573|60|8|9|reject|Industrials|False|True
MDA|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.6359|60|8|9|admit|Industrials|False|True
RKLB|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.5812|60|8|9|admit|Industrials|False|True
DPC|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.4275|60|8|9|admit|Industrials|False|True
ATI|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.4721|60|8|9|admit|Industrials|False|True
DCO|Defense Electronics & Aerospace Subsystem Suppliers|Mainstream|0.6332|60|8|9|admit|Industrials|False|True
ICFI|Defense Intelligence & Cybersecurity IT Contractors|Mainstream|0.5052|60|6|7|admit|Industrials|False|True
CACI|Defense Intelligence & Cybersecurity IT Contractors|Mainstream|0.6402|60|6|7|admit|Technology|False|True
LDOS|Defense Intelligence & Cybersecurity IT Contractors|Mainstream|0.6162|60|6|7|admit|Technology|False|True
SAIC|Defense Intelligence & Cybersecurity IT Contractors|Mainstream|0.686|60|6|7|admit|Technology|False|True
BAH|Defense Intelligence & Cybersecurity IT Contractors|Mainstream|0.682|60|6|7|admit|Industrials|False|True
EFOR|Defense Intelligence & Cybersecurity IT Contractors|Mainstream|0.1894|60|6|7|reject|Technology|False|True
VVX|Defense Intelligence & Cybersecurity IT Contractors|Mainstream|0.339|60|6|7|reject|Industrials|False|True
SPB|Defensive Consumer Staples Rotation|Fading|0.4417|60|16|17|admit|Consumer Defensive|False|False
SJM|Defensive Consumer Staples Rotation|Fading|0.6838|60|16|17|admit|Consumer Defensive|False|False
DG|Defensive Consumer Staples Rotation|Fading|0.6317|60|16|17|admit|Consumer Defensive|False|False
EPC|Defensive Consumer Staples Rotation|Fading|0.5079|60|16|17|admit|Consumer Defensive|False|False
PM|Defensive Consumer Staples Rotation|Fading|0.6071|60|16|17|admit|Consumer Defensive|False|False
KR|Defensive Consumer Staples Rotation|Fading|0.6094|60|16|17|admit|Consumer Defensive|False|False
KHC|Defensive Consumer Staples Rotation|Fading|0.6891|60|16|17|admit|Consumer Defensive|False|False
TGT|Defensive Consumer Staples Rotation|Fading|0.5933|60|16|17|admit|Consumer Defensive|False|False
MDLZ|Defensive Consumer Staples Rotation|Fading|0.764|60|16|17|admit|Consumer Defensive|False|False
DEO|Defensive Consumer Staples Rotation|Fading|0.6388|60|16|17|admit|Consumer Defensive|False|False
TBBB|Defensive Consumer Staples Rotation|Fading|0.1861|60|16|17|reject|Consumer Defensive|False|False
PG|Defensive Consumer Staples Rotation|Fading|0.6552|60|16|17|admit|Consumer Defensive|False|False
GO|Defensive Consumer Staples Rotation|Fading|0.3186|60|16|17|reject|Consumer Defensive|False|False
EL|Defensive Consumer Staples Rotation|Fading|0.4374|60|16|17|admit|Consumer Defensive|False|False
UL|Defensive Consumer Staples Rotation|Fading|0.7395|60|16|17|admit|Consumer Defensive|False|False
PPC|Defensive Consumer Staples Rotation|Fading|0.5826|60|16|17|admit|Consumer Defensive|False|False
MICC|Defensive Consumer Staples Rotation|Fading|0.4897|60|16|17|admit|Consumer Defensive|False|False
DXCM|Diabetes Management Devices (CGM, Insulin Pumps & Delivery)|Fading||0|2|3|unjudgeable:thin_basket|Healthcare|False|False
BBNX|Diabetes Management Devices (CGM, Insulin Pumps & Delivery)|Fading||0|2|3|unjudgeable:thin_basket|Healthcare|False|False
MMED|Diabetes Management Devices (CGM, Insulin Pumps & Delivery)|Fading||0|2|3|unjudgeable:thin_basket|Healthcare|False|False
MGNI|Digital Advertising & Ad-Tech Monetization Platforms|Mainstream|0.2585|60|3|4|reject|Communication Services|False|True
DV|Digital Advertising & Ad-Tech Monetization Platforms|Mainstream|0.6749|60|3|4|admit|Communication Services|False|True
ZD|Digital Advertising & Ad-Tech Monetization Platforms|Mainstream|0.3882|60|3|4|admit|Communication Services|False|True
PUBM|Digital Advertising & Ad-Tech Monetization Platforms|Mainstream|0.6591|60|3|4|admit|Technology|True|True
LIFE|Digital Insurance Distribution & InsurTech Platforms|Fading||0|1|2|unjudgeable:thin_basket|Financial Services|False|False
PRCH|Digital Insurance Distribution & InsurTech Platforms|Fading||0|1|2|unjudgeable:thin_basket|Financial Services|False|False
HNRG|Diversified Power Generation Capacity Expansion for AI Electricity Demand|Fading|0.1687|60|4|5|reject|Utilities|False|False
AES|Diversified Power Generation Capacity Expansion for AI Electricity Demand|Fading|0.2008|60|4|5|reject|Utilities|False|False
OGE|Diversified Power Generation Capacity Expansion for AI Electricity Demand|Fading|0.3293|60|4|5|reject|Utilities|False|False
CEG|Diversified Power Generation Capacity Expansion for AI Electricity Demand|Fading|0.4354|60|4|5|admit|Utilities|False|False
EVRG|Diversified Power Generation Capacity Expansion for AI Electricity Demand|Fading|0.2846|60|4|5|reject|Utilities|False|False
INSP|Emerging Medical Device Innovators Breakout|Mainstream||0|2|3|unjudgeable:thin_basket|Healthcare|False|True
ITGR|Emerging Medical Device Innovators Breakout|Mainstream||0|2|3|unjudgeable:thin_basket|Healthcare|False|True
ATEC|Emerging Medical Device Innovators Breakout|Mainstream||0|2|3|unjudgeable:thin_basket|Healthcare|False|True
QBTS|Emerging Quantum Computing Rally|Nascent|0.8799|60|4|5|admit|Technology|False|False
IONQ|Emerging Quantum Computing Rally|Nascent|0.9144|60|4|5|admit|Technology|False|False
RGTI|Emerging Quantum Computing Rally|Nascent|0.9516|60|4|5|admit|Technology|False|False
INFQ|Emerging Quantum Computing Rally|Nascent|0.8726|60|4|5|admit|Technology|False|False
QUBT|Emerging Quantum Computing Rally|Nascent|0.8936|60|4|5|admit|Technology|False|False
TDW|Energy Infrastructure & Services Complex|Fading|0.5673|60|15|16|admit|Energy|False|False
KMI|Energy Infrastructure & Services Complex|Fading|0.3892|60|15|16|admit|Energy|False|False
WES|Energy Infrastructure & Services Complex|Fading|0.3824|60|15|16|admit|Energy|False|False
HLX|Energy Infrastructure & Services Complex|Fading|0.8204|44|15|16|admit|Energy|False|False
ET|Energy Infrastructure & Services Complex|Fading|0.4811|60|15|16|admit|Energy|False|False
FTK|Energy Infrastructure & Services Complex|Fading|0.01|60|15|16|reject|Energy|False|False
NESR|Energy Infrastructure & Services Complex|Fading|0.5253|60|15|16|admit|Energy|False|False
FET|Energy Infrastructure & Services Complex|Fading|0.4255|60|15|16|admit|Energy|False|False
SDRL|Energy Infrastructure & Services Complex|Fading|0.7517|60|15|16|admit|Energy|False|False
WKC|Energy Infrastructure & Services Complex|Fading|0.1188|60|15|16|reject|Energy|False|False
KNTK|Energy Infrastructure & Services Complex|Fading|0.4451|60|15|16|admit|Energy|False|False
NE|Energy Infrastructure & Services Complex|Fading|0.7259|60|15|16|admit|Energy|False|False
WHD|Energy Infrastructure & Services Complex|Fading|0.4717|60|15|16|admit|Energy|False|False
OII|Energy Infrastructure & Services Complex|Fading|0.569|60|15|16|admit|Energy|False|False
TS|Energy Infrastructure & Services Complex|Fading|0.4395|60|15|16|admit|Energy|False|False
HP|Energy Infrastructure & Services Complex|Fading|0.7747|60|15|16|admit|Energy|False|False
EOG|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.9257|60|14|15|admit|Energy|False|False
PR|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.9351|60|14|15|admit|Energy|False|False
DEC|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.7316|60|14|15|admit|Energy|False|False
CRGY|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.8991|60|14|15|admit|Energy|False|False
COP|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.9308|60|14|15|admit|Energy|False|False
LNG|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.5553|60|14|15|admit|Energy|False|False
APA|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.8982|60|14|15|admit|Energy|False|False
TALO|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.8342|60|14|15|admit|Energy|False|False
CRC|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.8705|60|14|15|admit|Energy|False|False
XPRO|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.3816|60|14|15|admit|Energy|False|False
NOV|Energy Supply Disruption: Middle East Geopolitical Risk|Fading|0.5507|60|14|15|admit|Energy|False|False
