ticker|theme|corr_0913|member_today|corr_today|verdict_today
LH|AI-Driven Diagnostics & Imaging Re-Rating|0.22|True|0.2898|reject
BMRN|Rare Disease & Specialty Biopharmaceutical Innovators|-0.31|False||not a member
ELVN|Oncology Therapeutics RS Turnaround|0.35|False||not a member
TVTX|Rare Disease & Specialty Biopharmaceutical Innovators|0.12|False||not a member
ORCL|AI-Powered Enterprise Analytics & Intelligent Workflow|0.04|True|-0.1372|reject
REPL|Oncology Therapeutics RS Turnaround|0.32|False||not a member
SRRK|Rare Disease & Specialty Biopharmaceutical Innovators|0.27|False||not a member
TRAX|Inflammatory Disease & Immunology Biologics|0.15|True|0.2152|reject
VRDN|Rare Disease & Specialty Biopharmaceutical Innovators|0.24|False||not a member
ZVRA|Rare Disease & Specialty Biopharmaceutical Innovators|0.1|False||not a member
ACA|Industrial Construction Execution & On-Site Supply Chai|0.18|True|-0.1573|reject
AGX|Industrial Construction Execution & On-Site Supply Chai|0.09|True|0.1964|reject
CME|Wealth Management & Retail Brokerage Platforms|0.31|False||not a member
ZLAB|Oncology Therapeutics RS Turnaround|0.1|False||not a member
ACHC|Hospital & Behavioral Health Facility Procedure Volume|0.06|False||not a member
FTK|Energy Supply Disruption: Strait of Hormuz Crisis|-0.1|False||not a member
NESR|Energy Supply Disruption: Strait of Hormuz Crisis|0.28|False||not a member
WTTR|Energy Supply Disruption: Strait of Hormuz Crisis|0.3|False||not a member
