ticker|alert_date|trade_date|close|high_price|low_price
AMLX|2026-08-18|2026-08-26|37.08|37.69|35.79
AMLX|2026-08-18|2026-08-27|37.18|38.23|36.53
BLZE|2026-08-04|2026-08-04|19.79|23.99|19.65
BLZE|2026-08-04|2026-08-05|18.62|19.79|17.47
BLZE|2026-08-04|2026-08-06|18.11|18.98|17.6
BLZE|2026-08-04|2026-08-07|18.82|19|18.01
BLZE|2026-08-04|2026-08-10|19.27|20.49|18.95
BLZE|2026-08-04|2026-08-11|18.71|19.65|18.56
BLZE|2026-08-04|2026-08-12|19.34|20.095|18.865
BLZE|2026-08-04|2026-08-13|20.43|20.91|18.76
BSX|2026-04-23|2026-04-23|65.69|66.88|64.93
BSX|2026-04-23|2026-04-24|62.07|65.97|61.96
BSX|2026-04-23|2026-04-27|59.95|61.73|59.925
BSX|2026-04-23|2026-04-28|58.45|60.5175|58.02
BSX|2026-04-23|2026-04-29|57.15|57.825|56.17
BSX|2026-04-23|2026-04-30|57.61|57.895|56.05
BSX|2026-04-23|2026-05-01|56.5|58.1699|56.5
BSX|2026-04-23|2026-05-04|56.85|57.685|56.53
BTDR|2026-08-04|2026-08-04|11.38|12.93|11.25
BTDR|2026-08-04|2026-08-05|11.06|12.25|11.04
BTDR|2026-08-04|2026-08-06|10.52|11|10.38
BTDR|2026-08-04|2026-08-07|10.88|11.04|10.19
BTDR|2026-08-04|2026-08-10|8.695|11.36|8.68
BTDR|2026-08-04|2026-08-11|8.69|9.35|8.44
BTDR|2026-08-04|2026-08-12|9.02|9.56|8.91
BTDR|2026-08-04|2026-08-13|8.76|9.35|8.65
BW|2026-05-11|2026-05-11|18.91|18.99|15.56
BW|2026-05-11|2026-05-12|19.75|19.82|17.65
BW|2026-05-11|2026-05-13|19.35|20.75|18.5753
BW|2026-05-11|2026-05-14|21.22|21.36|19.1
BW|2026-05-11|2026-05-15|21.85|22.03|18.725
BW|2026-05-11|2026-05-18|20.15|21.97|19.3304
BW|2026-05-11|2026-05-19|19.59|20.6299|18.37
BW|2026-05-11|2026-05-20|19.17|20.23|18.74
BW|2026-08-11|2026-08-11|9.19|12.08|9
BW|2026-08-11|2026-08-12|9.77|10.2|9.27
BW|2026-08-11|2026-08-13|9.35|10.2121|9.27
BW|2026-08-11|2026-08-14|10.29|10.6|9.6
BW|2026-08-11|2026-08-17|9.92|10.469|9.78
BW|2026-08-11|2026-08-18|9.14|9.76|9.015
BW|2026-08-11|2026-08-19|9.11|9.2|8.57
BW|2026-08-11|2026-08-20|8.43|9.05|8.3
CAI|2026-08-07|2026-08-07|22.74|22.77|20.1201
CAI|2026-08-07|2026-08-10|23.4|23.44|22.68
CAI|2026-08-07|2026-08-11|23.14|23.66|22.99
CAI|2026-08-07|2026-08-12|22.26|22.965|21.99
CAI|2026-08-07|2026-08-13|22.18|23.12|22.14
CAI|2026-08-07|2026-08-14|21.8|22.43|21.445
CAI|2026-08-07|2026-08-17|21.63|22.19|21.52
CAI|2026-08-07|2026-08-18|20.97|21.64|20.78
CRCL|2026-07-10|2026-07-10|66.14|72.855|65.07
CRCL|2026-07-10|2026-07-13|63|66.1|62.36
CRCL|2026-07-10|2026-07-14|63.22|63.49|59.29
CRCL|2026-07-10|2026-07-15|65.69|66.845|63.25
CRCL|2026-07-10|2026-07-16|60.64|64.9|60.3603
CRCL|2026-07-10|2026-07-17|60.46|62.4|58.68
CRCL|2026-07-10|2026-07-20|65.45|66.98|60.87
CRCL|2026-07-10|2026-07-21|71.08|72.675|68.645
CRMD|2026-05-14|2026-05-14|7.93|8.94|7.86
CRMD|2026-05-14|2026-05-15|7.55|8.21|7.505
CRMD|2026-05-14|2026-05-18|7.91|7.985|7.52
CRMD|2026-05-14|2026-05-19|7.82|8.03|7.765
CRMD|2026-05-14|2026-05-20|7.93|8.04|7.64
CRMD|2026-05-14|2026-05-21|8.06|8.075|7.77
CRMD|2026-05-14|2026-05-22|7.98|8.14|7.965
CRMD|2026-05-14|2026-05-26|8.27|8.295|8.02
CRMD|2026-08-13|2026-08-13|8.14|8.98|7.76
CRMD|2026-08-13|2026-08-14|7.54|8.198|7.46
CRMD|2026-08-13|2026-08-17|7.67|8.11|7.4801
CRMD|2026-08-13|2026-08-18|8.17|8.27|7.71
CRMD|2026-08-13|2026-08-19|8.52|8.53|8.11
CRMD|2026-08-13|2026-08-20|8.23|8.5449|8.19
CRMD|2026-08-13|2026-08-21|8.2|8.41|8.155
CRMD|2026-08-13|2026-08-24|8.28|8.495|8.18
CRSR|2026-05-27|2026-05-27|9.82|9.9|8.4
CRSR|2026-05-27|2026-05-28|11.95|13.1|10.58
CRSR|2026-05-27|2026-05-29|12.14|12.785|11.2401
CRSR|2026-05-27|2026-06-01|11.48|11.53|10
CRSR|2026-05-27|2026-06-02|11.53|11.765|10.81
CRSR|2026-05-27|2026-06-03|10.475|11.29|10.345
CRSR|2026-05-27|2026-06-04|9.92|10.28|9.71
CRSR|2026-05-27|2026-06-05|9.01|9.69|9
CRWD|2026-08-27|2026-08-27|227.96|229.08|206.1
CRWD|2026-08-27|2026-08-28|218.4|228.69|210.53
CRWD|2026-08-27|2026-08-31|231|233.88|221
CRWD|2026-08-27|2026-09-01|215.07|231.2986|212.65
CSCO|2026-05-14|2026-05-14|115.53|119.36|113.97
CSCO|2026-05-14|2026-05-15|118.21|118.83|114
CSCO|2026-05-14|2026-05-18|118.88|119.39|116.03
CSCO|2026-05-14|2026-05-19|115.38|118.5|114.79
CSCO|2026-05-14|2026-05-20|114.35|116.9195|113.85
CSCO|2026-05-14|2026-05-21|118.2|118.6|113.57
CSCO|2026-05-14|2026-05-22|120.41|120.79|117.68
CSCO|2026-05-14|2026-05-26|118.33|120.77|117.095
DELL|2026-05-29|2026-05-29|420.91|429.151|402.27
DELL|2026-05-29|2026-06-01|465.96|469.47|426.15
DELL|2026-05-29|2026-06-02|435.31|469.19|433.43
DELL|2026-05-29|2026-06-03|421.08|436|407
DELL|2026-05-29|2026-06-04|422.05|430.5|399
DELL|2026-05-29|2026-06-05|394.39|412.9|386.275
DELL|2026-05-29|2026-06-08|400.77|406.4999|385.61
DELL|2026-05-29|2026-06-09|381.78|407.7399|357.07
DKNG|2026-08-10|2026-08-10|24.27|25.19|23.55
DKNG|2026-08-10|2026-08-11|25.34|25.52|24.13
DKNG|2026-08-10|2026-08-12|25.51|25.83|24.85
DKNG|2026-08-10|2026-08-13|25.42|25.86|25.035
DKNG|2026-08-10|2026-08-14|26.14|26.44|25.69
DKNG|2026-08-10|2026-08-17|25.3|26.6329|25.25
DKNG|2026-08-10|2026-08-18|24.04|25.43|24.03
DKNG|2026-08-10|2026-08-19|25.31|25.39|23.9505
DLTR|2026-05-29|2026-05-29|116.44|116.88|110.0402
DLTR|2026-05-29|2026-06-01|111.35|116.85|111.18
DLTR|2026-05-29|2026-06-02|109.39|114.525|108.61
DLTR|2026-05-29|2026-06-03|112.5|112.57|108.6
DLTR|2026-05-29|2026-06-04|109.27|115.225|109.06
DLTR|2026-05-29|2026-06-05|108.8|110.765|107.93
DLTR|2026-05-29|2026-06-08|107.69|110.25|107.5394
DLTR|2026-05-29|2026-06-09|112.15|113|107.6
DY|2026-05-27|2026-05-27|529.13|566.465|520.97
DY|2026-05-27|2026-05-28|535.2|551.86|523.77
DY|2026-05-27|2026-05-29|510|544.83|500.685
DY|2026-05-27|2026-06-01|493.89|517.57|490.08
DY|2026-05-27|2026-06-02|485.97|511.82|483.495
DY|2026-05-27|2026-06-03|484.11|490.86|467.29
DY|2026-05-27|2026-06-04|488.57|493|474
DY|2026-05-27|2026-06-05|466.28|485.37|461.23
EME|2026-07-30|2026-07-30|802.37|808.7204|771.66
EME|2026-07-30|2026-07-31|797.43|839.99|797.42
EME|2026-07-30|2026-08-03|817.42|821.86|775.05
EME|2026-07-30|2026-08-04|819.88|831.495|808.87
EME|2026-07-30|2026-08-05|822.16|835|815.795
EME|2026-07-30|2026-08-06|808.43|836.1524|805.2
EME|2026-07-30|2026-08-07|816.9|831.54|801.6
EME|2026-07-30|2026-08-10|809.33|827.625|808.48
EROC|2026-08-12|2026-08-12|13.82|14.28|12.7335
EROC|2026-08-12|2026-08-13|15.66|16.91|14.38
EROC|2026-08-12|2026-08-14|16.72|16.97|15.55
EROC|2026-08-12|2026-08-17|17.4|17.75|16.5601
EROC|2026-08-12|2026-08-18|15.22|17.299|15.114215
EROC|2026-08-12|2026-08-19|14.36|16.2699|14
EROC|2026-08-12|2026-08-20|13.01|14.43|12.68
EROC|2026-08-12|2026-08-21|14.13|14.46|13.307623
ETON|2026-08-14|2026-08-14|58.86|59.79|53.01
ETON|2026-08-14|2026-08-17|61.73|62.87|56.65
ETON|2026-08-14|2026-08-18|63.43|63.5591|60
ETON|2026-08-14|2026-08-19|61.48|63.83|60.06
ETON|2026-08-14|2026-08-20|59.91|62.58|59.59
ETON|2026-08-14|2026-08-21|63.47|64|59.76
ETON|2026-08-14|2026-08-24|64.43|66.37|62.9
ETON|2026-08-14|2026-08-25|63.05|65.5|62
FIGS|2026-08-07|2026-08-07|14.26|16.38|14.11
FIGS|2026-08-07|2026-08-10|14.39|14.9487|13.86
FIGS|2026-08-07|2026-08-11|14.27|14.59|13.5597
FIGS|2026-08-07|2026-08-12|14.42|14.62|13.935
FIGS|2026-08-07|2026-08-13|14.84|14.87|13.92
FIGS|2026-08-07|2026-08-14|14.69|14.795|14.36
FIGS|2026-08-07|2026-08-17|14.32|14.72|14.26
FIGS|2026-08-07|2026-08-18|14.16|14.56|14.14
FRMI|2026-08-11|2026-08-11|7.12|7.3899|6.78
FRMI|2026-08-11|2026-08-12|7.6|7.675|7.17
FRMI|2026-08-11|2026-08-13|6.6|7.37|6.52
FRMI|2026-08-11|2026-08-14|6.4|6.72|6.32
FRMI|2026-08-11|2026-08-17|6.14|6.41|6.065
FRMI|2026-08-11|2026-08-18|5.74|6.05|5.73
FRMI|2026-08-11|2026-08-19|5.76|5.819|5.44
FRMI|2026-08-11|2026-08-20|5.97|5.98|5.67
FROG|2026-05-11|2026-05-11|69.01|71.6499|66.82
FROG|2026-05-11|2026-05-12|67.55|68.78|65.175
FROG|2026-05-11|2026-05-13|64.18|67.9|63.6227
FROG|2026-05-11|2026-05-14|65.08|65.61|62.01
FROG|2026-05-11|2026-05-15|66.16|67.47|63.9104
FROG|2026-05-11|2026-05-18|67.91|68.375|65.5
FROG|2026-05-11|2026-05-19|70.63|70.825|67.3647
FROG|2026-05-11|2026-05-20|73.43|73.715|68.75
FROG|2026-06-29|2026-06-29|90.09|90.33|85.68
FROG|2026-06-29|2026-06-30|90.88|93.12|88.51
FROG|2026-06-29|2026-07-01|90.39|92.9375|88.9
FROG|2026-06-29|2026-07-02|94.81|96|90.75
FROG|2026-06-29|2026-07-06|98.1|98.93|92
FROG|2026-06-29|2026-07-07|96.2|99.22|92.4159
FROG|2026-06-29|2026-07-08|92.73|96.26|91.31
FROG|2026-06-29|2026-07-09|95.5|96.74|91.34
FTK|2026-08-03|2026-08-03|26.76|26.88|24.54
FTK|2026-08-03|2026-08-04|28.21|28.68|26.27
FTK|2026-08-03|2026-08-05|36.07|37.3948|32.72
FTK|2026-08-03|2026-08-06|36.43|37.53|34.27
FTK|2026-08-03|2026-08-07|35.42|37|34.84
FTK|2026-08-03|2026-08-10|37.62|38.4|35.49
FTK|2026-08-03|2026-08-11|38.82|38.89|36.629
FTK|2026-08-03|2026-08-12|37.17|39.67|36.91
FTNT|2026-07-30|2026-07-30|154.25|169.26|152.23
FTNT|2026-07-30|2026-07-31|161.95|162.57|153.61
FTNT|2026-07-30|2026-08-03|163.21|164.5|159.32
FTNT|2026-07-30|2026-08-04|168.29|169.105|162.77
FTNT|2026-07-30|2026-08-05|164.13|172.09|163.94
FTNT|2026-07-30|2026-08-06|160.11|162.73|158.27
FTNT|2026-07-30|2026-08-07|159.64|165.5|158.555
FTNT|2026-07-30|2026-08-10|164.21|167.1899|159.64
FTRE|2026-05-05|2026-05-05|14.53|15.61|13.96
FTRE|2026-05-05|2026-05-06|15.64|15.795|14.53
FTRE|2026-05-05|2026-05-07|15.57|16.2|15.2653
FTRE|2026-05-05|2026-05-08|15.43|15.61|14.71
FTRE|2026-05-05|2026-05-11|14.99|15.46|14.835
FTRE|2026-05-05|2026-05-12|14.61|14.97|14.16
FTRE|2026-05-05|2026-05-13|14.47|14.8|14.23
FTRE|2026-05-05|2026-05-14|14.24|14.77|14.18
GLXY|2026-06-10|2026-06-10|30.15|33.78|30.09
GLXY|2026-06-10|2026-06-11|33.27|33.45|29.635
GLXY|2026-06-10|2026-06-12|33.36|35.6|32.74
GLXY|2026-06-10|2026-06-15|33.63|35.44|33.23
GLXY|2026-06-10|2026-06-16|33.18|34.2|32.62
GLXY|2026-06-10|2026-06-17|33.04|35.41|32.4
GLXY|2026-06-10|2026-06-18|34.2|35.3|33.4375
GLXY|2026-06-10|2026-06-22|33.12|36.1|32.95
HUT|2026-07-20|2026-07-20|100.93|107|99.1
HUT|2026-07-20|2026-07-21|108.98|110.47|103.8009
HUT|2026-07-20|2026-07-22|109.86|114.6|105.0701
HUT|2026-07-20|2026-07-23|117.67|120.38|110.23
HUT|2026-07-20|2026-07-24|109.99|117.98|109
HUT|2026-07-20|2026-07-27|104.59|112.6|100.88
HUT|2026-07-20|2026-07-28|101.14|103.04|91.6
HUT|2026-07-20|2026-07-29|88.18|100.34|86.89
INTC|2026-04-24|2026-04-24|82.54|85.22|79.62
INTC|2026-04-24|2026-04-27|84.99|87.1|82.61
INTC|2026-04-24|2026-04-28|84.52|84.59|80.8
INTC|2026-04-24|2026-04-29|94.75|94.95|85.87
INTC|2026-04-24|2026-04-30|94.48|95.69|91.5
INTC|2026-04-24|2026-05-01|99.62|100.45|92.61
INTC|2026-04-24|2026-05-04|95.78|99.82|95.6
INTC|2026-04-24|2026-05-05|108.15|110.48|100.08
JBL|2026-06-17|2026-06-17|374.98|428.9322|374.11
JBL|2026-06-17|2026-06-18|371.88|390.05|366.2101
JBL|2026-06-17|2026-06-22|377.24|379|362
JBL|2026-06-17|2026-06-23|372.99|373.74|359
JBL|2026-06-17|2026-06-24|371.8|386.87|365
JBL|2026-06-17|2026-06-25|374.64|383.94|370.01
JBL|2026-06-17|2026-06-26|358.6|369.97|356
JBL|2026-06-17|2026-06-29|373.58|373.61|350.25
KLAR|2026-05-14|2026-05-14|16.47|16.485|14.96
KLAR|2026-05-14|2026-05-15|15.17|16.6476|14.86
KLAR|2026-05-14|2026-05-18|15.55|15.87|15.01
KLAR|2026-05-14|2026-05-19|15.13|16.285|15.1
KLAR|2026-05-14|2026-05-20|16.09|16.48|14.83
KLAR|2026-05-14|2026-05-21|15.93|16.135|15.7
KLAR|2026-05-14|2026-05-22|16.57|16.71|15.91
KLAR|2026-05-14|2026-05-26|16.98|17.39|16.61
KNX|2026-05-15|2026-05-15|69.06|69.35|65.67
KNX|2026-05-15|2026-05-18|69.27|69.99|68.61
KNX|2026-05-15|2026-05-19|68.37|69.18|67.29
KNX|2026-05-15|2026-05-20|71|71.63|69
KNX|2026-05-15|2026-05-21|70.25|71.09|69.01
KNX|2026-05-15|2026-05-22|70.12|71.19|69.28
KNX|2026-05-15|2026-05-26|72.93|73.36|70.55
KNX|2026-05-15|2026-05-27|74.18|74.5794|72.47
KURA|2026-04-17|2026-04-17|9.68|10.015|9.49
KURA|2026-04-17|2026-04-20|9.78|9.86|9.5
KURA|2026-04-17|2026-04-21|9.47|10.035|9.47
KURA|2026-04-17|2026-04-22|9.53|9.62|9.37
KURA|2026-04-17|2026-04-23|9.27|9.6461|9.22
KURA|2026-04-17|2026-04-24|9.26|9.375|9.08
KURA|2026-04-17|2026-04-27|9.07|9.57|9.07
KURA|2026-04-17|2026-04-28|8.83|9.2|8.75
MANE|2026-07-15|2026-07-15|123.7|129.8|118
MANE|2026-07-15|2026-07-16|105.83|125.165|104.46
MANE|2026-07-15|2026-07-17|111.32|117.82|105.01
MANE|2026-07-15|2026-07-20|106.04|115.5|104.45
MANE|2026-07-15|2026-07-21|109.49|112.895|106.83
MANE|2026-07-15|2026-07-22|109.85|113.63|108.19
MANE|2026-07-15|2026-07-23|115.86|116.61|108.2154
MANE|2026-07-15|2026-07-24|109.51|117.93|109.27
MNDY|2026-05-11|2026-05-11|76.91|88.48|73.17
MNDY|2026-05-11|2026-05-12|71.99|77.73|71.94
MNDY|2026-05-11|2026-05-13|67.7|71.32|67.1202
MNDY|2026-05-11|2026-05-14|69.73|71.09|65.915
MNDY|2026-05-11|2026-05-15|71.97|72.95|68.55
MNDY|2026-05-11|2026-05-18|78.04|78.47|71.45
MNDY|2026-05-11|2026-05-19|78.005|82.87|76.71
MNDY|2026-05-11|2026-05-20|79.15|79.15|73.55
MRAM|2026-05-11|2026-05-11|39.86|44.67|33.66
MRAM|2026-05-11|2026-05-12|44.01|44.5|34.03
MRAM|2026-05-11|2026-05-13|41.46|51.5|41.3
MRAM|2026-05-11|2026-05-14|40.63|42.47|37.68
MRAM|2026-05-11|2026-05-15|37.57|40|36.2301
MRAM|2026-05-11|2026-05-18|33.35|38.66|31.31
MRAM|2026-05-11|2026-05-19|31.72|34|29.5
MRAM|2026-05-11|2026-05-20|28.94|32.65|28.2001
MRK|2026-08-20|2026-08-20|148.99|152.515|148.516
MRK|2026-08-20|2026-08-21|152.55|154.49|148.59
MRK|2026-08-20|2026-08-24|150.66|151.52|149.14
MRK|2026-08-20|2026-08-25|156.45|156.9199|150.66
MRK|2026-08-20|2026-08-26|153.1|155.19|152.6109
MRK|2026-08-20|2026-08-27|149.54|152.08|149.02
MRK|2026-08-20|2026-08-28|148.35|149.0078|145.75
MRK|2026-08-20|2026-08-31|147.76|148.689|145.95
MRVI|2026-08-21|2026-08-21|8.64|8.87|8.2
MRVI|2026-08-21|2026-08-24|8.43|8.615|8.13
MRVI|2026-08-21|2026-08-25|9|9.06|8.34
MRVI|2026-08-21|2026-08-26|8.9|9.42|8.68
MRVI|2026-08-21|2026-08-27|8.37|8.98|8.325
MRVI|2026-08-21|2026-08-28|7.68|8.175|7.645
MRVI|2026-08-21|2026-08-31|7.64|7.725|7.52
MRVI|2026-08-21|2026-09-01|7.3|7.59|7.28
MRVL|2026-08-19|2026-08-19|237.27|245.489|228.1001
MRVL|2026-08-19|2026-08-20|251.01|251.73|234.527
MRVL|2026-08-19|2026-08-21|237.04|252.52|233.28
MRVL|2026-08-19|2026-08-24|229.29|231.7|220.4201
MRVL|2026-08-19|2026-08-25|240.38|246.7|235.93
MRVL|2026-08-19|2026-08-26|245.11|245.17|236.79
MRVL|2026-08-19|2026-08-27|241.45|254.6|240.38
MRVL|2026-08-19|2026-08-28|216.62|228.88|215.55
MSFT|2026-06-29|2026-06-29|368.57|380.5|359.9
MSFT|2026-06-29|2026-06-30|373.02|374.15|367.45
MSFT|2026-06-29|2026-07-01|384.28|388.83|374.89
MSFT|2026-06-29|2026-07-02|390.49|392.2|383.7
MSFT|2026-06-29|2026-07-06|386.74|389.15|381.22
MSFT|2026-06-29|2026-07-07|388.84|395.57|388.22
MSFT|2026-06-29|2026-07-08|383.34|385.31|381.33
MSFT|2026-06-29|2026-07-09|384.36|384.65|373.35
MU|2026-06-25|2026-06-25|1213.56|1255|1136.31
MU|2026-06-25|2026-06-26|1132.33|1198.7121|1121.36
MU|2026-06-25|2026-06-29|1145.28|1148.79|1023.65
MU|2026-06-25|2026-06-30|1154.29|1168.68|1124.66
MU|2026-06-25|2026-07-01|1032.28|1097|1032.2
MU|2026-06-25|2026-07-02|975.56|1064.64|950.28
MU|2026-06-25|2026-07-06|984.75|1019|980.85
MU|2026-06-25|2026-07-07|938.38|942.02|891.66
NAVN|2026-06-11|2026-06-11|22.63|24.5|22.03
NAVN|2026-06-11|2026-06-12|19.93|21|18.6
NAVN|2026-06-11|2026-06-15|20.1|20.89|19.375
NAVN|2026-06-11|2026-06-16|19.03|19.84|18.87
NAVN|2026-06-11|2026-06-17|20.99|21.41|18.35
NAVN|2026-06-11|2026-06-18|21.91|22.1|20.8
NAVN|2026-06-11|2026-06-22|21.66|22.18|21.04
NAVN|2026-06-11|2026-06-23|21.28|21.81|20.97
NET|2026-08-07|2026-08-07|300.27|324.73|295.89
NET|2026-08-07|2026-08-10|310.59|312.66|290.49
NET|2026-08-07|2026-08-11|306.97|313.77|295.5
NET|2026-08-07|2026-08-12|311.45|320.3|308.55
NET|2026-08-07|2026-08-13|330.83|332.22|313.02
NET|2026-08-07|2026-08-14|315.78|331.9495|315.19
NET|2026-08-07|2026-08-17|307.01|315.35|303.99
NET|2026-08-07|2026-08-18|301.36|309.9606|297.6326
NRIX|2026-06-08|2026-06-08|15.64|18.2|15.36
NRIX|2026-06-08|2026-06-09|15.64|16.99|14.67
NRIX|2026-06-08|2026-06-10|15.3|16.115|15.17
NRIX|2026-06-08|2026-06-11|16.98|17.17|15.15
NRIX|2026-06-08|2026-06-12|16.95|18.91|16.88
NRIX|2026-06-08|2026-06-15|17.04|17.87|16.8001
NRIX|2026-06-08|2026-06-16|17.07|17.4|16.5
NRIX|2026-06-08|2026-06-17|17.12|18|17.01
NVCR|2026-07-23|2026-07-23|19.99|20.55|18
NVCR|2026-07-23|2026-07-24|17.65|21.4506|17.6
NVCR|2026-07-23|2026-07-27|17.03|18.15|16.855
NVCR|2026-07-23|2026-07-28|16.31|17.05|16.155
NVCR|2026-07-23|2026-07-29|15.2|16.39|15.12
NVCR|2026-07-23|2026-07-30|15.23|15.49|15.045
NVCR|2026-07-23|2026-07-31|14.84|15.725|14.83
NVCR|2026-07-23|2026-08-03|15.32|15.69|15
NVTS|2026-06-03|2026-06-03|30.84|34.17|29.7
NVTS|2026-06-03|2026-06-04|30.67|31.55|28.2
NVTS|2026-06-03|2026-06-05|25.08|29.4|24.38
NVTS|2026-06-03|2026-06-08|24.48|26.4292|23.96
NVTS|2026-06-03|2026-06-09|22.85|25|20.7
NVTS|2026-06-03|2026-06-10|20.5|22.97|20.4101
NVTS|2026-06-03|2026-06-11|22.21|22.35|20.27
NVTS|2026-06-03|2026-06-12|23.39|24.585|21.85
OMCL|2026-04-28|2026-04-28|45.51|46.89|43.07
OMCL|2026-04-28|2026-04-29|43.1|46.3999|41.64
OMCL|2026-04-28|2026-04-30|41.42|43.91|41.115
OMCL|2026-04-28|2026-05-01|42.8|43.07|41.23
OMCL|2026-04-28|2026-05-04|43.44|44.09|42.19
OMCL|2026-04-28|2026-05-05|43.56|44.455|42.815
OMCL|2026-04-28|2026-05-06|43.76|44.15|43.04
OMCL|2026-04-28|2026-05-07|43.33|44.97|43.09
OSCR|2026-05-07|2026-05-07|20.87|20.89|19.23
OSCR|2026-05-07|2026-05-08|21.31|21.32|19.84
OSCR|2026-05-07|2026-05-11|22|22|20.741
OSCR|2026-05-07|2026-05-12|23.73|23.765|21.574904
OSCR|2026-05-07|2026-05-13|23.62|24.28|22.805
OSCR|2026-05-07|2026-05-14|23.15|24.12|22.675
OSCR|2026-05-07|2026-05-15|23.32|23.67|22.41
OSCR|2026-05-07|2026-05-18|25.3|25.58|23.14
PACS|2026-05-12|2026-05-12|41.01|41.7399|37.6146
PACS|2026-05-12|2026-05-13|41.3|42|38.94
PACS|2026-05-12|2026-05-14|39.65|42.53|39.1
PACS|2026-05-12|2026-05-15|37.48|39.525|37.47
PACS|2026-05-12|2026-05-18|36.81|38.44|36.66
PACS|2026-05-12|2026-05-19|36.72|36.875|35.05
PACS|2026-05-12|2026-05-20|37|37.4|35.68
PACS|2026-05-12|2026-05-21|37.77|37.8|35.72
PLTR|2026-08-04|2026-08-04|162.66|164.52|143.28
PLTR|2026-08-04|2026-08-05|158.43|166.08|158.25
PLTR|2026-08-04|2026-08-06|155.92|158|152.7
PLTR|2026-08-04|2026-08-07|172.01|172.41|159.96
PLTR|2026-08-04|2026-08-10|175.23|179.6|170.87
PLTR|2026-08-04|2026-08-11|174.94|177.94|172.72
PLTR|2026-08-04|2026-08-12|171.04|175.09|168.34
PLTR|2026-08-04|2026-08-13|179.01|179.91|172.3301
PSNL|2026-08-21|2026-08-21|18.38|18.89|16.62
PSNL|2026-08-21|2026-08-24|17.06|17.43|16.79
PSNL|2026-08-21|2026-08-25|17.25|17.48|16.8
PSNL|2026-08-21|2026-08-26|17.08|17.5|16.84
PSNL|2026-08-21|2026-08-27|16.8|17.64|16.55
PSNL|2026-08-21|2026-08-28|17.07|17.2377|16.6
PSNL|2026-08-21|2026-08-31|16.78|17.2438|16.6
PSNL|2026-08-21|2026-09-01|17.06|17.3756|16.81
PURR|2026-05-15|2026-05-15|6.99|7.2199|6.54
PURR|2026-05-15|2026-05-18|6.93|7.13|6.715
PURR|2026-05-15|2026-05-19|7.79|7.94|7.2
PURR|2026-05-15|2026-05-20|8.12|8.6097|7.77
PURR|2026-05-15|2026-05-21|8.48|8.785|8.155
